Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Depreciation And Amortization In Income Statement,Total Revenue,Operating Revenue,Net Policyholder Benefits And Claims,Market Cap
ABCAPITAL,2026-02-03 05:00:00-05:00,3.91,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2025-10-30 04:00:00-04:00,3.48,3.24,-6.9,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2025-08-04 04:00:00-04:00,3.46,3.17,-8.38,2025-06-30,0.0,0.278023,8350800000.0,1031100000.0,39196200000.0,-27412300000.0,27412300000.0,57952700000.0,8350800000.0,8350800000.0,78946500000.0,2634321767.0,2609625000.0,3.17,3.2,8350800000.0,8350800000.0,8350800000.0,-156900000.0,8507700000.0,0.0,8507700000.0,3276200000.0,11783900000.0,93600000.0,-27412300000.0,27412300000.0,3013800000.0,1031100000.0,90730400000.0,90730400000.0,26763400000.0,721822290927.887
ABCAPITAL,2025-05-13 06:00:00-04:00,3.54,3.29,-7.06,2025-03-31,0.0,0.349216,8645900000.0,960700000.0,39511600000.0,-25903400000.0,25903400000.0,57406000000.0,8645900000.0,8645900000.0,145364900000.0,,,,,8610400000.0,8645900000.0,8645900000.0,-210100000.0,8856000000.0,0.0,8856000000.0,4752200000.0,13608200000.0,61400000.0,-25903400000.0,25903400000.0,13864600000.0,960700000.0,158973100000.0,158973100000.0,27385600000.0,
ABCAPITAL,2025-02-03 03:00:00-05:00,3.24,2.69,-16.98,2024-12-31,0.0,0.296643,7080000000.0,917400000.0,35308000000.0,-25009100000.0,25009100000.0,52665500000.0,7080000000.0,7080000000.0,79626400000.0,2631970260.0,2602941176.0,2.69,2.72,7080000000.0,7080000000.0,7080000000.0,-163800000.0,7243800000.0,0.0,7243800000.0,3055100000.0,10298900000.0,-163200000.0,-25009100000.0,25009100000.0,3103300000.0,917400000.0,89925300000.0,89925300000.0,18720900000.0,462855018980.83057
ABCAPITAL,2024-10-30 05:00:00-04:00,3.11,2.68,-13.94,2024-09-30,0.0,0.278684,9954000000.0,863700000.0,37808400000.0,-23734400000.0,23734400000.0,49995400000.0,9954000000.0,10009000000.0,85575000000.0,2633947368.0,2606510417.0,3.8,3.84,10009000000.0,10009000000.0,10009000000.0,-197800000.0,10206800000.0,55000000.0,10151800000.0,3922200000.0,14074000000.0,307500000.0,-23734400000.0,23734400000.0,2974300000.0,863700000.0,99649000000.0,99649000000.0,21765500000.0,618994082692.946
ABCAPITAL,2024-08-01 04:00:00-04:00,3.25,2.84,-12.7,2024-06-30,0.0,0.275667,7363400000.0,807400000.0,32924300000.0,-22476900000.0,22476900000.0,48895800000.0,7363400000.0,7588400000.0,72495200000.0,2625743945.0,2598767123.0,2.89,2.92,7588400000.0,7588400000.0,7588400000.0,-204000000.0,7792400000.0,225000000.0,7567400000.0,2880000000.0,10447400000.0,65500000.0,-22476900000.0,22476900000.0,2628900000.0,807400000.0,82942600000.0,82942600000.0,23570000000.0,620351717379.1073
ABCAPITAL,2024-05-13 05:00:00-04:00,2.89,4.75,64.36,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2024-02-01 04:00:00-05:00,2.79,2.81,0.72,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2023-11-03 04:00:00-04:00,2.73,2.69,-1.47,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2023-08-02 04:00:00-04:00,2.23,2.66,19.28,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2023-05-11 04:00:00-04:00,2.57,2.5,-2.72,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2023-02-02 05:00:00-05:00,2.6,13.49,418.85,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2022-11-07 03:00:00-05:00,1.75,2.02,15.43,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2022-08-03 04:00:00-04:00,1.7,1.78,4.71,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2022-05-12 10:00:00-04:00,1.67,1.86,11.38,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2022-02-03 06:00:00-05:00,1.77,2.38,34.46,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
