Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
CANBK,2026-01-27 05:00:00-05:00,5.21,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2025-10-30 03:00:00-04:00,4.53,5.26,16.24,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2025-07-24 03:00:00-04:00,4.88,5.24,7.43,2025-06-30,0.0,0.233364,0.0,0.0,50279800000.0,95308200000.0,219921600000.0,315229800000.0,50279800000.0,50279800000.0,9076562500.0,9076562500.0,3.52,3.52,31949500000.0,31949500000.0,31949500000.0,-377000000.0,32326500000.0,-18330300000.0,50656800000.0,14721400000.0,63083500000.0,0.0,112886500000.0,62923400000.0,194493500000.0,194493500000.0,1036543409800.5295
CANBK,2025-05-08 04:00:00-04:00,4.57,5.52,20.72,2025-03-31,4840789.859339,0.213288,22696000.0,22696000.0,50701941000.0,99396083000.0,215559553000.0,314955636000.0,50684085789.85934,50701941000.0,,,,,50701941000.0,50701941000.0,50701941000.0,-410355000.0,51112296000.0,0.0,51112299000.0,14784799000.0,69318398000.0,22696000.0,102187656000.0,11630851000.0,197926175000.0,197926175000.0,
CANBK,2025-01-27 02:00:00-05:00,4.37,4.52,3.47,2024-12-31,0.0,0.245451,0.0,0.0,42141600000.0,95873300000.0,211634000000.0,307507300000.0,42141600000.0,42141600000.0,9062709677.0,9062709677.0,4.65,4.65,42141600000.0,42141600000.0,42141600000.0,-415200000.0,42556800000.0,0.0,42556800000.0,13535500000.0,55145500000.0,0.0,87691300000.0,41202200000.0,162665000000.0,162665000000.0,875972856227.5802
CANBK,2024-10-29 03:00:00-04:00,8.68,4.43,-48.93,2024-09-30,0.0,0.256179,0.0,0.0,41877600000.0,97546600000.0,204271900000.0,301818500000.0,41877600000.0,41877600000.0,9064415584.0,9064415584.0,4.62,4.62,41877600000.0,41877600000.0,41877600000.0,-389900000.0,42267500000.0,0.0,42267500000.0,14121900000.0,55125100000.0,0.0,94785900000.0,49415900000.0,175788600000.0,175788600000.0,974235049520.6362
CANBK,2024-07-25 03:00:00-04:00,4.56,4.31,-5.4,2024-06-30,0.0,0.26647,0.0,0.0,40675100000.0,96388400000.0,195341300000.0,291729700000.0,40675100000.0,40675100000.0,9079263393.0,9079263393.0,4.48,4.48,40675100000.0,40675100000.0,40675100000.0,-307300000.0,40982400000.0,0.0,40982400000.0,14448100000.0,54220300000.0,0.0,98389000000.0,54277800000.0,174316200000.0,174316200000.0,1047179693982.559
CANBK,2024-05-08 04:00:00-04:00,4.12,4.14,0.44,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2024-01-24 02:00:00-05:00,3.74,4.03,7.79,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2023-10-26 03:00:00-04:00,3.76,3.98,5.7,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2023-07-24 03:00:00-04:00,3.71,3.9,5.09,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2023-05-08 03:00:00-04:00,3.48,3.5,0.46,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2023-01-23 01:00:00-05:00,2.6,3.18,22.14,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2022-10-20 02:00:00-04:00,2.07,2.78,34.29,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2022-07-25 03:00:00-04:00,1.64,2.23,35.68,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2022-05-06 02:00:00-04:00,2.03,1.84,-9.56,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2022-01-27 05:00:00-05:00,1.41,2.67,89.42,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2021-10-26 02:00:00-04:00,1.39,1.55,11.99,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2021-07-27 03:00:00-04:00,1.02,1.43,40.47,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2021-05-18 04:00:00-04:00,0.7,1.23,74.56,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2021-01-27 02:00:00-05:00,0.23,0.93,304.35,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2020-10-29 06:00:00-04:00,-0.36,0.61,268.75,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,2020-08-05 07:00:00-04:00,-0.38,0.56,245.31,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
