Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
IDEA,2026-02-11 05:00:00-05:00,-0.58,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,,,,,2025-09-30,210880.538418,0.000561,47870000000.0,376000000.0,376000000.0,-55242000000.0,55675000000.0,44589000000.0,48246000000.0,-7429000000.0,-47844000000.0,47844000000.0,-55617789119.46158,-55242000000.0,120520000000.0,108317647059.0,108317647059.0,-0.51,-0.51,-55242000000.0,-55242000000.0,0.0,-55242000000.0,-55242000000.0,-55242000000.0,-31000000.0,-55273000000.0,1019000000.0,376000000.0,-47844000000.0,47844000000.0,-8824000000.0,75931000000.0,2661000000.0,55675000000.0,55675000000.0,11774000000.0,11774000000.0,67107000000.0,44589000000.0,111696000000.0,111696000000.0,880622482985.641
IDEA,2025-08-14 08:00:00-04:00,-0.64,-0.63,0.97,2025-06-30,0.0,0.000454,47538000000.0,0.0,0.0,-66081000000.0,54721000000.0,44106000000.0,47538000000.0,-7183000000.0,-58928000000.0,58928000000.0,-66081000000.0,-66081000000.0,118680000000.0,104890476190.0,104890476190.0,-0.63,-0.63,-66081000000.0,-66081000000.0,0.0,-66081000000.0,-66081000000.0,-66081000000.0,-30000000.0,-66111000000.0,1417000000.0,0.0,-58928000000.0,58928000000.0,-8600000000.0,74574000000.0,2688000000.0,54721000000.0,54721000000.0,11875000000.0,11875000000.0,65974000000.0,44106000000.0,110080000000.0,110080000000.0,779336220086.0564
IDEA,2025-05-30 13:00:00-04:00,-1.54,-1.01,34.31,2025-03-31,0.0,0.0,47018000000.0,-544000000.0,-544000000.0,-71661000000.0,55713000000.0,44512000000.0,46474000000.0,-9239000000.0,-54149000000.0,62422000000.0,-71117000000.0,-71661000000.0,117867000000.0,,,,,-71661000000.0,-71661000000.0,0.0,-71661000000.0,-71661000000.0,-71661000000.0,0.0,-71661000000.0,-7760000000.0,-749000000.0,-54149000000.0,62422000000.0,-8367000000.0,73355000000.0,-223000000.0,55713000000.0,-30082000000.0,12993000000.0,12064000000.0,64988000000.0,44512000000.0,109500000000.0,109500000000.0,
IDEA,2025-02-11 08:00:00-05:00,-1.07,-0.95,11.24,2024-12-31,0.0,0.3,49619000000.0,0.0,0.0,-66093000000.0,56288000000.0,44888000000.0,49619000000.0,-6669000000.0,-59399000000.0,59399000000.0,-66093000000.0,-66093000000.0,120169000000.0,69571578947.0,69571578947.0,-0.95,-0.95,-66093000000.0,-66093000000.0,0.0,-66093000000.0,-66093000000.0,-66093000000.0,25000000.0,-66068000000.0,2495000000.0,0.0,-59399000000.0,59399000000.0,-9164000000.0,75281000000.0,2468000000.0,56288000000.0,56288000000.0,11200000000.0,11200000000.0,66117000000.0,44888000000.0,111005000000.0,111005000000.0,552398340820.0977
IDEA,2024-11-13 07:00:00-05:00,-1.3,-1.03,20.47,2024-09-30,0.0,0.3,48495000000.0,0.0,0.0,-71759000000.0,54040000000.0,44232000000.0,48495000000.0,-5545000000.0,-66136000000.0,66136000000.0,-71759000000.0,-71759000000.0,117724000000.0,69668932039.0,69668932039.0,-1.03,-1.03,-71759000000.0,-71759000000.0,0.0,-71759000000.0,-71759000000.0,-71759000000.0,78000000.0,-71681000000.0,3000000000.0,0.0,-66136000000.0,66136000000.0,-8542000000.0,73492000000.0,2433000000.0,54040000000.0,54040000000.0,11305000000.0,11305000000.0,64950000000.0,44232000000.0,109182000000.0,109182000000.0,721770112005.1104
IDEA,2024-08-12 09:00:00-04:00,-1.78,-1.03,42.3,2024-06-30,,,,,,,,,,,,,,,,63059803922.0,63059803922.0,-1.02,-1.02,,,,,,,,,,,,,,,,,,,,,,,,1128139853675.9302
IDEA,2024-05-16 09:00:00-04:00,-1.51,-1.57,-3.79,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2024-01-29 08:00:00-05:00,-1.41,-1.59,-12.91,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2023-10-26 09:00:00-04:00,-1.8,-1.79,0.56,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2023-08-14 10:00:00-04:00,-1.38,-1.61,-16.3,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2023-05-25 11:00:00-04:00,-2.01,-1.52,23.99,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2023-02-14 10:00:00-05:00,-2.2,-2.49,-13.25,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2022-11-03 09:00:00-04:00,-2.17,-1.46,32.72,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2022-08-03 08:00:00-04:00,-1.97,-2.27,-15.37,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2022-05-10 08:00:00-04:00,-2.27,-2.28,-0.29,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2022-01-21 12:00:00-05:00,-2.24,-2.51,-12.23,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2021-11-12 04:00:00-05:00,-2.42,-2.49,-2.59,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2021-08-14 10:00:00-04:00,-1.91,-2.55,-33.59,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2021-06-30 10:00:00-04:00,-2.14,-2.1,1.85,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2021-02-13 05:00:00-05:00,-1.83,-2.17,-18.19,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2020-10-29 08:00:00-04:00,-1.55,-2.24,-44.81,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2020-08-06 06:00:00-04:00,-1.53,-1.93,-25.71,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2020-06-30 14:00:00-04:00,-1.39,-1.93,-38.94,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2020-02-13 08:00:00-05:00,-1.55,-2.02,-30.62,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,2019-11-14 09:00:00-05:00,-1.42,-7.01,-393.39,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
