Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
SONACOMS,2026-01-22 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2025-10-27 07:00:00-04:00,2.57,2.8,9.09,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2025-08-04 19:00:00-04:00,2.0,2.01,0.5,2025-06-30,-24167673.491125,0.263437,2467380000.0,-91740000.0,-91740000.0,1247130000.0,669940000.0,3791700000.0,2375640000.0,1705700000.0,-53310000.0,53310000.0,1314702326.508875,1247130000.0,7153420000.0,620462687.0,620462687.0,2.01,2.01,1247130000.0,1247130000.0,0.0,1247130000.0,30040000.0,1217090000.0,1217090000.0,435300000.0,1652390000.0,441880000.0,-91740000.0,91740000.0,-53310000.0,53310000.0,1385650000.0,3361720000.0,1813790000.0,669940000.0,669940000.0,4747370000.0,3791700000.0,8539070000.0,8539070000.0,297662827319.19324
SONACOMS,2025-04-30 07:00:00-04:00,2.44,2.67,9.49,2025-03-31,90005899.330172,0.237533,2415620000.0,378920000.0,378920000.0,1641230000.0,646270000.0,5765600000.0,2794540000.0,2148270000.0,764310000.0,1450000.0,1352315899.330172,1641230000.0,5646910000.0,,,,,1641230000.0,1641230000.0,0.0,1641230000.0,4350000.0,1636880000.0,1636880000.0,509940000.0,2146820000.0,-700980000.0,-27030000.0,25730000.0,764310000.0,1450000.0,1667810000.0,-118690000.0,-1972760000.0,646270000.0,33970000.0,1549120000.0,5765600000.0,7314720000.0,7314720000.0,
SONACOMS,2025-01-23 05:00:00-05:00,2.1,2.43,15.71,2024-12-31,-14679204.141852,0.257575,2810190000.0,-56990000.0,-56990000.0,1511940000.0,665510000.0,3826140000.0,2753200000.0,2087690000.0,-57680000.0,57680000.0,1554250795.858148,1511940000.0,7002900000.0,622197531.0,622197531.0,2.43,2.43,1511940000.0,1511940000.0,0.0,1511940000.0,4810000.0,1507130000.0,1507130000.0,522880000.0,2030010000.0,467910000.0,-56990000.0,56990000.0,-57680000.0,57680000.0,1676170000.0,3176760000.0,1695580000.0,665510000.0,665510000.0,4852930000.0,3826140000.0,8679070000.0,8679070000.0,367673131736.84894
SONACOMS,2024-10-23 06:00:00-04:00,2.42,2.56,5.73,2024-09-30,-27680945.624628,0.251348,2759450000.0,-110130000.0,-110130000.0,1439450000.0,625890000.0,4069390000.0,2649320000.0,2023430000.0,-105650000.0,105650000.0,1521899054.375372,1439450000.0,7327670000.0,594814050.0,594814050.0,2.42,2.42,1439450000.0,1439450000.0,0.0,1439450000.0,3700000.0,1435750000.0,1435750000.0,482030000.0,1917780000.0,210160000.0,-110130000.0,110130000.0,-105650000.0,105650000.0,1894190000.0,3258280000.0,1842410000.0,625890000.0,625890000.0,5152470000.0,4069390000.0,9221860000.0,9221860000.0,439305282442.7216
SONACOMS,2024-07-24 06:00:00-04:00,2.4,2.42,0.83,2024-06-30,0.0,0.249694,2581180000.0,0.0,0.0,1419530000.0,606270000.0,3787810000.0,2581180000.0,1974910000.0,-86160000.0,86160000.0,1419530000.0,1419530000.0,7024990000.0,586582645.0,586582645.0,2.42,2.42,1419530000.0,1419530000.0,0.0,1419530000.0,2390000.0,1417140000.0,1417140000.0,471610000.0,1888750000.0,69570000.0,0.0,0.0,-86160000.0,86160000.0,1886780000.0,3237180000.0,1870320000.0,606270000.0,606270000.0,5123960000.0,3787810000.0,8911770000.0,8911770000.0,373550965490.68176
SONACOMS,2024-04-30 06:00:00-04:00,2.35,2.54,8.09,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2024-01-23 05:00:00-05:00,2.27,2.26,-0.51,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2023-10-25 06:00:00-04:00,2.07,2.19,5.75,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2023-07-27 06:00:00-04:00,2.0,1.95,-2.68,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2023-05-03 06:00:00-04:00,1.93,2.1,8.89,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2023-01-24 04:00:00-05:00,1.7,1.83,7.65,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2022-10-28 05:00:00-04:00,1.6,1.58,-1.25,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2022-07-28 06:00:00-04:00,1.3,1.3,,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2022-05-05 06:00:00-04:00,1.25,1.79,43.2,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2022-02-01 05:00:00-05:00,1.2,1.48,23.33,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,2021-10-27 06:00:00-04:00,1.2,1.51,25.83,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
