Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
GMRAIRPORT,2026-01-28 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRAIRPORT,2025-11-13 09:00:00-05:00,0.1,-0.05,-152.8,2025-09-30,105000000.0,0.3,11107200000.0,350000000.0,350000000.0,-370900000.0,19787300000.0,11457200000.0,11457200000.0,-10425800000.0,10425800000.0,-615900000.0,-370900000.0,25930800000.0,9272500000.0,9272500000.0,-0.04,-0.04,-370900000.0,-370900000.0,0.0,-370900000.0,-721500000.0,350600000.0,,350600000.0,680800000.0,1031400000.0,843900000.0,350000000.0,-10425800000.0,10425800000.0,10769100000.0,6143500000.0,6143500000.0,16912600000.0,19787300000.0,36699900000.0,36699900000.0,808561971702.5757
GMRAIRPORT,2025-07-29 11:00:00-04:00,-0.3,-0.24,18.83,2025-06-30,138060000.0,0.3,8358300000.0,460200000.0,460200000.0,-2115900000.0,18427300000.0,8818500000.0,8818500000.0,-9468900000.0,9468900000.0,-2438040000.0,-2115900000.0,23883200000.0,10579500000.0,10579500000.0,-0.2,-0.2,-2115900000.0,-2115900000.0,0.0,-2115900000.0,-744800000.0,-1371100000.0,,-1371100000.0,710700000.0,-650400000.0,1154700000.0,460200000.0,-9468900000.0,9468900000.0,8169100000.0,5455900000.0,5455900000.0,13625000000.0,18427300000.0,32052300000.0,32052300000.0,901267630828.8574
GMRAIRPORT,2025-05-22 13:00:00-04:00,-0.6,-0.32,47.13,2025-03-31,695280000.0,0.3,3239800000.0,900600000.0,2317600000.0,-2375900000.0,20953500000.0,5557400000.0,5557400000.0,-5606000000.0,7515800000.0,-3998220000.0,-2375900000.0,10331700000.0,,,,,-2375900000.0,-2375900000.0,0.0,-2375900000.0,150700000.0,-2526600000.0,0.0,-2526600000.0,568200000.0,-1958400000.0,-2707000000.0,809700000.0,-5606000000.0,7515800000.0,3902800000.0,-10621800000.0,-2401000000.0,-6719000000.0,20953500000.0,14234500000.0,14234500000.0,
GMRAIRPORT,2025-01-28 10:00:00-05:00,1.5,-0.06,-103.77,2024-12-31,732984732.824427,0.179389,7428700000.0,4086000000.0,4086000000.0,2667900000.0,16402900000.0,11514700000.0,11514700000.0,-9051900000.0,9051900000.0,-685115267.175573,2667900000.0,21402700000.0,12126818182.0,10671600000.0,0.22,0.25,2667900000.0,2667900000.0,0.0,2667900000.0,646900000.0,2021000000.0,0.0,2021000000.0,441800000.0,2462800000.0,855100000.0,4086000000.0,-9051900000.0,9051900000.0,5129700000.0,4999800000.0,4999800000.0,10129500000.0,16402900000.0,26532400000.0,26532400000.0,838360869946.2891
GMRAIRPORT,2024-10-24 11:00:00-04:00,-0.3,-0.16,45.8,2024-09-30,326190000.0,0.3,5362000000.0,1087300000.0,1087300000.0,-2804000000.0,15899100000.0,6449300000.0,6449300000.0,-10309500000.0,10309500000.0,-3565110000.0,-2804000000.0,21027500000.0,9668965517.0,9668965517.0,-0.29,-0.29,-2804000000.0,-2804000000.0,0.0,-2804000000.0,1483700000.0,-4287700000.0,0.0,-4287700000.0,427500000.0,-3860200000.0,1026300000.0,1087300000.0,-10309500000.0,10309500000.0,3927100000.0,5128400000.0,5128400000.0,9055500000.0,15899100000.0,24954600000.0,24954600000.0,909462872923.1472
GMRAIRPORT,2024-08-13 12:00:00-04:00,-0.5,-0.23,54.0,2024-06-30,,,,,,,,,,,,,,,6158695652.0,6158695652.0,-0.23,-0.23,,,,,,,0.0,,,,,,,,,,,,,,,594745237234.1553
GMRAIRPORT,2024-05-29 10:00:00-04:00,-0.6,-0.37,38.91,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRAIRPORT,2024-02-01 04:00:00-05:00,-0.4,-0.48,-19.8,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRAIRPORT,2023-10-30 08:00:00-04:00,-0.3,-0.1,67.23,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRAIRPORT,2023-08-14 07:00:00-04:00,-0.7,-0.05,92.86,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRAIRPORT,2023-05-27 05:00:00-04:00,-0.5,-0.67,-33.38,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRAIRPORT,2023-02-15 00:00:00-05:00,-1.0,-0.07,92.7,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRAIRPORT,2022-11-14 07:00:00-05:00,-0.8,0.3,137.5,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
