Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
POWERINDIA,2025-11-03 06:00:00-05:00,47.5,59.31,24.86,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERINDIA,2025-07-30 06:00:00-04:00,35.6,29.53,-17.05,2025-06-30,-23960922.65943,0.255993,2152000000.0,-93600000.0,-93600000.0,1316000000.0,250100000.0,8223300000.0,2058400000.0,1808300000.0,-39500000.0,39500000.0,1385639077.34057,1316000000.0,12901000000.0,44564849.0,44564849.0,29.53,29.53,1316000000.0,1316000000.0,0.0,1316000000.0,1316000000.0,1316000000.0,452800000.0,1768800000.0,509400000.0,-39500000.0,39500000.0,1392500000.0,4677700000.0,3469900000.0,250100000.0,250100000.0,6070200000.0,8223300000.0,14293500000.0,14293500000.0,891350423002.5117
POWERINDIA,2025-05-14 08:00:00-04:00,42.63,43.15,1.23,2025-03-31,49069542.303482,0.25451,2568600000.0,192800000.0,192800000.0,1838900000.0,234800000.0,15400000000.0,2761400000.0,2526600000.0,36700000.0,59900000.0,1695169542.303482,1838900000.0,16163500000.0,,,,,1838900000.0,1838900000.0,0.0,1838900000.0,1838900000.0,1838900000.0,627800000.0,2466700000.0,182400000.0,36700000.0,59900000.0,2241000000.0,763500000.0,-3460400000.0,234800000.0,230000000.0,3004500000.0,15400000000.0,18404500000.0,18404500000.0,
POWERINDIA,2025-01-29 06:00:00-05:00,27.1,32.41,19.59,2024-12-31,131650483.537977,0.253613,1671100000.0,519100000.0,519100000.0,1373800000.0,229900000.0,9898000000.0,2190200000.0,1960300000.0,-119700000.0,119700000.0,986350483.537977,1373800000.0,14387600000.0,42388152.0,42388152.0,32.41,32.41,1373800000.0,1373800000.0,0.0,1373800000.0,1373800000.0,1373800000.0,466800000.0,1840600000.0,2000000.0,-119700000.0,119700000.0,1439200000.0,4489600000.0,3228400000.0,229900000.0,229900000.0,5928800000.0,9898000000.0,15826800000.0,15826800000.0,610729404698.9531
POWERINDIA,2024-10-29 06:00:00-04:00,16.4,12.34,-24.76,2024-09-30,-61879620.450361,0.259453,1336800000.0,,,522900000.0,228300000.0,9591500000.0,1098300000.0,870000000.0,-163900000.0,163900000.0,699520379.549639,522900000.0,13968700000.0,42374392.0,42374392.0,12.34,12.34,522900000.0,522900000.0,0.0,522900000.0,522900000.0,522900000.0,183200000.0,706100000.0,900000.0,-163900000.0,163900000.0,1107600000.0,4377200000.0,3240400000.0,228300000.0,228300000.0,5484800000.0,9591500000.0,15076300000.0,15076300000.0,616169551477.5859
POWERINDIA,2024-07-24 07:00:00-04:00,16.65,2.46,-85.23,2024-06-30,-29041328.903654,0.307641,574300000.0,-94400000.0,-94400000.0,104200000.0,220500000.0,8337200000.0,479900000.0,259400000.0,-108900000.0,108900000.0,169558671.096346,104200000.0,12580400000.0,42357724.0,42357724.0,2.46,2.46,104200000.0,104200000.0,0.0,104200000.0,104200000.0,104200000.0,46300000.0,150500000.0,900000.0,-108900000.0,108900000.0,352900000.0,4243200000.0,3135300000.0,220500000.0,220500000.0,4596100000.0,8337200000.0,12933300000.0,12933300000.0,546555115020.6094
POWERINDIA,2024-05-21 08:00:00-04:00,16.16,26.82,66.02,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERINDIA,2024-01-23 10:00:00-05:00,16.2,5.42,-66.54,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERINDIA,2023-05-24 05:00:00-04:00,13.7,11.99,-12.48,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERINDIA,2021-07-23 06:00:00-04:00,7.2,3.85,-46.53,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERINDIA,2021-05-05 05:00:00-04:00,10.5,9.31,-11.33,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
