Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
CUMMINSIND,2026-02-04 05:00:00-05:00,23.77,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMMINSIND,2025-11-06 09:00:00-05:00,18.41,23.0,24.94,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMMINSIND,2025-08-07 08:00:00-04:00,17.67,20.04,13.44,2025-06-30,29004477.041304,0.230377,8226600000.0,125900000.0,125900000.0,6039000000.0,479300000.0,18316300000.0,8352500000.0,7873200000.0,-26500000.0,26500000.0,5942104477.041304,6039000000.0,22831400000.0,277145480.0,277145480.0,21.79,21.79,6039000000.0,6039000000.0,0.0,6039000000.0,6039000000.0,6039000000.0,1807700000.0,7846700000.0,1338800000.0,125900000.0,-125900000.0,,-26500000.0,26500000.0,5755700000.0,4515100000.0,2522600000.0,479300000.0,479300000.0,10270800000.0,18316300000.0,28587100000.0,28587100000.0,933324144621.5918
CUMMINSIND,2025-05-28 11:00:00-04:00,17.61,18.81,6.82,2025-03-31,120506747.693065,0.232953,6911400000.0,517300000.0,517300000.0,5295000000.0,472700000.0,17438400000.0,7428700000.0,6956000000.0,1640500000.0,52900000.0,4898206747.693065,5295000000.0,19497800000.0,,,,,5295000000.0,5295000000.0,0.0,5295000000.0,5295000000.0,5295000000.0,1608100000.0,6903100000.0,-971000000.0,58200000.0,,0.0,1640500000.0,52900000.0,4783500000.0,2059400000.0,-164000000.0,472700000.0,196700000.0,6842900000.0,17438400000.0,24281300000.0,24281300000.0,
CUMMINSIND,2025-02-05 09:00:00-05:00,17.0,18.54,9.06,2024-12-31,0.0,0.217394,7658900000.0,0.0,0.0,5584600000.0,492800000.0,20170400000.0,7658900000.0,7166100000.0,-30200000.0,30200000.0,5584600000.0,5584600000.0,25038600000.0,277151365.0,277151365.0,20.15,20.15,5584600000.0,5584600000.0,0.0,5584600000.0,5584600000.0,5584600000.0,1551300000.0,7135900000.0,1113900000.0,0.0,,0.0,-30200000.0,30200000.0,5482900000.0,4868200000.0,2418800000.0,492800000.0,492800000.0,10351100000.0,20170400000.0,30521500000.0,30521500000.0,893138001656.2573
CUMMINSIND,2024-11-07 09:00:00-05:00,14.26,16.26,14.07,2024-09-30,0.0,0.243281,6413800000.0,0.0,0.0,4493700000.0,449600000.0,16043500000.0,6413800000.0,5964200000.0,-25800000.0,25800000.0,4493700000.0,4493700000.0,20261100000.0,277217767.0,277217767.0,16.21,16.21,4493700000.0,4493700000.0,0.0,4493700000.0,4493700000.0,4493700000.0,1444700000.0,5938400000.0,1053100000.0,0.0,,,-25800000.0,25800000.0,4389800000.0,4217600000.0,2215900000.0,449600000.0,449600000.0,8607400000.0,16043500000.0,24650900000.0,24650900000.0,1038528413226.128
CUMMINSIND,2024-08-06 08:00:00-04:00,13.9,15.14,8.92,2024-06-30,0.0,0.222596,6443700000.0,0.0,0.0,4626100000.0,443400000.0,14304000000.0,6443700000.0,6000300000.0,-49600000.0,49600000.0,4626100000.0,4626100000.0,18449100000.0,277177951.0,277177951.0,16.69,16.69,4626100000.0,4626100000.0,0.0,4626100000.0,4626100000.0,4626100000.0,1324600000.0,5950700000.0,1037300000.0,0.0,,0.0,-49600000.0,49600000.0,4289600000.0,4145100000.0,2239900000.0,443400000.0,443400000.0,8434700000.0,14304000000.0,22738700000.0,22738700000.0,1076548537431.4836
CUMMINSIND,2024-05-29 11:00:00-04:00,13.14,20.26,54.13,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMMINSIND,2024-02-07 10:00:00-05:00,12.02,16.46,36.9,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMMINSIND,2023-11-07 08:00:00-05:00,10.28,11.85,15.27,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
