Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
ACC,2026-01-27 05:00:00-05:00,24.7,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,2025-10-23 06:00:00-04:00,8.72,,,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,2025-10-31 03:00:00-04:00,17.1,59.45,247.66,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,2025-07-24 03:00:00-04:00,26.7,19.94,-25.32,2025-06-30,0.0,0.33312,8479800000.0,0.0,0.0,3753800000.0,2545800000.0,24612400000.0,8479800000.0,5934000000.0,-304500000.0,304500000.0,3753800000.0,3753800000.0,55126800000.0,188254764.0,187783892.0,19.94,19.99,3753800000.0,3753800000.0,0.0,3753800000.0,-400000.0,3754200000.0,3754200000.0,1875300000.0,5629500000.0,683500000.0,0.0,-304500000.0,304500000.0,5234300000.0,30514400000.0,14983800000.0,2545800000.0,2545800000.0,11444800000.0,11444800000.0,35748700000.0,24612400000.0,60361100000.0,60361100000.0,360019268573.26465
ACC,2025-04-24 05:00:00-04:00,34.1,32.94,-3.42,2025-03-31,334650941.984629,0.148654,9355700000.0,2251200000.0,2251200000.0,7510300000.0,2648800000.0,70590000000.0,11606900000.0,8958100000.0,9459100000.0,136300000.0,5593750941.984629,7510300000.0,53093900000.0,,,,,7510300000.0,7510300000.0,0.0,7510300000.0,-2900000.0,7510400000.0,7510400000.0,1311400000.0,8821800000.0,-8560500000.0,1597000000.0,9459100000.0,136300000.0,5653300000.0,-17496100000.0,-34686200000.0,2648800000.0,2028300000.0,13942100000.0,13243600000.0,-11842800000.0,70590000000.0,58747200000.0,58747200000.0,
ACC,2025-01-27 03:00:00-05:00,20.15,57.98,187.74,2024-12-31,0.0,0.260555,17642800000.0,0.0,0.0,10917300000.0,2595900000.0,21938200000.0,17642800000.0,15046900000.0,-281900000.0,281900000.0,10917300000.0,10917300000.0,43511600000.0,188294239.0,187776058.0,57.98,58.14,10917300000.0,10917300000.0,0.0,10917300000.0,600000.0,10917900000.0,10917900000.0,3847100000.0,14765000000.0,6482400000.0,0.0,-281900000.0,281900000.0,8561300000.0,21573400000.0,13928700000.0,2595900000.0,2595900000.0,10274800000.0,10274800000.0,30134700000.0,21938200000.0,52072900000.0,52072900000.0,383860862738.2688
ACC,2024-10-24 03:00:00-04:00,7.29,12.42,70.33,2024-09-30,-103925503.450218,0.29693,5946000000.0,-350000000.0,-350000000.0,1996600000.0,2423000000.0,17913600000.0,5596000000.0,3173000000.0,-332600000.0,332600000.0,2242674496.549782,1996600000.0,43481800000.0,188358491.0,187826905.0,10.6,10.63,1996600000.0,1996600000.0,0.0,1996600000.0,-400000.0,1997000000.0,1997000000.0,843400000.0,2840400000.0,1585900000.0,-350000000.0,-332600000.0,332600000.0,1940500000.0,25568200000.0,12939600000.0,2423000000.0,2423000000.0,9317800000.0,9317800000.0,27508700000.0,17913600000.0,45422300000.0,45422300000.0,470195537994.4837
ACC,2024-07-29 07:00:00-04:00,21.65,19.19,-11.36,2024-06-30,0.0,0.256828,7517400000.0,0.0,0.0,3597000000.0,2345400000.0,17508600000.0,7517400000.0,5172000000.0,-331400000.0,331400000.0,3597000000.0,3597000000.0,46685100000.0,187441376.0,186954262.0,19.19,19.24,3597000000.0,3597000000.0,0.0,3597000000.0,-400000.0,3597400000.0,3597400000.0,1243200000.0,4840600000.0,717200000.0,0.0,-331400000.0,331400000.0,4445400000.0,29176500000.0,15196900000.0,2345400000.0,2345400000.0,10853700000.0,10853700000.0,33621900000.0,17508600000.0,51130500000.0,51130500000.0,487674026449.9512
ACC,2024-04-25 05:00:00-04:00,25.8,37.99,47.24,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,2024-01-25 03:00:00-05:00,24.2,28.55,17.98,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
