Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
ZYDUSLIFE,2026-02-04 05:00:00-05:00,9.55,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2025-11-06 02:00:00-05:00,12.01,12.76,6.2,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2025-08-12 03:00:00-04:00,13.65,14.58,6.79,2025-06-30,0.0,0.225971,22434000000.0,0.0,0.0,14668000000.0,2381000000.0,17895000000.0,22434000000.0,20053000000.0,-847000000.0,847000000.0,14668000000.0,14668000000.0,46737000000.0,1006035665.0,1006035665.0,14.58,14.58,14668000000.0,14668000000.0,0.0,14668000000.0,-542000000.0,15210000000.0,,15210000000.0,4340000000.0,19206000000.0,1549000000.0,0.0,0.0,-847000000.0,847000000.0,17933000000.0,28842000000.0,17476000000.0,2381000000.0,2381000000.0,46775000000.0,17895000000.0,64670000000.0,64670000000.0,984645556234.7568
ZYDUSLIFE,2025-05-20 03:00:00-04:00,13.82,13.27,-4.0,2025-03-31,-536087081.339713,0.25311,19909000000.0,-768000000.0,-2118000000.0,11709000000.0,2379000000.0,20255000000.0,19141000000.0,16762000000.0,1752000000.0,42000000.0,13290912918.660288,11709000000.0,43632000000.0,,,,,11709000000.0,11709000000.0,0.0,11709000000.0,-728000000.0,12437000000.0,0.0,12437000000.0,4232000000.0,16720000000.0,-1800000000.0,-2517000000.0,,1752000000.0,42000000.0,19270000000.0,23377000000.0,-18792000000.0,2379000000.0,118000000.0,42647000000.0,20255000000.0,62902000000.0,62902000000.0,
ZYDUSLIFE,2025-02-05 01:00:00-05:00,9.06,10.18,12.38,2024-12-31,0.0,0.151592,14451000000.0,0.0,0.0,10238000000.0,2290000000.0,15834000000.0,14451000000.0,12161000000.0,-320000000.0,320000000.0,10238000000.0,10235000000.0,41475000000.0,1006391347.0,1006391347.0,10.17,10.17,10235000000.0,10235000000.0,0.0,10235000000.0,-27000000.0,10262000000.0,-3000000.0,10265000000.0,1795000000.0,11841000000.0,575000000.0,0.0,,-320000000.0,320000000.0,9760000000.0,25641000000.0,15342000000.0,2290000000.0,2290000000.0,35401000000.0,15834000000.0,51235000000.0,51235000000.0,966835081051.9424
ZYDUSLIFE,2024-11-12 02:00:00-05:00,9.45,9.05,-4.19,2024-09-30,0.0,0.293571,15296000000.0,0.0,0.0,9109000000.0,2336000000.0,14714000000.0,15296000000.0,12960000000.0,-251000000.0,251000000.0,9109000000.0,9112000000.0,39312000000.0,1005739514.0,1005739514.0,9.06,9.06,9112000000.0,9112000000.0,0.0,9112000000.0,-90000000.0,9202000000.0,3000000.0,9199000000.0,3731000000.0,12709000000.0,682000000.0,0.0,,-251000000.0,251000000.0,11824000000.0,24598000000.0,14704000000.0,2336000000.0,2336000000.0,36422000000.0,14714000000.0,51136000000.0,51136000000.0,1062511618892.8738
ZYDUSLIFE,2024-08-09 03:00:00-04:00,12.6,14.11,11.95,2024-06-30,0.0,0.229563,21472000000.0,0.0,0.0,14199000000.0,2153000000.0,15861000000.0,21472000000.0,19319000000.0,-322000000.0,322000000.0,14199000000.0,14199000000.0,41526000000.0,1006307583.0,1006307583.0,14.11,14.11,14199000000.0,14199000000.0,0.0,14199000000.0,-626000000.0,14825000000.0,0.0,14825000000.0,4361000000.0,18997000000.0,632000000.0,0.0,0.0,-322000000.0,322000000.0,18939000000.0,25665000000.0,16287000000.0,2153000000.0,2153000000.0,44604000000.0,15861000000.0,60465000000.0,60465000000.0,1065825787491.2612
ZYDUSLIFE,2024-05-17 06:00:00-04:00,9.78,11.66,19.24,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2024-02-09 02:00:00-05:00,6.72,7.59,12.99,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2023-11-07 01:00:00-05:00,7.88,7.92,0.57,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2023-08-11 05:00:00-04:00,7.57,10.87,43.62,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2023-05-18 03:00:00-04:00,7.15,7.21,0.9,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2023-02-03 02:00:00-05:00,5.46,6.15,12.64,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2022-11-11 01:00:00-05:00,4.87,5.1,4.81,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2022-08-10 03:00:00-04:00,4.7,5.08,8.07,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2022-05-20 03:00:00-04:00,4.82,4.03,-16.39,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2022-02-03 01:00:00-05:00,4.72,4.89,3.65,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2021-10-29 02:00:00-04:00,4.76,5.73,20.37,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2021-08-11 03:00:00-04:00,5.37,5.52,2.84,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2021-05-27 03:00:00-04:00,4.9,7.34,49.87,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2021-02-05 02:00:00-05:00,4.69,5.15,9.9,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2020-11-02 06:00:00-05:00,4.47,5.64,26.21,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2020-08-05 02:00:00-04:00,3.76,4.43,17.9,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2020-06-19 04:00:00-04:00,3.56,4.24,18.86,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,2020-02-05 06:00:00-05:00,3.16,3.66,15.87,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
