Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
GAIL,2026-01-29 05:00:00-05:00,3.8,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIL,2025-10-31 05:00:00-04:00,3.06,3.37,10.23,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIL,2025-07-28 08:00:00-04:00,4.01,3.79,-5.37,2025-06-30,0.0,0.213481,42344800000.0,0.0,0.0,23692000000.0,9927200000.0,290256100000.0,42344800000.0,32417600000.0,-2129200000.0,2129200000.0,23692000000.0,23692000000.0,326346600000.0,6581111111.0,6581111111.0,3.6,3.6,23692000000.0,23692000000.0,0.0,23692000000.0,-130400000.0,23822400000.0,23822400000.0,6466000000.0,30288400000.0,1441300000.0,0.0,,-2129200000.0,2129200000.0,26760200000.0,36090500000.0,20823500000.0,9927200000.0,9927200000.0,62850700000.0,290256100000.0,353106800000.0,353106800000.0,1248737314092.958
GAIL,2025-05-13 04:00:00-04:00,3.31,3.12,-5.8,2025-03-31,342216673.45679,0.226664,42729600000.0,1509800000.0,1509800000.0,24917600000.0,9970300000.0,367768400000.0,42074700000.0,34269100000.0,2219400000.0,1869100000.0,23750016673.45679,24917600000.0,331563600000.0,,,,,24917600000.0,24917600000.0,0.0,24917600000.0,-138500000.0,25056100000.0,25056100000.0,7343900000.0,32400000000.0,-8137400000.0,1335600000.0,715500000.0,2219400000.0,1869100000.0,29437200000.0,-36204800000.0,-53059400000.0,9970300000.0,9970300000.0,-6767600000.0,367768400000.0,364420900000.0,361000800000.0,
GAIL,2025-01-30 03:00:00-05:00,3.99,3.03,-24.03,2024-12-31,5497431039.976935,0.225302,39406500000.0,24400300000.0,24400300000.0,40815600000.0,9393500000.0,307409500000.0,63806800000.0,54413300000.0,-1692900000.0,1692900000.0,21912731039.976936,40815600000.0,346048400000.0,6572560386.0,6572560386.0,6.21,6.21,40815600000.0,40815600000.0,0.0,40815600000.0,-26800000.0,40842400000.0,40842400000.0,11878000000.0,52720400000.0,3780600000.0,24400300000.0,-24400300000.0,-1692900000.0,1692900000.0,22298900000.0,38638900000.0,23538000000.0,9393500000.0,9393500000.0,60937800000.0,307409500000.0,368347300000.0,368347300000.0,1202560321093.9336
GAIL,2024-11-05 07:00:00-05:00,4.14,4.06,-1.93,2024-09-30,0.0,0.224801,45798100000.0,,,26935500000.0,9219800000.0,272842700000.0,45798100000.0,36578300000.0,-1881800000.0,1881800000.0,26935500000.0,26935500000.0,308736800000.0,6569634146.0,6569634146.0,4.1,4.1,26935500000.0,26935500000.0,0.0,26935500000.0,38800000.0,26896700000.0,26896700000.0,7799800000.0,34696500000.0,2766700000.0,,,-1881800000.0,1881800000.0,30152200000.0,35894100000.0,21105500000.0,9219800000.0,9219800000.0,66046300000.0,272842700000.0,338889000000.0,338889000000.0,1512381286116.3567
GAIL,2024-07-30 08:00:00-04:00,3.51,4.14,17.95,2024-06-30,0.0,0.226182,54747700000.0,0.0,0.0,31829300000.0,11521900000.0,275696100000.0,54747700000.0,43225800000.0,-2087600000.0,2087600000.0,31829300000.0,31829300000.0,310999400000.0,6576301653.0,6576301653.0,4.84,4.84,31829300000.0,31829300000.0,0.0,31829300000.0,-4200000.0,31833500000.0,31833500000.0,9304700000.0,41138200000.0,2205500000.0,0.0,,-2087600000.0,2087600000.0,36378300000.0,35303300000.0,18200600000.0,11521900000.0,11521900000.0,71681600000.0,275696100000.0,347377700000.0,347377700000.0,1383246521616.1177
GAIL,2024-05-16 05:00:00-04:00,4.22,3.31,-21.47,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIL,2024-01-29 04:00:00-05:00,3.37,4.32,28.11,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIL,2023-10-31 04:00:00-04:00,2.96,3.66,23.75,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
