Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
TATACOMM,2026-01-21 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACOMM,2025-10-15 04:00:00-04:00,10.9,6.92,-36.52,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACOMM,2025-07-17 09:00:00-04:00,10.0,8.69,-13.05,2025-06-30,-45918942.48927,0.224652,11539100000.0,-204400000.0,-204400000.0,2321700000.0,6656900000.0,27290700000.0,11334700000.0,4677800000.0,-1765300000.0,1765300000.0,2480181057.51073,1899800000.0,54887300000.0,285255255.0,284827586.0,6.66,6.67,1899800000.0,1899800000.0,0.0,1899800000.0,-1600000.0,1901400000.0,-421900000.0,2323300000.0,654300000.0,2912500000.0,171000000.0,-204400000.0,,0.0,204400000.0,-1765300000.0,1765300000.0,4711200000.0,27596600000.0,8762000000.0,6656900000.0,6656900000.0,32307800000.0,27290700000.0,59598500000.0,59598500000.0,481529509937.8015
TATACOMM,2025-04-22 07:00:00-04:00,10.7,10.33,-3.49,2025-03-31,932155016.744369,0.192495,12844200000.0,4842500000.0,4842500000.0,7610000000.0,6724900000.0,27165900000.0,17686700000.0,10961800000.0,-1633600000.0,1824400000.0,3699655016.744369,10403400000.0,53029800000.0,,,,,10403400000.0,10403400000.0,0.0,10403400000.0,-1700000.0,10405100000.0,2793400000.0,7611700000.0,1758900000.0,9137400000.0,518800000.0,4650600000.0,-6649700000.0,1178500000.0,820600000.0,-1633600000.0,1824400000.0,5674400000.0,25863900000.0,2347800000.0,6724900000.0,1504000000.0,31538300000.0,27165900000.0,58704200000.0,58704200000.0,
TATACOMM,2025-01-22 03:00:00-05:00,8.0,8.63,7.82,2024-12-31,-50820476.370306,0.340392,12096800000.0,-149300000.0,-149300000.0,2566100000.0,6371400000.0,25134000000.0,11947500000.0,5576100000.0,-1868900000.0,1868900000.0,2664579523.629694,2359600000.0,52542600000.0,284975845.0,284975845.0,8.28,8.28,2359600000.0,2359600000.0,0.0,2359600000.0,-1200000.0,2360800000.0,-206500000.0,2567300000.0,1261900000.0,3707200000.0,287300000.0,-149300000.0,,0.0,149300000.0,-1868900000.0,1868900000.0,5438100000.0,27408600000.0,9797400000.0,6371400000.0,6371400000.0,32846700000.0,25134000000.0,57980700000.0,57980700000.0,478287950163.0755
TATACOMM,2024-10-17 05:00:00-04:00,11.2,6.92,-38.19,2024-09-30,121511620.48455,0.283244,11393400000.0,429000000.0,429000000.0,2509800000.0,6481600000.0,24599800000.0,11822400000.0,5340800000.0,-1894300000.0,1894300000.0,2202311620.48455,2272300000.0,52466300000.0,285106650.0,284749373.0,7.97,7.98,2272300000.0,2272300000.0,0.0,2272300000.0,-400000.0,2272700000.0,,2510200000.0,976200000.0,3446500000.0,99600000.0,429000000.0,-411100000.0,0.0,-17900000.0,-1894300000.0,1894300000.0,4812200000.0,27866500000.0,9637000000.0,6481600000.0,6481600000.0,32678700000.0,24599800000.0,57278500000.0,57278500000.0,598927899582.6655
TATACOMM,2024-07-18 05:00:00-04:00,7.9,8.19,3.71,2024-06-30,168859575.965315,0.197013,11594300000.0,857100000.0,857100000.0,3566800000.0,6343100000.0,23619200000.0,12451400000.0,6108300000.0,-1703000000.0,1703000000.0,2878559575.965315,3328400000.0,50900100000.0,285209940.0,284965753.0,11.67,11.68,3328400000.0,3328400000.0,0.0,3328400000.0,-900000.0,3329300000.0,-238400000.0,3567700000.0,867900000.0,4405300000.0,228100000.0,857100000.0,-1855200000.0,1029500000.0,-31400000.0,-1703000000.0,1703000000.0,5023100000.0,27280900000.0,9713700000.0,6343100000.0,6343100000.0,32304000000.0,23619200000.0,55923200000.0,55923200000.0,515993040780.1199
TATACOMM,2024-04-17 07:00:00-04:00,9.45,13.1,38.61,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACOMM,2024-01-18 04:00:00-05:00,6.2,8.79,41.84,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACOMM,2023-10-19 08:00:00-04:00,12.0,7.74,-35.5,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
