Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
RELIANCE,2026-01-15 05:00:00-05:00,15.13,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2025-10-17 09:00:00-04:00,14.35,13.42,-6.45,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2025-07-18 10:00:00-04:00,7.6,13.23,74.08,2025-06-30,15531594249.717333,0.174043,352580000000.0,89240000000.0,89240000000.0,269940000000.0,1664920000000.0,441820000000.0,441820000000.0,-70360000000.0,70360000000.0,196231594249.71735,269940000000.0,2145690000000.0,13530827068.0,13530827068.0,19.95,19.95,269940000000.0,269940000000.0,0.0,269940000000.0,-37890000000.0,307830000000.0,307830000000.0,64650000000.0,371460000000.0,61950000000.0,-70360000000.0,70360000000.0,290630000000.0,480770000000.0,408450000000.0,771400000000.0,1664920000000.0,2436320000000.0,2436320000000.0,20223588385274.773
RELIANCE,2025-04-25 10:00:00-04:00,6.4,8.29,29.53,2025-03-31,0.0,0.229152,331100000000.0,,,194070000000.0,2237110000000.0,331100000000.0,331100000000.0,81130000000.0,61550000000.0,194070000000.0,194070000000.0,2308810000000.0,,,,,194070000000.0,194070000000.0,0.0,194070000000.0,-32040000000.0,226110000000.0,226110000000.0,66690000000.0,291030000000.0,-95660000000.0,81130000000.0,40070000000.0,305070000000.0,71700000000.0,-383070000000.0,376770000000.0,2237110000000.0,2613880000000.0,2613880000000.0,
RELIANCE,2025-01-16 08:00:00-05:00,13.39,13.7,2.34,2024-12-31,0.0,0.238767,348220000000.0,,,185400000000.0,1661400000000.0,348220000000.0,348220000000.0,-61790000000.0,61790000000.0,185400000000.0,185400000000.0,2093780000000.0,13532846715.0,13532846715.0,13.7,13.7,185400000000.0,185400000000.0,0.0,185400000000.0,-33900000000.0,219300000000.0,219300000000.0,68390000000.0,286430000000.0,42140000000.0,-61790000000.0,61790000000.0,306080000000.0,432380000000.0,360830000000.0,738460000000.0,1661400000000.0,2399860000000.0,2399860000000.0,16383065441764.191
RELIANCE,2024-10-14 09:00:00-04:00,5.85,5.7,-2.56,2024-09-30,0.0,0.237089,310540000000.0,,,165630000000.0,1657820000000.0,310540000000.0,310540000000.0,-60170000000.0,60170000000.0,165630000000.0,165630000000.0,2053570000000.0,13531862745.0,13531862745.0,12.24,12.24,165630000000.0,165630000000.0,0.0,165630000000.0,-27600000000.0,193230000000.0,193230000000.0,59360000000.0,250370000000.0,48760000000.0,-60170000000.0,60170000000.0,261780000000.0,395750000000.0,329260000000.0,657530000000.0,1657820000000.0,2315350000000.0,2315350000000.0,19901326396723.156
RELIANCE,2024-07-19 09:00:00-04:00,12.81,11.19,-12.69,2024-06-30,0.0,0.249032,291520000000.0,,,151380000000.0,1670540000000.0,291520000000.0,291520000000.0,-59180000000.0,59180000000.0,151380000000.0,151380000000.0,2066150000000.0,13528150134.0,13528150134.0,11.19,11.19,151380000000.0,151380000000.0,0.0,151380000000.0,-23070000000.0,174450000000.0,174450000000.0,57860000000.0,232340000000.0,39830000000.0,-59180000000.0,59180000000.0,251690000000.0,395610000000.0,324900000000.0,647300000000.0,1670540000000.0,2317840000000.0,2317840000000.0,21021377961030.07
RELIANCE,2024-04-22 09:00:00-04:00,14.93,14.01,-6.21,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2024-01-19 07:00:00-05:00,12.88,12.76,-0.96,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2023-10-27 09:00:00-04:00,13.53,12.86,-5.0,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2023-07-21 10:00:00-04:00,12.65,11.83,-6.46,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2023-04-21 09:00:00-04:00,13.38,14.26,6.57,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2023-01-20 08:00:00-05:00,12.71,11.67,-8.18,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2022-10-21 10:00:00-04:00,12.83,10.09,-21.36,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2022-07-22 10:00:00-04:00,19.64,13.27,-32.43,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2022-05-06 10:00:00-04:00,7.85,8.2,4.46,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2022-01-21 09:00:00-05:00,12.47,11.76,-5.67,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2021-10-22 10:00:00-04:00,7.38,6.95,-5.83,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2021-07-23 10:00:00-04:00,9.75,9.32,-4.43,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2021-04-30 10:00:00-04:00,8.6,5.8,-32.62,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2021-01-22 09:00:00-05:00,6.13,6.65,8.57,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2020-10-30 10:00:00-04:00,4.35,5.02,15.4,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2020-07-30 09:00:00-04:00,4.1,4.16,1.46,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2020-04-30 09:00:00-04:00,5.9,5.39,-8.73,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,2020-01-17 08:00:00-05:00,7.27,7.56,3.94,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
