Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
TATAELXSI,2026-01-08 05:00:00-05:00,26.57,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2025-10-09 07:00:00-04:00,24.66,24.85,0.77,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2025-07-10 07:00:00-04:00,26.06,23.18,-11.06,2025-06-30,0.0,0.26473,2251812000.0,1443677000.0,242721000.0,5956854000.0,2251812000.0,2009091000.0,-45625000.0,45625000.0,1443677000.0,1443677000.0,7296597000.0,62281148.0,62281148.0,23.18,23.18,1443677000.0,1443677000.0,0.0,1443677000.0,1443677000.0,1443677000.0,519789000.0,1963466000.0,384729000.0,-45625000.0,45625000.0,1624362000.0,1339743000.0,1097022000.0,242721000.0,242721000.0,2964105000.0,5956854000.0,8920959000.0,8920959000.0,392994043880.0
TATAELXSI,2025-04-17 09:00:00-04:00,28.63,27.68,-3.33,2025-03-31,0.0,0.221406,2507277000.0,1724185000.0,246880000.0,4746238000.0,2507277000.0,2260397000.0,1267809000.0,45912000.0,1724185000.0,1724185000.0,6927728000.0,,,,,1724185000.0,1724185000.0,0.0,1724185000.0,1724185000.0,1724185000.0,490300000.0,2214485000.0,-1299188000.0,1267809000.0,45912000.0,2155628000.0,2181490000.0,-1405232000.0,246880000.0,246880000.0,4337118000.0,4746238000.0,9083356000.0,9083356000.0,
TATAELXSI,2025-01-09 05:00:00-05:00,31.99,31.94,-0.17,2024-12-31,0.0,0.222172,2864663000.0,1990064000.0,259672000.0,5712720000.0,2864663000.0,2604991000.0,-46503000.0,46503000.0,1990064000.0,1990064000.0,7185257000.0,62306324.0,62286823.0,31.94,31.95,1990064000.0,1990064000.0,0.0,1990064000.0,1990064000.0,1990064000.0,568424000.0,2558488000.0,398536000.0,-46503000.0,46503000.0,2206455000.0,1472537000.0,1212865000.0,259672000.0,259672000.0,3678992000.0,5712720000.0,9391712000.0,9391712000.0,418600175472.8652
TATAELXSI,2024-10-10 08:00:00-04:00,33.1,36.83,11.28,2024-09-30,0.0,0.231923,3307110000.0,2294320000.0,271546000.0,5742627000.0,3307110000.0,3035564000.0,-48467000.0,48467000.0,2294320000.0,2294320000.0,7158336000.0,62294868.0,62277959.0,36.83,36.84,2294320000.0,2294320000.0,0.0,2294320000.0,2294320000.0,2294320000.0,692777000.0,2987097000.0,643037000.0,-48467000.0,48467000.0,2392527000.0,1415709000.0,1144163000.0,271546000.0,271546000.0,3808236000.0,5742627000.0,9550863000.0,9550863000.0,475681970121.3281
TATAELXSI,2024-07-10 08:00:00-04:00,31.4,29.55,-5.9,2024-06-30,0.0,0.270673,2843512000.0,1840799000.0,270610000.0,5489276000.0,2843512000.0,2572902000.0,-48932000.0,48932000.0,1840799000.0,1840799000.0,7012482000.0,62294382.0,62273309.0,29.55,29.56,1840799000.0,1840799000.0,0.0,1840799000.0,1840799000.0,1840799000.0,683171000.0,2523970000.0,320832000.0,-48932000.0,48932000.0,2252070000.0,1523206000.0,1252596000.0,270610000.0,270610000.0,3775276000.0,5489276000.0,9264552000.0,9264552000.0,431123378598.8247
TATAELXSI,2024-04-23 08:00:00-04:00,33.32,31.61,-5.12,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2024-01-23 05:00:00-05:00,33.49,33.14,-1.04,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2023-10-17 06:00:00-04:00,30.79,32.12,4.33,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2023-07-17 06:00:00-04:00,30.85,30.32,-1.72,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2023-05-18 08:00:00-04:00,31.62,32.36,2.33,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2023-01-25 08:00:00-05:00,28.26,31.26,10.6,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2022-10-14 07:00:00-04:00,29.67,27.98,-5.7,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2022-07-14 08:00:00-04:00,26.0,29.66,14.08,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2022-04-20 08:00:00-04:00,25.1,25.69,2.35,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2022-01-17 19:00:00-05:00,22.6,24.24,7.26,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2021-10-22 07:00:00-04:00,22.6,20.13,-10.93,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2021-07-15 08:00:00-04:00,21.0,18.21,-13.29,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2021-04-22 08:00:00-04:00,17.4,18.49,6.26,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2020-10-14 08:00:00-04:00,11.48,12.67,10.37,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2020-07-21 03:00:00-04:00,10.7,11.06,3.36,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2020-04-20 08:00:00-04:00,12.5,13.18,5.44,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2020-01-13 07:00:00-05:00,10.5,12.11,15.33,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,2019-10-21 07:00:00-04:00,8.8,8.0,-9.09,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
