Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
COALINDIA,2026-01-27 05:00:00-05:00,15.94,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2025-10-29 04:00:00-04:00,9.48,7.07,-25.45,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2025-07-31 07:00:00-04:00,13.75,14.19,3.2,2025-06-30,0.0,0.254073,119742600000.0,87433800000.0,50181500000.0,119742600000.0,119742600000.0,-2651100000.0,2651100000.0,87433800000.0,87433800000.0,216662500000.0,6161649049.0,6161649049.0,14.19,14.19,87433800000.0,87433800000.0,0.0,87433800000.0,92100000.0,87341700000.0,87341700000.0,29749800000.0,117091500000.0,16158600000.0,-2651100000.0,2651100000.0,102141800000.0,166481000000.0,106821700000.0,268622800000.0,50181500000.0,318804300000.0,318804300000.0,2286249906277.6167
COALINDIA,2025-05-07 07:00:00-04:00,13.36,15.58,16.64,2025-03-31,0.0,0.254844,128891500000.0,96040200000.0,61111900000.0,128891500000.0,128891500000.0,51137900000.0,159600000.0,96040200000.0,96040200000.0,209382700000.0,,,,,96040200000.0,96040200000.0,0.0,96040200000.0,114900000.0,95925300000.0,95925300000.0,32806600000.0,128731900000.0,-30537700000.0,51137900000.0,159600000.0,49028600000.0,148270800000.0,51218200000.0,309973600000.0,61111900000.0,314684600000.0,314684600000.0,
COALINDIA,2025-01-26 23:00:00-05:00,13.65,13.8,1.09,2024-12-31,0.0,0.279943,120179600000.0,85055700000.0,47950500000.0,120179600000.0,120179600000.0,-2255400000.0,2255400000.0,85055700000.0,85055700000.0,225552100000.0,6163456522.0,6163456522.0,13.8,13.8,85055700000.0,85055700000.0,0.0,85055700000.0,143500000.0,84912200000.0,84912200000.0,33012000000.0,117924200000.0,21432000000.0,-2255400000.0,2255400000.0,98037700000.0,177601600000.0,118717800000.0,275639300000.0,47950500000.0,323589800000.0,323589800000.0,2208811614539.0503
COALINDIA,2024-10-25 11:00:00-04:00,12.7,10.21,-19.61,2024-09-30,0.0,0.230404,83615100000.0,62891000000.0,51572100000.0,83615100000.0,83615100000.0,-2081400000.0,2081400000.0,62891000000.0,62891000000.0,205519700000.0,6159745348.0,6159745348.0,10.21,10.21,62891000000.0,62891000000.0,0.0,62891000000.0,143000000.0,62748000000.0,62748000000.0,18785700000.0,81533700000.0,15050400000.0,-2081400000.0,2081400000.0,67193300000.0,153947600000.0,91515300000.0,221140900000.0,51572100000.0,272713000000.0,272713000000.0,2827374057450.1797
COALINDIA,2024-07-31 07:00:00-04:00,13.22,17.78,34.49,2024-06-30,0.0,0.226452,143560400000.0,109594700000.0,49778400000.0,143560400000.0,143560400000.0,-2088300000.0,2088300000.0,109594700000.0,109594700000.0,207840900000.0,6163931384.0,6163931384.0,17.78,17.78,109594700000.0,109594700000.0,0.0,109594700000.0,159200000.0,109435500000.0,109435500000.0,32036600000.0,141472100000.0,18846000000.0,-2088300000.0,2088300000.0,123860400000.0,158062500000.0,104422900000.0,281922900000.0,49778400000.0,331701300000.0,331701300000.0,2598096702139.485
COALINDIA,2024-05-02 08:00:00-04:00,12.89,14.09,9.34,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2024-02-12 08:00:00-05:00,12.0,14.72,22.67,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2023-11-10 06:00:00-05:00,10.98,11.03,0.5,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2023-08-08 08:00:00-04:00,10.82,12.93,19.52,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2023-05-07 02:00:00-04:00,8.04,8.98,11.76,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2023-01-31 07:00:00-05:00,12.48,12.58,0.8,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2022-11-07 08:00:00-05:00,13.66,9.81,-28.17,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2022-08-10 08:00:00-04:00,8.49,14.33,68.79,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2022-05-25 07:00:00-04:00,10.47,10.86,3.69,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2022-02-14 07:00:00-05:00,7.03,7.4,5.34,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2021-11-12 07:00:00-05:00,5.51,4.77,-13.47,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2021-08-10 04:00:00-04:00,9.29,5.14,-44.67,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2021-06-14 06:00:00-04:00,7.54,7.44,-1.29,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2021-02-11 04:00:00-05:00,6.39,5.01,-21.62,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2020-11-11 05:00:00-05:00,4.52,4.78,5.65,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2020-09-02 09:00:00-04:00,4.24,3.37,-20.5,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2020-06-26 07:00:00-04:00,8.4,7.53,-10.39,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,2020-02-11 09:00:00-05:00,6.96,6.37,-8.53,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
