Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
TECHM,2026-01-15 05:00:00-05:00,15.79,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHM,2025-10-14 08:00:00-04:00,14.3,13.46,-5.89,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHM,2025-07-16 06:00:00-04:00,13.19,12.86,-2.48,2025-06-30,0.0,0.302392,21540000000.0,0.0,0.0,11406000000.0,4581000000.0,88097000000.0,21540000000.0,16959000000.0,-778000000.0,778000000.0,11406000000.0,11406000000.0,118741000000.0,886936236.0,886247086.0,12.86,12.87,11406000000.0,11406000000.0,0.0,11406000000.0,118000000.0,11288000000.0,11288000000.0,4893000000.0,16181000000.0,2183000000.0,0.0,,-778000000.0,778000000.0,14771000000.0,30644000000.0,26063000000.0,4581000000.0,4581000000.0,45415000000.0,88097000000.0,133512000000.0,133512000000.0,1453057055202.04
TECHM,2025-04-24 07:00:00-04:00,11.99,13.15,9.63,2025-03-31,169932796.066111,0.22012,19071000000.0,1045000000.0,772000000.0,11667000000.0,4621000000.0,120748000000.0,20116000000.0,15495000000.0,1113000000.0,853000000.0,11337932796.06611,11667000000.0,119494000000.0,,,,,11667000000.0,11667000000.0,0.0,11667000000.0,248000000.0,11419000000.0,11419000000.0,3223000000.0,14642000000.0,786000000.0,-532000000.0,-34000000.0,1113000000.0,853000000.0,14346000000.0,-1254000000.0,-50663000000.0,4621000000.0,-2578000000.0,13092000000.0,120748000000.0,133840000000.0,133840000000.0,
TECHM,2025-01-17 05:00:00-05:00,11.75,11.08,-5.69,2024-12-31,0.0,0.23786,18321000000.0,0.0,0.0,9832000000.0,4588000000.0,88831000000.0,18321000000.0,13733000000.0,-759000000.0,759000000.0,9832000000.0,9832000000.0,119354000000.0,887364621.0,885765766.0,11.08,11.1,9832000000.0,9832000000.0,0.0,9832000000.0,-56000000.0,9888000000.0,9888000000.0,3086000000.0,12974000000.0,165000000.0,0.0,,-759000000.0,759000000.0,13502000000.0,30523000000.0,25935000000.0,4588000000.0,4588000000.0,44025000000.0,88831000000.0,132856000000.0,132856000000.0,1468796428809.0205
TECHM,2024-10-18 19:00:00-04:00,11.27,14.1,25.16,2024-09-30,0.0,0.266122,22723000000.0,0.0,0.0,12501000000.0,4698000000.0,90242000000.0,22723000000.0,18025000000.0,-890000000.0,890000000.0,12501000000.0,12501000000.0,120328000000.0,886595745.0,885339943.0,14.1,14.12,12501000000.0,12501000000.0,0.0,12501000000.0,-74000000.0,12575000000.0,12575000000.0,4560000000.0,17135000000.0,5215000000.0,0.0,,-890000000.0,890000000.0,12804000000.0,30086000000.0,25388000000.0,4698000000.0,4698000000.0,42890000000.0,90242000000.0,133132000000.0,133132000000.0,1345011640387.816
TECHM,2024-07-25 06:00:00-04:00,9.97,9.6,-3.76,2024-06-30,0.0,0.265937,17118000000.0,0.0,0.0,8515000000.0,4622000000.0,88380000000.0,17118000000.0,12496000000.0,-715000000.0,715000000.0,8515000000.0,8515000000.0,119032000000.0,886979167.0,885135135.0,9.6,9.62,8515000000.0,8515000000.0,0.0,8515000000.0,-133000000.0,8648000000.0,8648000000.0,3133000000.0,11781000000.0,1447000000.0,0.0,,-715000000.0,715000000.0,11023000000.0,30652000000.0,26030000000.0,4622000000.0,4622000000.0,41675000000.0,88380000000.0,130055000000.0,130055000000.0,1197316095117.827
TECHM,2024-04-25 06:00:00-04:00,8.59,7.45,-13.26,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHM,2024-01-24 05:00:00-05:00,7.08,5.76,-18.63,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHM,2023-10-25 06:00:00-04:00,8.9,5.57,-37.42,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
