Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Net Policyholder Benefits And Claims,Market Cap
SBILIFE,2026-01-15 05:00:00-05:00,7.0,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2025-10-24 06:00:00-04:00,8.18,4.93,-39.73,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2025-07-24 05:00:00-04:00,8.0,5.93,-25.87,2025-06-30,0.0,0.027138,5943700000.0,5943700000.0,5943700000.0,384019900000.0,1002310287.0,1002310287.0,5.93,5.93,5943700000.0,5943700000.0,5943700000.0,5943700000.0,0.0,5943700000.0,165800000.0,6109500000.0,0.0,5885300000.0,390129400000.0,390129400000.0,105383300000.0,1842547049533.032
SBILIFE,2025-04-24 05:00:00-04:00,12.45,8.11,-34.85,2025-03-31,0.0,0.032238,8135100000.0,8135100000.0,8135100000.0,207142600000.0,,,,,8135100000.0,8135100000.0,8135100000.0,8135100000.0,0.0,8135100000.0,271000000.0,8406100000.0,0.0,-19256900000.0,215549100000.0,215549100000.0,114778300000.0,
SBILIFE,2025-01-17 04:00:00-05:00,6.29,5.49,-12.72,2024-12-31,0.0,0.036371,5508200000.0,5508200000.0,5508200000.0,182887800000.0,1003315118.0,1001490909.0,5.49,5.5,5508200000.0,5508200000.0,5508200000.0,5508200000.0,0.0,5508200000.0,207900000.0,5716100000.0,0.0,6732500000.0,188603900000.0,188603900000.0,129549700000.0,1389827811130.9424
SBILIFE,2024-10-23 05:00:00-04:00,6.63,5.28,-20.32,2024-09-30,0.0,0.032015,5294200000.0,5294200000.0,5294200000.0,397758200000.0,1002689394.0,1000793951.0,5.28,5.29,5294200000.0,5294200000.0,5294200000.0,5294200000.0,0.0,5294200000.0,175100000.0,5469300000.0,0.0,5555000000.0,403227500000.0,403227500000.0,144684400000.0,1841958334801.9717
SBILIFE,2024-07-24 06:00:00-04:00,6.16,5.18,-15.95,2024-06-30,0.0,0.029823,5195200000.0,5195200000.0,5195200000.0,341388900000.0,1002934363.0,1001001927.0,5.18,5.19,5195200000.0,5195200000.0,5195200000.0,5195200000.0,0.0,5195200000.0,159700000.0,5354900000.0,0.0,7565700000.0,346743800000.0,346743800000.0,101556700000.0,1490607707904.9038
SBILIFE,2024-04-26 06:00:00-04:00,9.21,8.09,-12.2,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2024-01-25 03:00:00-05:00,5.41,3.21,-40.67,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2023-10-27 05:00:00-04:00,6.09,3.79,-37.73,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2023-07-25 09:00:00-04:00,5.12,3.8,-25.73,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2023-04-26 09:00:00-04:00,10.02,7.76,-22.59,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2023-01-21 07:00:00-05:00,5.21,3.04,-41.67,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2022-10-21 07:00:00-04:00,4.51,3.76,-16.71,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2022-07-28 08:00:00-04:00,4.94,2.63,-46.72,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2022-04-28 05:00:00-04:00,7.35,6.71,-8.7,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2022-01-21 04:00:00-05:00,4.1,3.64,-11.15,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2021-10-27 06:00:00-04:00,4.43,2.46,-44.5,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2021-07-26 05:00:00-04:00,5.35,2.23,-58.35,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2021-05-03 05:00:00-04:00,4.84,5.32,9.85,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2021-01-22 03:00:00-05:00,4.22,2.33,-44.72,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2020-10-26 05:00:00-04:00,3.91,3.0,-23.33,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2020-07-21 05:00:00-04:00,4.94,3.91,-20.85,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2020-05-05 05:00:00-04:00,5.69,5.3,-6.81,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,2020-01-22 04:00:00-05:00,3.26,3.9,19.64,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,
