Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
POWERGRID,2026-02-02 05:00:00-05:00,4.68,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2025-11-03 07:00:00-05:00,4.24,3.28,-22.64,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2025-07-30 05:00:00-04:00,4.25,3.67,-13.65,2025-06-30,0.0,0.202529,93505000000.0,34177600000.0,31304700000.0,93505000000.0,62200300000.0,-19342800000.0,19342800000.0,34177600000.0,34177600000.0,51799500000.0,9309179487.0,9309179487.0,3.9,3.9,36305800000.0,36305800000.0,0.0,36305800000.0,36305800000.0,2128200000.0,34177600000.0,8679900000.0,42857500000.0,2482000000.0,-19342800000.0,19342800000.0,60162700000.0,51799500000.0,14089100000.0,31304700000.0,31304700000.0,111962200000.0,111962200000.0,2733814364829.5396
POWERGRID,2025-05-19 10:00:00-04:00,4.61,4.61,0.05,2025-03-31,0.0,0.18335,109193200000.0,40924800000.0,31955100000.0,105094700000.0,73139600000.0,-2620500000.0,23026600000.0,40924800000.0,40924800000.0,52472600000.0,,,,,41428700000.0,41428700000.0,0.0,41428700000.0,41428700000.0,503900000.0,40924800000.0,9188200000.0,50113000000.0,3154500000.0,-23026600000.0,27125100000.0,66291900000.0,23096300000.0,-13702700000.0,31955100000.0,30695500000.0,122753500000.0,122753500000.0,
POWERGRID,2025-02-03 09:00:00-05:00,4.5,4.14,-8.0,2024-12-31,0.0,0.222059,100429200000.0,38191600000.0,32161900000.0,100429200000.0,68267300000.0,-19174100000.0,19174100000.0,38191600000.0,38191600000.0,49112400000.0,9305132530.0,9305132530.0,4.15,4.15,38616300000.0,38616300000.0,0.0,38616300000.0,38616300000.0,424700000.0,38191600000.0,10901600000.0,49093200000.0,5100300000.0,-19174100000.0,19174100000.0,63217900000.0,49112400000.0,10983100000.0,32161900000.0,32161900000.0,112330300000.0,112330300000.0,2780294542685.669
POWERGRID,2024-11-06 06:00:00-05:00,4.27,3.73,-12.58,2024-09-30,0.0,0.199579,101648800000.0,35472500000.0,32920600000.0,101648800000.0,68728200000.0,-24410900000.0,24410900000.0,35472500000.0,35472500000.0,48685000000.0,9296617647.0,9296617647.0,4.08,4.08,37930200000.0,37930200000.0,0.0,37930200000.0,37930200000.0,2457700000.0,35472500000.0,8844800000.0,44317300000.0,5681700000.0,-24410900000.0,24410900000.0,64092600000.0,48685000000.0,9555000000.0,32920600000.0,32920600000.0,112777600000.0,112777600000.0,3130092120067.762
POWERGRID,2024-07-26 12:00:00-04:00,4.0,3.73,-6.75,2024-06-30,0.0,0.188467,99049000000.0,37862400000.0,32003900000.0,99049000000.0,67045100000.0,-20389700000.0,20389700000.0,37862400000.0,37862400000.0,46041000000.0,9309800000.0,9309800000.0,4.0,4.0,37239200000.0,37239200000.0,0.0,37239200000.0,37239200000.0,-623200000.0,37862400000.0,8793000000.0,46655400000.0,2734100000.0,-20389700000.0,20389700000.0,64020800000.0,46041000000.0,7863500000.0,32003900000.0,32003900000.0,110061800000.0,110061800000.0,2915739978192.1387
POWERGRID,2024-05-22 09:00:00-04:00,4.6,4.63,0.65,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2024-02-07 05:00:00-05:00,4.2,4.15,-1.19,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2023-11-07 07:00:00-05:00,4.02,4.24,5.52,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2023-07-31 10:00:00-04:00,4.58,4.18,-8.69,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2023-05-19 08:00:00-04:00,4.23,4.64,9.82,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2023-01-31 09:00:00-05:00,3.65,3.92,7.61,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2022-11-05 00:00:00-04:00,3.34,3.92,17.53,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2022-08-08 07:00:00-04:00,4.02,4.09,1.68,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2022-05-21 08:00:00-04:00,3.68,10.13,175.15,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2022-02-09 07:00:00-05:00,4.13,3.54,-14.18,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2021-11-09 07:00:00-05:00,3.15,3.63,15.24,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2021-08-10 08:00:00-04:00,3.12,3.87,24.06,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2021-06-17 09:00:00-04:00,3.27,3.79,15.81,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2021-02-11 07:00:00-05:00,3.48,3.62,4.21,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2020-11-11 08:00:00-05:00,2.86,3.34,16.93,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2020-08-10 10:00:00-04:00,2.56,2.96,15.79,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2020-06-20 10:00:00-04:00,2.94,3.43,16.35,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,2020-01-31 06:00:00-05:00,2.88,2.87,-0.2,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
