Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
HINDALCO,2026-02-12 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2025-11-07 03:00:00-05:00,21.5,21.95,2.09,2025-09-30,-528146788.990826,0.275076,75350000000.0,-1920000000.0,-1920000000.0,47410000000.0,437420000000.0,73430000000.0,73430000000.0,-8030000000.0,8030000000.0,48801853211.00917,47410000000.0,592370000000.0,2223733583.0,2220608899.0,21.32,21.35,47410000000.0,47410000000.0,0.0,47410000000.0,0.0,47410000000.0,47410000000.0,17990000000.0,65400000000.0,7130000000.0,-1920000000.0,1820000000.0,100000000.0,,,-8030000000.0,8030000000.0,68210000000.0,154950000000.0,113740000000.0,223160000000.0,437420000000.0,660580000000.0,660580000000.0,1691992977700.0923
HINDALCO,2025-08-12 04:00:00-04:00,5.3,8.37,57.92,2025-06-30,-497829457.364341,0.294574,65990000000.0,-1690000000.0,-1690000000.0,40040000000.0,430290000000.0,64300000000.0,64300000000.0,-7540000000.0,7540000000.0,41232170542.63566,40040000000.0,582370000000.0,2224444444.0,2220743206.0,18.0,18.03,40040000000.0,40040000000.0,0.0,40040000000.0,0.0,40040000000.0,40040000000.0,16720000000.0,56760000000.0,6020000000.0,-1690000000.0,,1690000000.0,,,-7540000000.0,7540000000.0,59950000000.0,152080000000.0,109550000000.0,212030000000.0,430290000000.0,642320000000.0,642320000000.0,1527440433232.1582
HINDALCO,2025-05-20 04:00:00-04:00,19.67,23.74,20.7,2025-03-31,270595419.847328,0.193282,71940000000.0,1400000000.0,1400000000.0,52830000000.0,465450000000.0,73340000000.0,73340000000.0,1570000000.0,7840000000.0,51700595419.84733,52830000000.0,553940000000.0,,,,,52830000000.0,52830000000.0,0.0,52830000000.0,-10000000.0,52840000000.0,52840000000.0,12660000000.0,65500000000.0,-17720000000.0,170000000.0,-7540000000.0,7370000000.0,,,1570000000.0,7840000000.0,80220000000.0,88490000000.0,-31820000000.0,168710000000.0,465450000000.0,634160000000.0,634160000000.0,
HINDALCO,2025-02-13 08:00:00-05:00,7.65,6.58,-13.99,2024-12-31,-173902945.619335,0.294751,61720000000.0,-590000000.0,-590000000.0,37350000000.0,374050000000.0,61130000000.0,61130000000.0,-8170000000.0,8170000000.0,37766097054.38067,37350000000.0,527280000000.0,2224538416.0,2220570749.0,16.79,16.82,37350000000.0,37350000000.0,0.0,37350000000.0,0.0,37350000000.0,37350000000.0,15610000000.0,52960000000.0,5090000000.0,-590000000.0,410000000.0,180000000.0,,,-8170000000.0,8170000000.0,56620000000.0,153230000000.0,115230000000.0,209850000000.0,374050000000.0,583900000000.0,583900000000.0,1328043617428.7607
HINDALCO,2024-11-11 08:00:00-05:00,5.45,8.5,55.96,2024-09-30,-2028070175.438596,0.307283,71720000000.0,-6600000000.0,-6600000000.0,39090000000.0,377200000000.0,65120000000.0,65120000000.0,-8690000000.0,8690000000.0,43661929824.5614,39090000000.0,521060000000.0,2226082005.0,2222285389.0,17.56,17.59,39090000000.0,39090000000.0,0.0,39090000000.0,0.0,39090000000.0,39090000000.0,17340000000.0,56430000000.0,10750000000.0,-6600000000.0,5140000000.0,1460000000.0,,4950000000.0,-8690000000.0,8690000000.0,60970000000.0,143860000000.0,105870000000.0,204830000000.0,377200000000.0,582030000000.0,582030000000.0,1668258003821.7156
HINDALCO,2024-08-13 04:00:00-04:00,5.6,6.61,18.04,2024-06-30,,,,,,,,,,,,,,,2225923244.0,2221098266.0,13.81,13.84,,,,,,,,,,,,3300000000.0,,2500000000.0,,,,,,,,,,,1520511626121.879
HINDALCO,2024-05-24 04:00:00-04:00,3.8,6.35,67.11,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2024-02-13 03:00:00-05:00,3.1,3.77,21.61,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2023-11-10 03:00:00-05:00,13.2,9.97,-24.46,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2023-08-08 03:00:00-04:00,8.6,11.03,28.26,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2023-05-24 04:00:00-04:00,3.1,3.74,20.65,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2023-02-09 03:00:00-05:00,2.2,2.24,1.82,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2022-11-11 03:00:00-05:00,12.0,9.9,-17.5,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2022-08-10 03:00:00-04:00,14.5,18.77,29.46,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2022-05-26 07:00:00-04:00,21.5,18.25,-15.11,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2022-02-10 03:00:00-05:00,7.0,6.24,-10.86,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2021-11-12 03:00:00-05:00,13.05,15.45,18.36,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2021-08-06 04:00:00-04:00,10.0,14.34,43.44,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2021-05-21 05:00:00-04:00,3.0,2.13,-29.13,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2020-11-09 19:00:00-05:00,3.2,7.79,143.45,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2020-06-12 05:00:00-04:00,1.2,1.47,22.5,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2020-02-12 04:00:00-05:00,0.5,0.89,78.16,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2019-11-11 05:00:00-05:00,0.3,0.47,55.67,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2019-08-09 03:00:00-04:00,0.42,0.17,-60.62,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
