Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
ITC,2026-01-29 05:00:00-05:00,4.29,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2025-10-30 07:00:00-04:00,4.14,4.08,-1.52,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2025-08-01 07:00:00-04:00,4.0,4.18,4.5,2025-06-30,0.0,0.250364,75674400000.0,0.0,0.0,52442000000.0,4229600000.0,102304800000.0,75674400000.0,71444800000.0,-164700000.0,164700000.0,52442000000.0,52442000000.0,149794200000.0,12545933014.0,12515990453.0,4.18,4.19,52442000000.0,52442000000.0,0.0,52442000000.0,-992100000.0,53434100000.0,0.0,53434100000.0,17846000000.0,71280100000.0,6822100000.0,0.0,,-164700000.0,164700000.0,63935100000.0,47489400000.0,27719900000.0,4229600000.0,4229600000.0,111424500000.0,102304800000.0,213729300000.0,213729300000.0,5212284376934.937
ITC,2025-05-22 07:00:00-04:00,3.9,4.02,3.03,2025-03-31,2518894903.10293,0.245878,62336100000.0,10244500000.0,10244500000.0,50747600000.0,4110300000.0,81348200000.0,72580600000.0,68470300000.0,14778500000.0,109100000.0,43021994903.10293,197273700000.0,125954500000.0,,,,,197273700000.0,197273700000.0,0.0,197273700000.0,-805500000.0,198078800000.0,146526100000.0,51552700000.0,16808500000.0,68361200000.0,-17382200000.0,1308900000.0,,14778500000.0,109100000.0,59696000000.0,44606300000.0,-18838100000.0,4110300000.0,4110300000.0,104302300000.0,81348200000.0,185650500000.0,185650500000.0,
ITC,2025-02-06 08:00:00-05:00,4.1,4.5,9.76,2024-12-31,0.0,0.264122,69618600000.0,0.0,0.0,47313600000.0,4159800000.0,79634900000.0,69618600000.0,65458800000.0,-98200000.0,98200000.0,47313600000.0,49348000000.0,126344400000.0,12524873096.0,12493164557.0,3.94,3.95,49348000000.0,49348000000.0,0.0,49348000000.0,-783800000.0,50131800000.0,2034400000.0,48097400000.0,17263200000.0,65360600000.0,5958600000.0,0.0,,-98200000.0,98200000.0,59459200000.0,46709500000.0,28742400000.0,4159800000.0,4159800000.0,106168700000.0,79634900000.0,185803600000.0,185803600000.0,5624204373440.998
ITC,2024-10-24 09:00:00-04:00,17.0,3.99,-76.53,2024-09-30,0.0,0.260837,71671000000.0,0.0,0.0,49175800000.0,4161800000.0,90660100000.0,71671000000.0,67509200000.0,-147300000.0,147300000.0,49175800000.0,49928700000.0,137052300000.0,12513458647.0,12513458647.0,3.99,3.99,49928700000.0,49928700000.0,0.0,49928700000.0,-615600000.0,50544300000.0,,49791400000.0,17570500000.0,67361900000.0,6108700000.0,0.0,,-147300000.0,147300000.0,61359000000.0,46392200000.0,29074000000.0,4161800000.0,4161800000.0,107751200000.0,90660100000.0,198411300000.0,198411300000.0,6035181379345.427
ITC,2024-08-01 06:00:00-04:00,4.24,4.07,-3.97,2024-06-30,0.0,0.253169,72313000000.0,0.0,0.0,50069200000.0,4031300000.0,72117800000.0,72313000000.0,68281700000.0,-96000000.0,96000000.0,50069200000.0,50915900000.0,115250700000.0,12510049140.0,12479387255.0,4.07,4.08,50915900000.0,50915900000.0,0.0,50915900000.0,-854000000.0,51769900000.0,846700000.0,50923200000.0,17262500000.0,68185700000.0,6827000000.0,0.0,30400000.0,-96000000.0,96000000.0,61417100000.0,43132900000.0,25036800000.0,4031300000.0,4031300000.0,104550000000.0,72117800000.0,176667800000.0,176667800000.0,4935571381345.89
ITC,2024-05-23 04:00:00-04:00,4.0,4.1,2.53,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2024-01-29 08:00:00-05:00,4.03,4.45,10.4,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2023-10-19 10:00:00-04:00,3.97,3.95,-0.4,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2023-08-14 07:00:00-04:00,3.68,4.1,11.41,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2023-05-18 05:00:00-04:00,3.88,4.12,6.17,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2023-02-03 06:00:00-05:00,3.71,4.03,8.63,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2022-10-20 10:00:00-04:00,3.14,3.72,18.47,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2022-08-01 07:00:00-04:00,3.23,3.56,10.22,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2022-05-18 08:00:00-04:00,3.74,3.4,-9.09,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2022-02-03 09:00:00-05:00,3.15,3.37,6.98,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2021-10-27 10:00:00-04:00,3.12,3.02,-3.21,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2021-07-24 10:00:00-04:00,2.67,2.45,-8.3,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2021-06-01 09:00:00-04:00,2.98,3.05,2.35,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2021-02-11 09:00:00-05:00,2.94,2.98,1.29,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2020-11-06 10:00:00-05:00,2.53,2.62,3.66,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2020-07-24 09:00:00-04:00,2.02,1.91,-5.55,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2020-06-26 09:00:00-04:00,3.02,3.09,2.25,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,2020-01-31 09:00:00-05:00,3.12,3.45,10.38,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
