Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
APLAPOLLO,2026-01-20 05:00:00-05:00,9.74,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2025-10-29 05:00:00-04:00,9.43,10.86,15.23,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2025-07-24 05:00:00-04:00,8.67,8.54,-1.46,2025-06-30,0.0,0.234812,3975700000.0,2371700000.0,543600000.0,43803200000.0,3975700000.0,3432100000.0,-332600000.0,332600000.0,2371700000.0,2371700000.0,46851700000.0,277716628.0,277391813.0,8.54,8.55,2371700000.0,2371700000.0,0.0,2371700000.0,2371700000.0,2371700000.0,727800000.0,3099500000.0,255700000.0,-332600000.0,332600000.0,3176400000.0,3048500000.0,3244900000.0,543600000.0,543600000.0,6224900000.0,43803200000.0,50028100000.0,50028100000.0,480734199815.9198
APLAPOLLO,2025-05-06 20:00:00-04:00,8.86,10.56,19.17,2025-03-31,0.0,0.182923,4344600000.0,2931100000.0,576000000.0,51810200000.0,4486100000.0,3768600000.0,211500000.0,181300000.0,2931100000.0,2931100000.0,49659300000.0,,,,,2931100000.0,2931100000.0,0.0,2931100000.0,2931100000.0,2931100000.0,656200000.0,3587300000.0,-465400000.0,211500000.0,181300000.0,3584400000.0,-2150900000.0,3232000000.0,576000000.0,566900000.0,1433500000.0,51810200000.0,53243700000.0,53243700000.0,
APLAPOLLO,2025-01-20 04:00:00-05:00,7.7,7.82,1.51,2024-12-31,0.0,0.225384,3672300000.0,2169700000.0,503400000.0,46622700000.0,3672300000.0,3168900000.0,-367900000.0,367900000.0,2169700000.0,2169700000.0,49717800000.0,277455243.0,277455243.0,7.82,7.82,2169700000.0,2169700000.0,0.0,2169700000.0,2169700000.0,2169700000.0,631300000.0,2801000000.0,216500000.0,-367900000.0,367900000.0,2952400000.0,3095100000.0,3349700000.0,503400000.0,503400000.0,6047500000.0,46622700000.0,52670200000.0,52670200000.0,433605780284.187
APLAPOLLO,2024-10-29 04:00:00-04:00,5.32,1.94,-63.56,2024-09-30,0.0,0.226757,1528400000.0,538100000.0,468800000.0,42419100000.0,1528400000.0,1059600000.0,-363700000.0,363700000.0,538100000.0,538100000.0,45366200000.0,277371134.0,277371134.0,1.94,1.94,538100000.0,538100000.0,0.0,538100000.0,538100000.0,538100000.0,157800000.0,695900000.0,147800000.0,-363700000.0,363700000.0,911800000.0,2947100000.0,3067900000.0,468800000.0,468800000.0,3858900000.0,42419100000.0,46278000000.0,46278000000.0,437869204899.5947
APLAPOLLO,2024-08-10 06:00:00-04:00,7.95,6.96,-12.48,2024-06-30,0.0,0.233513,3263600000.0,1931700000.0,465000000.0,42696900000.0,3263600000.0,2798600000.0,-278400000.0,278400000.0,1931700000.0,1931700000.0,45219700000.0,277543103.0,277543103.0,6.96,6.96,1931700000.0,1931700000.0,0.0,1931700000.0,1931700000.0,1931700000.0,588500000.0,2520200000.0,247100000.0,-278400000.0,278400000.0,2551500000.0,2522800000.0,3228800000.0,465000000.0,465000000.0,5074300000.0,42696900000.0,47771200000.0,47771200000.0,428515472346.12585
APLAPOLLO,2024-05-12 03:00:00-04:00,7.0,6.14,-12.29,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2024-01-27 05:00:00-05:00,6.61,5.97,-9.68,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2023-10-30 06:00:00-04:00,7.61,7.31,-3.91,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2023-08-05 05:00:00-04:00,7.27,6.98,-3.95,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2023-05-12 07:00:00-04:00,8.05,7.27,-9.73,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2023-02-02 03:00:00-05:00,6.69,6.1,-8.81,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2022-11-09 04:00:00-05:00,7.72,5.41,-29.88,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2022-07-27 05:00:00-04:00,4.83,4.27,-11.66,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2022-05-13 05:00:00-04:00,8.42,6.51,-22.71,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2022-01-25 06:00:00-05:00,5.07,4.6,-9.21,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2021-10-28 05:00:00-04:00,5.83,5.24,-10.06,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2021-08-06 04:00:00-04:00,3.69,5.88,59.52,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2021-06-03 05:00:00-04:00,4.28,4.76,11.13,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2021-01-25 03:00:00-05:00,4.13,5.27,27.76,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2020-10-28 05:00:00-04:00,3.8,3.7,-2.61,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2020-06-30 10:00:00-04:00,2.25,2.27,0.87,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
