Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
IOC,2026-01-27 05:00:00-05:00,7.1,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2025-10-27 06:00:00-04:00,3.66,5.53,51.21,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2025-08-14 04:00:00-04:00,6.52,4.13,-36.62,2025-06-30,-1065464.751648,0.221972,108210100000.0,-4800000.0,-4800000.0,68137100000.0,1671515600000.0,108205300000.0,108205300000.0,-20700500000.0,20700500000.0,68140834535.24835,68137100000.0,1832513400000.0,13765070707.0,13765070707.0,4.95,4.95,68137100000.0,68137100000.0,0.0,68137100000.0,55900000.0,68081200000.0,68081200000.0,19423600000.0,87504800000.0,5832500000.0,800000.0,,-800000.0,-20700500000.0,20700500000.0,90893100000.0,160997800000.0,130316700000.0,251890900000.0,1671515600000.0,1923406500000.0,1923406500000.0,1921202991578.0688
IOC,2025-04-30 05:00:00-04:00,-1.23,5.28,528.11,2025-03-31,-241702981.587213,0.166957,115970200000.0,-1447700000.0,-1447700000.0,81236400000.0,1828415200000.0,114522500000.0,114522500000.0,2544400000.0,14076000000.0,82442397018.41278,81236400000.0,1784543100000.0,,,,,81236400000.0,81236400000.0,0.0,81236400000.0,-2439900000.0,83676300000.0,83676300000.0,16770200000.0,100446500000.0,-20929300000.0,-1372000000.0,-10500000.0,1382500000.0,2544400000.0,14076000000.0,132781100000.0,-43872100000.0,-232985900000.0,88909000000.0,1828415200000.0,1917324200000.0,1917324200000.0,
IOC,2025-01-27 04:00:00-05:00,4.14,1.68,-59.41,2024-12-31,1553803279.992192,0.223794,45300700000.0,6943000000.0,6943000000.0,21152900000.0,1733603800000.0,52243700000.0,52243700000.0,-24579000000.0,24579000000.0,15763703279.992191,21152900000.0,1907404800000.0,13735649351.0,13735649351.0,1.54,1.54,21152900000.0,21152900000.0,0.0,21152900000.0,-320600000.0,21473500000.0,21473500000.0,6191200000.0,27664700000.0,10215700000.0,6951000000.0,-6796700000.0,-154300000.0,-24579000000.0,24579000000.0,32740100000.0,173801000000.0,148551300000.0,206541100000.0,1733603800000.0,1940144900000.0,1940144900000.0,1779471440026.2683
IOC,2024-10-28 05:00:00-04:00,2.88,0.69,-75.97,2024-09-30,3153303570.518591,0.237689,6310100000.0,13266500000.0,13266500000.0,-1695800000.0,1591391600000.0,19576600000.0,19576600000.0,-25463700000.0,25463700000.0,-11808996429.48141,-1695800000.0,1757435100000.0,14131666667.0,14131666667.0,-0.12,-0.12,-1695800000.0,-1695800000.0,0.0,-1695800000.0,2792000000.0,-4487800000.0,-4487800000.0,-1399300000.0,-5887100000.0,7232500000.0,13271800000.0,-11573000000.0,-1698800000.0,-25463700000.0,25463700000.0,-7673900000.0,166043500000.0,139821400000.0,158369600000.0,1591391600000.0,1749761200000.0,1749761200000.0,2417816124273.746
IOC,2024-07-30 05:00:00-04:00,1.4,1.92,37.14,2024-06-30,-551368570.802968,0.231027,71595200000.0,-2386600000.0,-2386600000.0,35284900000.0,1723332000000.0,69208600000.0,69208600000.0,-20798200000.0,20798200000.0,37120131429.19703,35284900000.0,1877875900000.0,13783164062.0,13783164062.0,2.56,2.56,35284900000.0,35284900000.0,0.0,35284900000.0,-1941400000.0,37226300000.0,37226300000.0,11184100000.0,48410400000.0,5310700000.0,-2363300000.0,,2363300000.0,-20798200000.0,20798200000.0,60573200000.0,154543900000.0,126374100000.0,215117100000.0,1723332000000.0,1938449100000.0,1938449100000.0,2081117703976.238
IOC,2024-04-30 05:00:00-04:00,7.05,3.74,-46.93,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2024-01-24 04:00:00-05:00,3.73,6.56,75.68,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2023-10-31 04:00:00-04:00,10.22,9.53,-6.75,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2023-07-28 04:00:00-04:00,5.91,10.48,77.47,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2023-05-16 03:00:00-04:00,8.23,7.47,-9.23,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2023-01-31 01:00:00-05:00,2.52,0.56,-77.78,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2022-10-29 07:00:00-04:00,-4.8,-0.72,85.0,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2022-07-29 05:00:00-04:00,0.9,-0.2,-122.35,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2022-05-17 06:00:00-04:00,6.25,4.37,-30.06,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2022-01-31 07:00:00-05:00,5.42,4.25,-21.55,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2021-10-30 04:00:00-04:00,2.76,4.62,67.66,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2021-07-30 03:00:00-04:00,2.99,4.31,44.15,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2021-05-19 05:00:00-04:00,3.45,5.62,63.1,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2021-01-29 02:00:00-05:00,3.2,3.57,11.51,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2020-10-30 04:00:00-04:00,1.84,3.76,104.27,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2020-07-30 20:00:00-04:00,2.25,1.39,-38.46,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2020-06-24 05:00:00-04:00,-2.76,-0.64,76.91,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2020-01-30 04:00:00-05:00,2.37,1.7,-28.36,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
