Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
INDHOTEL,2026-01-15 05:00:00-05:00,5.04,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2025-11-04 06:00:00-05:00,2.21,2.0,-9.37,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2025-07-17 07:00:00-04:00,2.64,2.08,-21.21,2025-06-30,0.0,0.273748,6371200000.0,0.0,0.0,2963700000.0,1427500000.0,8057800000.0,6371200000.0,4943700000.0,-545500000.0,545500000.0,2963700000.0,2963700000.0,16078000000.0,1424855769.0,1424855769.0,2.08,2.08,2963700000.0,2963700000.0,0.0,2963700000.0,-329500000.0,3293200000.0,3293200000.0,1204000000.0,4398200000.0,610900000.0,0.0,,-545500000.0,545500000.0,4332800000.0,8020200000.0,6592700000.0,1427500000.0,1427500000.0,12353000000.0,8057800000.0,20410800000.0,20410800000.0,1083317823777.4412
INDHOTEL,2025-05-05 08:00:00-04:00,3.69,3.68,-0.13,2025-03-31,133695281.682316,0.249944,8618400000.0,534900000.0,534900000.0,5223000000.0,1420000000.0,10930800000.0,9153300000.0,7733300000.0,762400000.0,533700000.0,4821795281.682316,5223000000.0,14169800000.0,,,,,5223000000.0,5223000000.0,0.0,5223000000.0,-403600000.0,5626600000.0,5626600000.0,1799500000.0,7199600000.0,-1434000000.0,-19200000.0,,762400000.0,533700000.0,7148000000.0,3239000000.0,-6103800000.0,1420000000.0,1200000000.0,10387000000.0,10930800000.0,21317800000.0,21317800000.0,
INDHOTEL,2025-01-17 05:00:00-05:00,3.96,4.09,3.36,2024-12-31,0.0,0.264031,10203600000.0,0.0,0.0,5823200000.0,1339400000.0,8299500000.0,10203600000.0,8864200000.0,-523900000.0,523900000.0,5823200000.0,5823200000.0,17053100000.0,1423765281.0,1423765281.0,4.09,4.09,5823200000.0,5823200000.0,0.0,5823200000.0,-502100000.0,6325300000.0,6325300000.0,2202100000.0,8340300000.0,586800000.0,0.0,,-523900000.0,523900000.0,8277400000.0,8753600000.0,7414200000.0,1339400000.0,1339400000.0,17031000000.0,8299500000.0,25330500000.0,25330500000.0,1245761946574.1177
INDHOTEL,2024-11-07 06:00:00-05:00,1.69,2.12,25.49,2024-09-30,540687056.658568,0.175913,5653700000.0,3073600000.0,3073600000.0,5545800000.0,1249300000.0,6965400000.0,8727300000.0,7478000000.0,-522300000.0,522300000.0,3012887056.658568,5545800000.0,14497800000.0,1425655527.0,1425655527.0,3.89,3.89,5545800000.0,5545800000.0,0.0,5545800000.0,-281300000.0,5827100000.0,5827100000.0,1223600000.0,6955700000.0,641000000.0,3073600000.0,-3073600000.0,-522300000.0,522300000.0,3763400000.0,7532400000.0,6283100000.0,1249300000.0,1249300000.0,11295800000.0,6965400000.0,18261200000.0,18261200000.0,973284342827.656
INDHOTEL,2024-07-19 07:00:00-04:00,1.95,1.75,-10.18,2024-06-30,0.0,0.28701,4956400000.0,0.0,0.0,2483900000.0,1172900000.0,5747700000.0,4956400000.0,3783500000.0,-498600000.0,498600000.0,2483900000.0,2483900000.0,12179200000.0,1419371429.0,1419371429.0,1.75,1.75,2483900000.0,2483900000.0,0.0,2483900000.0,-118000000.0,2601900000.0,2601900000.0,942800000.0,3284900000.0,460400000.0,0.0,,-498600000.0,498600000.0,3323100000.0,6431500000.0,5258600000.0,1172900000.0,1172900000.0,9754600000.0,5747700000.0,15502300000.0,15502300000.0,884576895241.2839
INDHOTEL,2024-04-24 08:00:00-04:00,3.07,2.93,-4.64,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2024-02-01 06:00:00-05:00,3.01,3.18,5.73,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2023-10-27 05:00:00-04:00,0.93,1.18,26.88,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2023-07-27 07:00:00-04:00,1.6,1.57,-1.87,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2023-04-27 09:00:00-04:00,2.58,2.31,-10.29,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2023-01-31 06:00:00-05:00,2.06,2.69,30.56,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2022-11-10 07:00:00-05:00,1.04,0.86,-16.94,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2022-08-08 06:00:00-04:00,0.9,1.2,32.69,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2022-04-27 09:00:00-04:00,0.72,0.56,-21.87,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2022-02-01 10:00:00-05:00,0.95,0.61,-35.58,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2021-10-21 06:00:00-04:00,-1.44,-1.01,29.99,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2021-08-09 07:00:00-04:00,-1.63,-2.33,-42.67,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2021-04-30 10:00:00-04:00,1.26,-0.77,-161.22,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2021-02-03 06:00:00-05:00,-0.2,-1.19,-493.5,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2020-11-04 07:00:00-05:00,-1.85,-2.07,-12.1,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2020-06-10 09:00:00-04:00,0.3,0.39,30.77,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2020-01-31 05:00:00-05:00,1.04,1.72,65.11,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2019-11-11 07:00:00-05:00,0.31,0.6,97.41,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
