Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Research And Development,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
TMPV,2026-02-14 05:00:00-05:00,2.2,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMPV,2025-11-14 09:00:00-05:00,13.0,206.7,1490.02,2025-09-30,-5500391573.729864,0.210905,950000000.0,-26080000000.0,-26080000000.0,-64460000000.0,48710000000.0,479460000000.0,-25130000000.0,-73840000000.0,-6860000000.0,6860000000.0,-43880391573.729866,761700000000.0,852240000000.0,3682274653.0,3682274653.0,-17.5,-17.5,761700000000.0,761700000000.0,0.0,761700000000.0,-780000000.0,762480000000.0,826160000000.0,-63680000000.0,-17020000000.0,-80700000000.0,90570000000.0,-26080000000.0,17680000000.0,,8400000000.0,-6860000000.0,6860000000.0,-135100000000.0,372780000000.0,186720000000.0,48710000000.0,48710000000.0,35390000000.0,237680000000.0,479460000000.0,717140000000.0,717140000000.0,
TMPV,2025-08-08 06:00:00-04:00,12.2,10.65,-12.7,2025-06-30,-156892645.207696,0.280165,118750000000.0,-560000000.0,-560000000.0,39240000000.0,53200000000.0,668900000000.0,118190000000.0,64990000000.0,-9380000000.0,9380000000.0,39643107354.792305,39240000000.0,1071190000000.0,3684507042.0,3681050657.0,10.65,10.66,39240000000.0,39240000000.0,0.0,39240000000.0,-790000000.0,40030000000.0,0.0,40030000000.0,15580000000.0,55610000000.0,92500000000.0,-560000000.0,70000000.0,0.0,490000000.0,-9380000000.0,9380000000.0,-33270000000.0,402290000000.0,205170000000.0,53200000000.0,53200000000.0,25160000000.0,369020000000.0,668900000000.0,1037920000000.0,1037920000000.0,
TMPV,2025-05-13 06:00:00-04:00,22.16,24.55,10.81,2025-03-31,-436637307.055027,0.253859,161440000000.0,-1720000000.0,-1720000000.0,85970000000.0,52690000000.0,764030000000.0,159720000000.0,107030000000.0,32370000000.0,-7640000000.0,87253362692.94498,134680000000.0,1106200000000.0,,,,,134680000000.0,134680000000.0,0.0,134680000000.0,410000000.0,134270000000.0,,85560000000.0,29110000000.0,114670000000.0,25330000000.0,-5660000000.0,5460000000.0,320000000.0,-120000000.0,32370000000.0,-7640000000.0,55170000000.0,342170000000.0,-13640000000.0,52690000000.0,52690000000.0,22390000000.0,397340000000.0,764030000000.0,1161370000000.0,1161370000000.0,
TMPV,2025-01-29 05:00:00-05:00,15.85,14.8,-6.62,2024-12-31,-71013812.874642,0.27313,148330000000.0,-260000000.0,-260000000.0,54510000000.0,54080000000.0,694220000000.0,148070000000.0,93990000000.0,-17250000000.0,17250000000.0,54698986187.12536,54510000000.0,1132670000000.0,3683108108.0,3680621202.0,14.8,14.81,54510000000.0,54510000000.0,0.0,54510000000.0,-1270000000.0,55780000000.0,,55780000000.0,20960000000.0,76740000000.0,98480000000.0,-260000000.0,220000000.0,-10000000.0,50000000.0,-17250000000.0,17250000000.0,-4340000000.0,438450000000.0,243950000000.0,54080000000.0,54080000000.0,27730000000.0,434110000000.0,694220000000.0,1128330000000.0,1128330000000.0,
TMPV,2024-11-08 05:00:00-05:00,11.47,9.71,-15.36,2024-09-30,112961730.449251,0.364393,113380000000.0,310000000.0,310000000.0,29810000000.0,54670000000.0,507590000000.0,113690000000.0,59020000000.0,-10940000000.0,10940000000.0,29612961730.44925,34460000000.0,863700000000.0,3442557443.0,3439121756.0,10.01,10.02,34460000000.0,34460000000.0,0.0,34460000000.0,-750000000.0,35210000000.0,4650000000.0,30560000000.0,17520000000.0,48080000000.0,89030000000.0,310000000.0,50000000.0,0.0,-310000000.0,-10940000000.0,10940000000.0,-35290000000.0,356110000000.0,180540000000.0,54670000000.0,54670000000.0,27660000000.0,320820000000.0,507590000000.0,828410000000.0,828410000000.0,
TMPV,2024-08-01 06:00:00-04:00,16.08,14.43,-10.28,2024-06-30,,,,,,,,,,,,,,,,3840029218.0,3835826341.0,27.38,27.41,,,,,,,48710000000.0,,,,,,,0.0,,,,,,,,,,,,,,
TMPV,2024-05-10 06:00:00-04:00,18.26,45.59,149.67,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMPV,2024-02-02 05:00:00-05:00,2.7,2.93,8.44,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMPV,2023-11-02 06:00:00-04:00,2.8,3.59,28.34,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
