Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
FEDERALBNK,2026-01-27 05:00:00-05:00,3.94,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERALBNK,2025-10-18 02:00:00-04:00,3.54,3.85,8.76,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERALBNK,2025-08-02 06:00:00-04:00,3.96,3.47,-12.43,2025-06-30,0.0,0.254412,0.0,0.0,9183200000.0,26112200000.0,45396200000.0,71508400000.0,9183200000.0,9183200000.0,2481945946.0,2455401070.0,3.7,3.74,9183200000.0,9183200000.0,9183200000.0,-322700000.0,9505900000.0,0.0,9505900000.0,3230600000.0,12698300000.0,0.0,20686700000.0,11583900000.0,37757100000.0,37757100000.0,520146308911.12213
FEDERALBNK,2025-04-30 07:00:00-04:00,3.98,4.16,4.59,2025-03-31,368474899.951225,0.221866,1660799000.0,1660799000.0,10909358000.0,26514744000.0,44564737000.0,71079481000.0,9617033899.951223,10909358000.0,,,,,10909358000.0,10909358000.0,10909358000.0,-295387000.0,11204699000.0,0.0,11204699000.0,3252800000.0,14661099000.0,1660799000.0,21024078000.0,-272308000.0,35477250000.0,35477250000.0,
FEDERALBNK,2025-01-27 10:00:00-05:00,4.18,3.85,-7.98,2024-12-31,0.0,0.257,0.0,0.0,9441500000.0,26950500000.0,45698200000.0,72648700000.0,9441500000.0,9441500000.0,2478083990.0,2452337662.0,3.81,3.85,9441500000.0,9441500000.0,9441500000.0,-71600000.0,9513100000.0,0.0,9513100000.0,3281500000.0,12768500000.0,0.0,19619900000.0,10660800000.0,36262000000.0,36262000000.0,487565073129.4765
FEDERALBNK,2024-10-28 09:00:00-04:00,4.13,4.27,3.52,2024-09-30,0.0,0.250222,0.0,0.0,10962500000.0,26122100000.0,43934500000.0,70056600000.0,10962500000.0,10962500000.0,2474604966.0,2446986607.0,4.43,4.48,10962500000.0,10962500000.0,10962500000.0,-185500000.0,11148000000.0,0.0,11148000000.0,3685900000.0,14730500000.0,0.0,19526500000.0,10587800000.0,36218400000.0,36218400000.0,478499053305.5517
FEDERALBNK,2024-07-24 08:00:00-04:00,3.9,4.09,4.82,2024-06-30,0.0,0.259424,0.0,0.0,10275100000.0,25160700000.0,42115300000.0,67276000000.0,10275100000.0,10275100000.0,2469975962.0,2440641330.0,4.16,4.21,10275100000.0,10275100000.0,10275100000.0,-199200000.0,10474300000.0,0.0,10474300000.0,3643200000.0,14043400000.0,0.0,18749000000.0,10286500000.0,34521200000.0,34521200000.0,427462747218.35266
FEDERALBNK,2024-05-02 03:00:00-04:00,4.03,3.68,-8.76,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERALBNK,2024-01-16 02:00:00-05:00,3.9,4.11,5.42,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERALBNK,2023-10-16 03:00:00-04:00,3.88,4.12,6.18,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
