Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
JINDALSTEL,2026-01-22 05:00:00-05:00,17.39,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JINDALSTEL,2025-10-28 08:00:00-04:00,6.8,9.06,33.24,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JINDALSTEL,2025-08-12 09:00:00-04:00,12.94,14.73,13.85,2025-06-30,0.0,0.258643,30360000000.0,0.0,0.0,14939700000.0,7215100000.0,51203300000.0,30360000000.0,23144900000.0,-2966100000.0,2966100000.0,14939700000.0,14939700000.0,100583200000.0,1014236253.0,1014236253.0,14.73,14.73,14939700000.0,14939700000.0,0.0,14939700000.0,-20000000.0,14959700000.0,14959700000.0,5219100000.0,20178800000.0,304000000.0,0.0,-2966100000.0,2966100000.0,22841200000.0,49379900000.0,39118300000.0,7215100000.0,7215100000.0,72221100000.0,51203300000.0,123424400000.0,123424400000.0,953215308260.3333
JINDALSTEL,2025-04-30 11:00:00-04:00,10.25,-3.35,-132.68,2025-03-31,0.0,0.3,11669500000.0,,,-3394000000.0,6906100000.0,176445000000.0,11669500000.0,4763400000.0,-3415500000.0,4045300000.0,-3394000000.0,-3394000000.0,30589600000.0,,,,,-3394000000.0,-3394000000.0,0.0,-3394000000.0,-358100000.0,-3035900000.0,-3035900000.0,3754000000.0,718100000.0,-632700000.0,,-3415500000.0,4045300000.0,13897900000.0,-145855400000.0,-175530500000.0,6906100000.0,6906100000.0,-131957500000.0,176445000000.0,44487500000.0,44487500000.0,
JINDALSTEL,2025-01-30 06:00:00-05:00,8.9,11.49,29.1,2024-12-31,0.0,0.207217,22103200000.0,,,9504800000.0,6980600000.0,51491100000.0,22103200000.0,15122600000.0,-3128400000.0,3128400000.0,9504800000.0,9504800000.0,103344700000.0,1012225772.0,1012225772.0,9.39,9.39,9504800000.0,9504800000.0,0.0,9504800000.0,-4000000.0,9508800000.0,9508800000.0,2485400000.0,11994200000.0,263800000.0,,-3128400000.0,3128400000.0,14858000000.0,51853600000.0,41786100000.0,6980600000.0,6980600000.0,66711600000.0,51491100000.0,118202700000.0,118202700000.0,940213359153.9934
JINDALSTEL,2024-11-06 06:00:00-05:00,7.2,8.83,22.64,2024-09-30,0.0,0.290784,22350800000.0,,,8609000000.0,6959600000.0,51468300000.0,22350800000.0,15391200000.0,-3258500000.0,3258500000.0,8609000000.0,8609000000.0,97765500000.0,1014016490.0,1014016490.0,8.49,8.49,8609000000.0,8609000000.0,0.0,8609000000.0,4300000.0,8604700000.0,8604700000.0,3528000000.0,12132700000.0,348300000.0,,-3258500000.0,3258500000.0,15042900000.0,46297200000.0,36586500000.0,6959600000.0,6959600000.0,61340100000.0,51468300000.0,112808400000.0,112808400000.0,1052135068138.6708
JINDALSTEL,2024-07-24 08:00:00-04:00,12.1,14.46,19.5,2024-06-30,0.0,0.280321,28738100000.0,0.0,0.0,13401500000.0,6829200000.0,68519300000.0,28738100000.0,21908900000.0,-3318400000.0,3318400000.0,13401500000.0,13401500000.0,115765200000.0,1006874530.0,1006874530.0,13.31,13.31,13401500000.0,13401500000.0,0.0,13401500000.0,22300000.0,13379200000.0,13379200000.0,5211300000.0,18590500000.0,344900000.0,0.0,-3318400000.0,3318400000.0,21564000000.0,47245900000.0,37394700000.0,6829200000.0,6829200000.0,68809900000.0,68519300000.0,137329200000.0,137329200000.0,1047305852069.4044
JINDALSTEL,2024-05-13 08:00:00-04:00,11.75,9.34,-20.54,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JINDALSTEL,2024-01-31 06:00:00-05:00,12.27,19.21,56.53,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JINDALSTEL,2023-10-31 07:00:00-04:00,11.52,13.81,19.88,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
