Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
GODREJCP,2026-01-22 05:00:00-05:00,5.68,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2025-10-31 07:00:00-04:00,5.09,4.28,-15.91,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2025-08-07 06:00:00-04:00,4.87,4.28,-12.01,2025-06-30,-51341453.478898,0.262751,7790800000.0,-195400000.0,-195400000.0,4524500000.0,593500000.0,17613400000.0,7595400000.0,7001900000.0,-864900000.0,864900000.0,4668558546.521102,4524500000.0,30066700000.0,1023642534.0,1023642534.0,4.42,4.42,4524500000.0,4524500000.0,0.0,4524500000.0,0.0,4524500000.0,4524500000.0,1612500000.0,6137000000.0,845200000.0,-195400000.0,195400000.0,,-864900000.0,864900000.0,6352100000.0,12453300000.0,5831200000.0,593500000.0,593500000.0,3138300000.0,3138300000.0,18805400000.0,17613400000.0,36418800000.0,36418800000.0,1195995346709.5137
GODREJCP,2025-05-05 21:00:00-04:00,4.77,4.22,-11.39,2025-03-31,-52083602.814699,0.355762,7772500000.0,-146400000.0,-146400000.0,4119900000.0,725500000.0,20444600000.0,7626100000.0,6900600000.0,1775200000.0,505600000.0,4214216397.185301,4119900000.0,28744300000.0,,,,,4119900000.0,4119900000.0,0.0,4119900000.0,0.0,4119900000.0,4119900000.0,2275100000.0,6395000000.0,-2283800000.0,-417700000.0,,313600000.0,1775200000.0,505600000.0,7033800000.0,8299700000.0,-11175600000.0,725500000.0,607600000.0,15761100000.0,14269500000.0,15333500000.0,20444600000.0,35778100000.0,35778100000.0,
GODREJCP,2025-01-24 05:00:00-05:00,5.03,4.87,-3.13,2024-12-31,-15441669.356022,0.269019,8390400000.0,-57400000.0,-57400000.0,4983100000.0,618900000.0,17282000000.0,8333000000.0,7714100000.0,-897100000.0,897100000.0,5025058330.643978,4983100000.0,30550600000.0,1023223819.0,1023223819.0,4.87,4.87,4983100000.0,4983100000.0,0.0,4983100000.0,0.0,4983100000.0,4983100000.0,1833900000.0,6817000000.0,831000000.0,-57400000.0,,,-897100000.0,897100000.0,6940500000.0,13268600000.0,6238000000.0,618900000.0,618900000.0,3643700000.0,3643700000.0,20209100000.0,17282000000.0,37491100000.0,37491100000.0,1088913114449.432
GODREJCP,2024-10-24 06:00:00-04:00,4.88,4.84,-0.77,2024-09-30,-17614170.888405,0.304743,8456300000.0,-57800000.0,-57800000.0,4913100000.0,501000000.0,16282200000.0,8398500000.0,7897500000.0,-830900000.0,830900000.0,4953285829.111595,4913100000.0,29375700000.0,1023562500.0,1023562500.0,4.8,4.8,4913100000.0,4913100000.0,0.0,4913100000.0,0.0,4913100000.0,4913100000.0,2153500000.0,7066600000.0,859900000.0,-57800000.0,,,-830900000.0,830900000.0,7095400000.0,13093500000.0,6039100000.0,501000000.0,501000000.0,3639500000.0,3639500000.0,20188900000.0,16282200000.0,36471100000.0,36471100000.0,1397307375709.5337
GODREJCP,2024-08-07 06:00:00-04:00,4.83,4.55,-5.81,2024-06-30,-60941291.554741,0.300203,8015400000.0,-203000000.0,-203000000.0,4506900000.0,494600000.0,14707700000.0,7812400000.0,7317800000.0,-877500000.0,877500000.0,4648958708.445259,4506900000.0,26358100000.0,1024295455.0,1021972789.0,4.4,4.41,4506900000.0,4506900000.0,0.0,4506900000.0,0.0,4506900000.0,4506900000.0,1933400000.0,6440300000.0,771100000.0,-203000000.0,,203000000.0,-877500000.0,877500000.0,6749700000.0,11650400000.0,5259800000.0,494600000.0,494600000.0,3308200000.0,3308200000.0,18400100000.0,14707700000.0,33107800000.0,33107800000.0,1372541517029.1938
GODREJCP,2024-05-06 09:00:00-04:00,4.64,4.72,1.79,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2024-01-31 05:00:00-05:00,5.35,5.73,7.17,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2023-11-01 07:00:00-04:00,4.69,4.32,-8.01,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2023-08-07 07:00:00-04:00,4.5,4.38,-2.74,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2023-05-10 06:00:00-04:00,4.41,4.6,4.24,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2023-01-31 02:00:00-05:00,5.26,5.4,2.66,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2022-11-08 04:00:00-05:00,4.29,3.68,-14.18,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2022-08-03 03:00:00-04:00,3.73,3.39,-9.16,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2022-05-19 06:00:00-04:00,4.02,3.74,-6.88,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2022-02-08 02:00:00-05:00,4.84,4.78,-1.24,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2021-11-11 04:00:00-05:00,4.67,4.69,0.37,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2021-08-04 05:00:00-04:00,4.93,4.06,-17.53,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2021-05-11 06:00:00-04:00,3.93,4.12,4.91,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2021-02-08 04:00:00-05:00,4.68,4.86,3.88,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2020-11-05 05:00:00-05:00,4.44,4.48,0.97,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2020-08-04 06:00:00-04:00,2.95,2.93,-0.64,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2020-05-13 06:00:00-04:00,3.63,3.09,-14.76,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2020-01-29 05:00:00-05:00,4.22,4.39,3.9,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
