Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Insurance And Claims,Total Revenue,Operating Revenue,Market Cap
SBIN,2026-02-05 05:00:00-05:00,18.3,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2025-11-04 02:00:00-05:00,19.29,22.0,14.05,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2025-08-08 03:00:00-04:00,18.97,21.47,13.2,2025-06-30,0.0,0.2601,0.0,0.0,212014700000.0,474622200000.0,782664600000.0,1257286800000.0,212014700000.0,212014700000.0,8923177609.0,8923177609.0,23.76,23.76,212014700000.0,212014700000.0,212014700000.0,-9199100000.0,221213800000.0,0.0,221213800000.0,76024800000.0,292291200000.0,0.0,535048200000.0,125350200000.0,224792300000.0,887253600000.0,887253600000.0,7320128533692.134
SBIN,2025-05-03 04:00:00-04:00,20.01,20.89,4.39,2025-03-31,-41968451.057966,0.258597,-162293000.0,-162293000.0,196004571000.0,487699398000.0,782270553000.0,1269969951000.0,196124895548.94205,196004571000.0,,,,,196004571000.0,196004571000.0,196004571000.0,-7789982000.0,203794544000.0,0.0,203794544000.0,69554300000.0,268968135000.0,-162293000.0,647879037000.0,-68460532000.0,364634115000.0,884586956000.0,884586956000.0,
SBIN,2025-02-06 03:00:00-05:00,17.76,18.93,6.6,2024-12-31,0.0,0.249978,0.0,0.0,188531600000.0,472569200000.0,773967400000.0,1246536600000.0,188531600000.0,188531600000.0,8926685606.0,8926685606.0,21.12,21.12,188531600000.0,188531600000.0,188531600000.0,-6306200000.0,194837800000.0,0.0,194837800000.0,63910500000.0,255664000000.0,0.0,615636100000.0,143008100000.0,295950900000.0,904568300000.0,904568300000.0,6956583418720.294
SBIN,2024-11-08 03:00:00-05:00,17.08,20.54,20.24,2024-09-30,0.0,0.264054,0.0,0.0,197827600000.0,474259200000.0,736187600000.0,1210446800000.0,197827600000.0,197827600000.0,8923211547.0,8923211547.0,22.17,22.17,197827600000.0,197827600000.0,197827600000.0,-7822700000.0,205650300000.0,0.0,205650300000.0,72546900000.0,274743100000.0,0.0,580183100000.0,162345500000.0,254904300000.0,901836200000.0,901836200000.0,6892206033053.769
SBIN,2024-08-03 04:00:00-04:00,19.14,19.09,-0.24,2024-06-30,0.0,0.255298,0.0,0.0,193249600000.0,465416700000.0,717007800000.0,1182424500000.0,193249600000.0,193249600000.0,8926078522.0,8926078522.0,21.65,21.65,193249600000.0,193249600000.0,193249600000.0,-7694000000.0,200943600000.0,0.0,200943600000.0,67469700000.0,264277700000.0,0.0,485068200000.0,115145800000.0,201449300000.0,804242700000.0,804242700000.0,7428630785106.988
SBIN,2024-05-09 04:00:00-04:00,15.72,23.19,47.57,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2024-02-03 03:00:00-05:00,15.78,16.08,1.94,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2023-11-04 04:00:00-04:00,15.94,16.06,0.75,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2023-08-04 03:00:00-04:00,18.03,18.92,4.95,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2023-05-18 04:00:00-04:00,16.25,18.71,15.11,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2023-02-03 05:00:00-05:00,14.33,15.92,11.08,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2022-11-05 04:00:00-04:00,11.92,14.86,24.64,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2022-08-06 03:00:00-04:00,8.72,6.8,-22.04,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2022-05-13 03:00:00-04:00,11.52,10.21,-11.37,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2022-02-05 03:00:00-05:00,9.55,9.45,-1.05,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2021-11-03 04:00:00-04:00,8.59,8.55,-0.47,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2021-08-04 04:00:00-04:00,6.83,7.29,6.79,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2021-05-21 04:00:00-04:00,8.31,7.23,-12.94,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2021-02-04 03:00:00-05:00,3.38,5.82,72.19,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBIN,2020-11-04 03:00:00-05:00,4.96,5.13,3.53,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
