Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
MOTHERSON,2026-02-12 05:00:00-05:00,0.85,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2025-11-13 04:00:00-05:00,0.75,0.8,7.39,2025-09-30,-114407327.345777,0.316392,28775700000.0,-361600000.0,-361600000.0,8270000000.0,12178600000.0,165029400000.0,28414100000.0,16235500000.0,-3865400000.0,3865400000.0,8517192672.654223,8270000000.0,284831500000.0,10602564103.0,10602564103.0,0.78,0.78,8270000000.0,8270000000.0,0.0,8270000000.0,-186300000.0,8456300000.0,8456300000.0,3913800000.0,12370100000.0,1212200000.0,-361600000.0,-3865400000.0,3865400000.0,13928600000.0,119802100000.0,36192600000.0,12178600000.0,1361100000.0,10817500000.0,133730700000.0,165029400000.0,298760100000.0,298760100000.0,1120160913660.179
MOTHERSON,2025-08-13 03:00:00-04:00,0.97,0.48,-50.34,2025-06-30,-416042135.024775,0.304815,26630900000.0,-1364900000.0,-1364900000.0,5118400000.0,12297200000.0,161423300000.0,25266000000.0,12968800000.0,-4250400000.0,4250400000.0,6067257864.975225,5118400000.0,287142100000.0,10663333333.0,10663333333.0,0.48,0.48,5118400000.0,5118400000.0,0.0,5118400000.0,-942500000.0,6060900000.0,6060900000.0,2657500000.0,8718400000.0,804800000.0,-1364900000.0,-4250400000.0,4250400000.0,12286200000.0,125718800000.0,36750900000.0,12297200000.0,1967900000.0,10329300000.0,138005000000.0,161423300000.0,299428300000.0,299428300000.0,1100669279649.0244
MOTHERSON,2025-05-29 04:00:00-04:00,1.1,0.99,-9.7,2025-03-31,293726985.19193,0.109152,23305800000.0,2691000000.0,2691000000.0,10504600000.0,12136300000.0,169783400000.0,25996800000.0,13860500000.0,-1951300000.0,1340300000.0,8107326985.19193,10504600000.0,279234100000.0,,,,,11349600000.0,10504600000.0,0.0,10504600000.0,-649000000.0,11153600000.0,11153600000.0,1366600000.0,12520200000.0,-3363200000.0,1718000000.0,-1951300000.0,1340300000.0,11959200000.0,109450700000.0,-18842500000.0,12136300000.0,1602300000.0,10534000000.0,121409900000.0,169783400000.0,291193300000.0,291193300000.0,
MOTHERSON,2025-02-14 04:00:00-05:00,0.85,0.83,-1.96,2024-12-31,0.0,0.255223,29001600000.0,0.0,0.0,8786300000.0,11123600000.0,146336800000.0,29001600000.0,17878000000.0,-4661300000.0,4661300000.0,8786300000.0,8786300000.0,256581700000.0,10543560000.0,10543560000.0,0.833333,0.833333,8786300000.0,8786300000.0,0.0,8786300000.0,-1057200000.0,9843500000.0,9843500000.0,3373200000.0,13216700000.0,1112000000.0,0.0,-4661300000.0,4661300000.0,15734400000.0,110244900000.0,32293500000.0,11123600000.0,1339100000.0,9784500000.0,125979300000.0,146336800000.0,272316100000.0,272316100000.0,1090666736158.4471
MOTHERSON,2024-11-12 04:00:00-05:00,0.85,0.86,0.78,2024-09-30,0.0,0.236315,28914100000.0,0.0,0.0,8797400000.0,11028400000.0,150817600000.0,28914100000.0,17885700000.0,-5461600000.0,5461600000.0,8797400000.0,8797400000.0,263232500000.0,10229534884.0,10229534884.0,0.86,0.86,8797400000.0,8797400000.0,0.0,8797400000.0,-690700000.0,9488100000.0,9488100000.0,2936000000.0,12424100000.0,2592400000.0,0.0,-5461600000.0,5461600000.0,13451000000.0,112414900000.0,33987100000.0,11028400000.0,1380400000.0,9648000000.0,125865900000.0,150817600000.0,276683500000.0,276683500000.0,1432803262488.8403
MOTHERSON,2024-08-13 05:00:00-04:00,0.91,0.98,7.69,2024-06-30,,,,,,,,,,,,,,,,10144591837.0,10144591837.0,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,1273548430841.2375
MOTHERSON,2024-05-29 05:00:00-04:00,0.74,1.35,83.17,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2024-02-12 04:00:00-05:00,0.77,0.53,-30.47,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2023-11-09 03:00:00-05:00,0.76,0.34,-55.38,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2023-08-10 04:00:00-04:00,0.57,0.59,4.7,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2023-05-26 03:00:00-04:00,0.42,0.65,53.17,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2023-02-08 08:00:00-05:00,0.45,0.45,0.15,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2022-11-10 04:00:00-05:00,0.48,0.3,-36.18,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2022-08-08 08:00:00-04:00,0.47,0.14,-70.67,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2022-05-26 08:00:00-04:00,0.28,0.12,-57.37,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2022-02-11 01:00:00-05:00,0.41,0.13,-67.76,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2021-11-12 01:00:00-05:00,0.18,0.12,-34.66,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2021-08-10 03:00:00-04:00,0.55,0.3,-45.69,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2021-06-02 03:00:00-04:00,0.65,0.77,18.01,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2021-02-12 01:00:00-05:00,0.13,0.16,16.67,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2020-11-10 02:00:00-05:00,0.31,0.12,-62.8,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2020-08-11 03:00:00-04:00,-1.11,-1.14,-2.53,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2020-06-02 03:00:00-04:00,0.22,0.26,15.36,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,2020-02-10 01:00:00-05:00,0.22,0.24,6.0,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
