Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Total Revenue,Operating Revenue,Market Cap
BAJAJHLDNG,2026-01-29 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,,,,,2025-09-30,0.0,0.14465,15590200000.0,79600000.0,1543400000.0,1900000.0,1545300000.0,15590200000.0,15590200000.0,111279086.0,111279086.0,140.1,140.1,15590200000.0,15590200000.0,15590200000.0,-1308600000.0,16898800000.0,16898800000.0,2857800000.0,19756600000.0,0.0,514100000.0,79600000.0,79600000.0,322800000.0,322800000.0,20270700000.0,20270700000.0,1362834966242.0
BAJAJHLDNG,,,,,2025-06-30,0.0,0.05398,34865100000.0,79800000.0,1816600000.0,2000000.0,1818600000.0,34865100000.0,34865100000.0,111283434.0,111283434.0,313.3,313.3,34865100000.0,34865100000.0,34865100000.0,-173300000.0,35038400000.0,35038400000.0,1999300000.0,37037700000.0,15218800000.0,488200000.0,79800000.0,79800000.0,297900000.0,297900000.0,37525900000.0,37525900000.0,1592268586325.0156
BAJAJHLDNG,,,,,2025-03-31,0.0,0.02155,17254900000.0,84300000.0,1250600000.0,3700000.0,1254300000.0,17254900000.0,17254900000.0,,,,,17254900000.0,17254900000.0,17254900000.0,-253000000.0,17507900000.0,17507900000.0,385600000.0,17893500000.0,180700000.0,-356600000.0,84300000.0,84300000.0,183700000.0,183700000.0,17536900000.0,17536900000.0,
BAJAJHLDNG,,,,,2024-12-31,0.0,0.017434,17483600000.0,84400000.0,1004800000.0,3700000.0,1008500000.0,17483600000.0,17483600000.0,111289624.0,111289624.0,157.1,157.1,17483600000.0,17483600000.0,17483600000.0,-16100000.0,17499700000.0,17499700000.0,310500000.0,17810200000.0,0.0,391000000.0,84400000.0,84400000.0,194000000.0,194000000.0,18201200000.0,18201200000.0,1313703368492.2656
BAJAJHLDNG,,,,,2024-09-30,0.0,0.031297,14363600000.0,84200000.0,1070900000.0,3700000.0,1074600000.0,14363600000.0,14363600000.0,111259489.0,111259489.0,129.1,129.1,14363600000.0,14363600000.0,14363600000.0,-740700000.0,15104300000.0,15104300000.0,488000000.0,15592300000.0,0.0,546400000.0,84200000.0,84200000.0,346800000.0,346800000.0,16138700000.0,16138700000.0,1159542265587.9004
BAJAJHLDNG,,,,,2024-06-30,,,,,,,,,,111296475.0,111296475.0,144.7,144.7,,,,,,,,,,,,,,,,,937813661476.172
BAJAJHLDNG,2018-10-24 07:00:00-04:00,79.67,68.7,-13.77,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,2017-10-17 06:00:00-04:00,65.18,75.0,15.07,2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,2008-05-22 03:00:00-04:00,29.22,12.33,-57.82,2008-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,2008-01-30 03:00:00-05:00,37.49,37.39,-0.27,2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,2007-10-19 04:00:00-04:00,26.62,33.2,24.72,2007-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,2007-05-17 04:00:00-04:00,31.77,31.73,-0.12,2007-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,2007-01-16 03:00:00-05:00,32.3,35.32,9.34,2006-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,2006-10-18 03:00:00-04:00,32.87,31.4,-4.47,2006-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,2006-07-15 02:00:00-04:00,29.17,26.3,-9.84,2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,2006-05-19 04:00:00-04:00,73.35,34.3,-53.23,2006-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,2006-01-13 03:00:00-05:00,29.41,26.33,-10.47,2005-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
