Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Depreciation And Amortization In Income Statement,Total Revenue,Operating Revenue,Net Policyholder Benefits And Claims,Market Cap
BAJAJFINSV,2026-01-29 05:00:00-05:00,14.42,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2025-11-11 03:00:00-05:00,14.34,13.9,-3.07,2025-09-30,0.0,0.30456,22441000000.0,3271900000.0,137264600000.0,-69013300000.0,69013300000.0,196434500000.0,22441000000.0,22441000000.0,247391500000.0,1614460432.0,1591560284.0,13.9,14.1,22441000000.0,22441000000.0,22441000000.0,-25023700000.0,47464700000.0,47464700000.0,20786600000.0,68251300000.0,6377600000.0,-69013300000.0,69013300000.0,18109900000.0,3271900000.0,315642800000.0,315642800000.0,68477500000.0,3193306592674.052
BAJAJFINSV,2025-07-25 02:00:00-04:00,15.35,17.3,12.7,2025-06-30,0.0,0.260233,27890500000.0,3173300000.0,140101400000.0,-68071000000.0,68071000000.0,189432400000.0,27890500000.0,27890500000.0,230272700000.0,1612167630.0,1593742857.0,17.3,17.5,27890500000.0,27890500000.0,27890500000.0,-25401200000.0,53291700000.0,53285700000.0,18744700000.0,72030400000.0,5327800000.0,-68071000000.0,68071000000.0,16454400000.0,3173300000.0,302309100000.0,302309100000.0,56387700000.0,3276735313992.0
BAJAJFINSV,2025-04-29 10:00:00-04:00,12.62,15.0,18.86,2025-03-31,0.0,0.207586,24166400000.0,3394900000.0,123981100000.0,-66734100000.0,63957900000.0,179814100000.0,24166400000.0,24166400000.0,323115800000.0,,,,,24166400000.0,24166400000.0,24166400000.0,-23396800000.0,47563200000.0,47563200000.0,12460000000.0,60023200000.0,-4082700000.0,-66734100000.0,63957900000.0,64488300000.0,3394900000.0,383139000000.0,383139000000.0,63324400000.0,
BAJAJFINSV,2025-01-30 02:00:00-05:00,12.62,13.9,10.14,2024-12-31,0.0,0.240836,22310000000.0,2885000000.0,120877800000.0,-62762700000.0,62762700000.0,174328700000.0,22310000000.0,22310000000.0,210350300000.0,1605035971.0,1593571429.0,13.9,14.0,22310000000.0,22310000000.0,22310000000.0,-21808900000.0,44118900000.0,44118900000.0,13996200000.0,58115100000.0,7362700000.0,-62762700000.0,62762700000.0,17652500000.0,2885000000.0,268465400000.0,268465400000.0,58024400000.0,2497662353228.217
BAJAJFINSV,2024-10-23 04:00:00-04:00,13.97,13.0,-6.94,2024-09-30,0.0,0.299334,20869700000.0,2753200000.0,120116000000.0,-60456300000.0,60456300000.0,166135000000.0,20869700000.0,20869700000.0,231490700000.0,1605361538.0,1593106870.0,13.0,13.1,20869700000.0,20869700000.0,20869700000.0,-20931800000.0,41801500000.0,41801500000.0,17858200000.0,59659700000.0,6184100000.0,-60456300000.0,60456300000.0,17017500000.0,2753200000.0,291150400000.0,291150400000.0,64502300000.0,3142306260019.3203
BAJAJFINSV,2024-07-24 02:00:00-04:00,14.24,13.3,-6.6,2024-06-30,,,,,,,,,,,,1607293233.0,1595298507.0,13.3,13.4,,,,,,,,,,,,,,,,,2532339499150.76
BAJAJFINSV,2024-01-30 02:00:00-05:00,8.91,13.4,50.39,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2023-10-27 03:00:00-04:00,10.67,12.0,12.46,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2020-05-21 04:00:00-04:00,8.09,1.22,-84.92,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
