Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
AXISBANK,2026-01-15 05:00:00-05:00,20.17,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2025-10-15 06:00:00-04:00,18.8,16.32,-13.19,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2025-07-17 11:00:00-04:00,20.47,18.64,-8.93,2025-06-30,0.0,0.23467,0.0,0.0,62437200000.0,141096200000.0,182386900000.0,323483100000.0,62437200000.0,62437200000.0,3115628743.0,3098620347.0,20.04,20.15,62437200000.0,62437200000.0,62437200000.0,-357700000.0,62794900000.0,0.0,62794900000.0,19195300000.0,81797000000.0,0.0,99484200000.0,62967700000.0,221623100000.0,221623100000.0,3712692233313.426
AXISBANK,2025-04-24 07:00:00-04:00,21.21,22.87,7.84,2025-03-31,-956601733.643127,0.243064,-3935600000.0,-3935600000.0,74751300000.0,143316100000.0,181207100000.0,324523200000.0,77730298266.35687,74751300000.0,,,,,74751300000.0,74751300000.0,74751300000.0,-339700000.0,75091000000.0,0.0,75091000000.0,24050600000.0,98947700000.0,-3935600000.0,102619500000.0,8622800000.0,218476200000.0,218476200000.0,
AXISBANK,2025-01-16 10:00:00-05:00,21.62,20.25,-6.36,2024-12-31,0.0,0.249108,0.0,0.0,67422900000.0,141225200000.0,180396800000.0,321622000000.0,67422900000.0,67422900000.0,3114221709.0,3094212942.0,21.65,21.79,67422900000.0,67422900000.0,67422900000.0,-366200000.0,67789100000.0,0.0,67789100000.0,22436600000.0,90067600000.0,0.0,96727500000.0,63189300000.0,209194900000.0,209194900000.0,3291595172707.1177
AXISBANK,2024-10-17 06:00:00-04:00,21.03,22.23,5.71,2024-09-30,0.0,0.192692,0.0,0.0,74012600000.0,139861300000.0,176149200000.0,316010500000.0,74012600000.0,74012600000.0,3112388562.0,3091587302.0,23.78,23.94,74012600000.0,74012600000.0,74012600000.0,-344000000.0,74356600000.0,0.0,74356600000.0,17683900000.0,91772900000.0,0.0,101369800000.0,66641400000.0,214462100000.0,214462100000.0,3806200989297.0
AXISBANK,2024-07-24 06:00:00-04:00,20.37,19.4,-4.77,2024-06-30,0.0,0.253757,0.0,0.0,64364300000.0,138975200000.0,172610000000.0,311585200000.0,64364300000.0,64364300000.0,3110889319.0,3088498081.0,20.69,20.84,64364300000.0,64364300000.0,64364300000.0,-307000000.0,64671300000.0,0.0,64671300000.0,21933100000.0,86433400000.0,0.0,97900300000.0,62954100000.0,205348800000.0,205348800000.0,3901374413514.816
AXISBANK,2024-04-24 06:00:00-04:00,20.48,22.96,12.09,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2024-01-23 05:00:00-05:00,19.55,19.57,0.1,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2023-10-25 06:00:00-04:00,18.61,18.92,1.66,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
