Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
BPCL,2026-01-22 05:00:00-05:00,14.76,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,2025-10-31 06:00:00-04:00,12.56,14.78,17.65,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,2025-08-13 06:00:00-04:00,17.2,14.33,-16.69,2025-06-30,-154380174.014196,0.229119,96968000000.0,-673800000.0,-673800000.0,68390200000.0,976937700000.0,96294200000.0,96294200000.0,-7577300000.0,7577300000.0,68909619825.98581,68390200000.0,1047624600000.0,4271717676.0,4271717676.0,16.01,16.01,68390200000.0,68390200000.0,0.0,68390200000.0,0.0,68390200000.0,68390200000.0,20326700000.0,88716900000.0,7497100000.0,-673800000.0,-7577300000.0,7577300000.0,77889900000.0,70686900000.0,61612500000.0,148576800000.0,976937700000.0,1125514500000.0,1125514500000.0,1368486760296.981
BPCL,2025-04-29 06:00:00-04:00,8.48,7.52,-11.32,2025-03-31,-424725528.256195,0.255213,69450300000.0,-1664200000.0,-1664200000.0,43918300000.0,1046485300000.0,67786100000.0,67786100000.0,6708900000.0,8818500000.0,45157774471.743805,43918300000.0,1033421500000.0,,,,,43918300000.0,43918300000.0,0.0,43918300000.0,0.0,43918300000.0,43918300000.0,15049300000.0,58967600000.0,-10292600000.0,-2195100000.0,6708900000.0,8818500000.0,63539700000.0,-13063800000.0,-23152000000.0,50475900000.0,1046485300000.0,1096961200000.0,1096961200000.0,
BPCL,2025-01-22 05:00:00-05:00,11.55,10.88,-5.77,2024-12-31,-170342257.128767,0.286338,62537200000.0,-594900000.0,-594900000.0,38059400000.0,997379000000.0,61942300000.0,61942300000.0,-8612600000.0,8612600000.0,38483957742.87123,38059400000.0,1074501000000.0,4271537598.0,4271537598.0,8.91,8.91,38059400000.0,38059400000.0,0.0,38059400000.0,0.0,38059400000.0,38059400000.0,15270300000.0,53329700000.0,6077900000.0,-594900000.0,-8612600000.0,8612600000.0,57157700000.0,77122000000.0,65046400000.0,134279700000.0,997379000000.0,1131658700000.0,1131658700000.0,1182234847996.7524
BPCL,2024-10-25 05:00:00-04:00,9.28,5.61,-39.56,2024-09-30,-193905170.234705,0.257442,40916900000.0,-753200000.0,-753200000.0,22972300000.0,931104700000.0,40163700000.0,40163700000.0,-9227000000.0,9227000000.0,23531594829.765293,22972300000.0,1000468200000.0,4269944238.0,4269944238.0,5.38,5.38,22972300000.0,22972300000.0,0.0,22972300000.0,0.0,22972300000.0,22972300000.0,7964400000.0,30936700000.0,6974500000.0,-753200000.0,-9227000000.0,9227000000.0,27384500000.0,69363500000.0,61632400000.0,96748000000.0,931104700000.0,1027852700000.0,1027852700000.0,1494972267038.837
BPCL,2024-07-19 10:00:00-04:00,5.31,7.06,32.96,2024-06-30,-375604069.812641,0.263637,48903200000.0,-1424700000.0,-1424700000.0,28415500000.0,1022961200000.0,47478500000.0,47478500000.0,-8889500000.0,8889500000.0,29464595930.18736,28415500000.0,1091544400000.0,4273007519.0,4273007519.0,6.65,6.65,28415500000.0,28415500000.0,0.0,28415500000.0,0.0,28415500000.0,28415500000.0,10173500000.0,38589000000.0,5704900000.0,-1424700000.0,-8889500000.0,8889500000.0,39404800000.0,68583200000.0,60728100000.0,107988000000.0,1022961200000.0,1130949200000.0,1130949200000.0,1190996915654.1406
BPCL,2024-05-09 08:00:00-04:00,13.43,11.4,-15.09,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,2024-01-29 03:00:00-05:00,5.69,7.98,40.16,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,2023-10-27 09:00:00-04:00,4.87,19.85,308.02,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
