Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
ADANIENT,2026-02-03 05:00:00-05:00,3.83,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,2025-11-04 04:00:00-05:00,5.34,3.69,-30.89,2025-09-30,,,,,,,,,,,,,,,1205053743.0,1205053743.0,26.544459,26.544459,,,,,,,,,,,,,,,,,,,,,,3019744056902.6704
ADANIENT,2025-07-31 05:00:00-04:00,14.34,6.02,-58.02,2025-06-30,0.0,0.389591,29773900000.0,0.0,0.0,7344100000.0,119552800000.0,29773900000.0,29773900000.0,-15111100000.0,15111100000.0,7344100000.0,7344100000.0,199348600000.0,1258350573.0,1258350573.0,5.836291,5.836291,7344100000.0,7344100000.0,0.0,7344100000.0,-2420700000.0,9764800000.0,0.0,9764800000.0,5712500000.0,14662800000.0,4754200000.0,0.0,-15111100000.0,15111100000.0,20263400000.0,79795800000.0,70168100000.0,100059200000.0,119552800000.0,219612000000.0,219612000000.0,3296123368030.402
ADANIENT,2025-05-01 06:00:00-04:00,16.6,32.98,98.67,2025-03-31,10533514725.418495,0.244186,16509700000.0,43137200000.0,43137200000.0,38449200000.0,278436900000.0,59646900000.0,59646900000.0,2883200000.0,7059600000.0,5845514725.418495,38449200000.0,241924600000.0,,,,,36882600000.0,36882600000.0,1566600000.0,38449200000.0,-1699800000.0,40149000000.0,0.0,40149000000.0,12841100000.0,52587300000.0,-11407200000.0,41461700000.0,2883200000.0,7059600000.0,25897300000.0,-36512300000.0,-65913400000.0,-10615000000.0,278436900000.0,267821900000.0,267821900000.0,
ADANIENT,2025-01-30 03:00:00-05:00,13.18,0.04,-99.7,2024-12-31,0.0,0.3,27168800000.0,0.0,0.0,614900000.0,131159000000.0,27168800000.0,27168800000.0,-21413200000.0,21413200000.0,614900000.0,578300000.0,204874900000.0,1190510909.0,1190510909.0,0.038779,0.038779,578300000.0,578300000.0,0.0,578300000.0,-1708100000.0,2286400000.0,-36600000.0,2323000000.0,5884400000.0,5755600000.0,6521200000.0,0.0,-21413200000.0,21413200000.0,23609300000.0,73715900000.0,66301100000.0,97325200000.0,131159000000.0,228484200000.0,228484200000.0,3008893667320.8403
ADANIENT,2024-10-29 05:00:00-04:00,17.49,14.87,-15.0,2024-09-30,0.0,0.2127,36589100000.0,0.0,0.0,17472900000.0,119477400000.0,36589100000.0,36589100000.0,-12500200000.0,12500200000.0,17472900000.0,17417500000.0,198774600000.0,1212263911.0,1212263911.0,14.367746,14.367746,17417500000.0,17417500000.0,0.0,17417500000.0,-2474400000.0,19891900000.0,-55400000.0,19947300000.0,5123700000.0,24088900000.0,5881100000.0,0.0,-12500200000.0,12500200000.0,27306100000.0,79297200000.0,71874400000.0,106603300000.0,119477400000.0,226080700000.0,226080700000.0,3799594395996.84
ADANIENT,2024-08-01 05:00:00-04:00,9.7,12.3,26.8,2024-06-30,0.0,0.261053,34130400000.0,0.0,0.0,14582600000.0,143865000000.0,34130400000.0,34130400000.0,-11774800000.0,11774800000.0,14582600000.0,14545000000.0,227006700000.0,1219742552.0,1219742552.0,11.924648,11.924648,14545000000.0,14545000000.0,0.0,14545000000.0,-3177600000.0,17722600000.0,-37600000.0,17760200000.0,5836000000.0,22355600000.0,5943200000.0,0.0,-11774800000.0,11774800000.0,27717300000.0,83141700000.0,74357800000.0,110859000000.0,143865000000.0,254724000000.0,254724000000.0,3873384788375.785
ADANIENT,2024-05-02 05:00:00-04:00,8.11,5.33,-34.31,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,2024-02-01 03:00:00-05:00,3.07,16.57,439.74,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,2020-05-06 04:00:00-04:00,3.66,0.56,-84.7,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
