Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
HUDCO,,,,,2025-09-30,0.0,0.256497,7098300000.0,28100000.0,10503800000.0,21469400000.0,31973200000.0,7098300000.0,7098300000.0,1999521127.0,1999521127.0,3.55,3.55,7098300000.0,7098300000.0,7098300000.0,7098300000.0,7098300000.0,2448800000.0,9547100000.0,-655700000.0,1006800000.0,318200000.0,28100000.0,28100000.0,10384000000.0,10384000000.0,445319801285.892
HUDCO,,,,,2025-06-30,0.0,0.264806,6302300000.0,29400000.0,9483300000.0,19763100000.0,29246400000.0,6302300000.0,6302300000.0,2000730159.0,2000730159.0,3.15,3.15,6302300000.0,6302300000.0,6302300000.0,6302300000.0,6302300000.0,2270000000.0,8572300000.0,-1112100000.0,1017200000.0,304600000.0,29400000.0,29400000.0,8560000000.0,8560000000.0,468461521144.0469
HUDCO,,,,,2025-03-31,0.0,0.286711,7277400000.0,35100000.0,9951700000.0,18578000000.0,28529700000.0,7277400000.0,7277400000.0,,,,,7277400000.0,7277400000.0,7277400000.0,7277400000.0,7277400000.0,2925200000.0,10202600000.0,95200000.0,1148400000.0,-302900000.0,35100000.0,35100000.0,9927600000.0,9927600000.0,
HUDCO,,,,,2024-12-31,0.0,0.211053,7350300000.0,26300000.0,9830500000.0,17624900000.0,27455400000.0,7350300000.0,7350300000.0,2002806540.0,2002806540.0,3.67,3.67,7350300000.0,7350300000.0,7350300000.0,7350300000.0,7350300000.0,1966300000.0,9316600000.0,-200000.0,924900000.0,296500000.0,26300000.0,26300000.0,10073100000.0,10073100000.0,456246762101.89453
HUDCO,,,,,2024-09-30,0.0,0.311408,6886200000.0,25400000.0,7972900000.0,16620200000.0,24593100000.0,6886200000.0,6886200000.0,2001802326.0,2001802326.0,3.44,3.44,6886200000.0,6886200000.0,6886200000.0,6886200000.0,6886200000.0,3114200000.0,10000400000.0,369900000.0,972300000.0,289300000.0,25400000.0,25400000.0,8641200000.0,8641200000.0,469793126715.4945
HUDCO,,,,,2024-06-30,,,,,,,,,,1999103943.0,1999103943.0,2.79,2.79,,,,,,,,,,,,,,,539916806933.5988
HUDCO,2020-09-14 06:00:00-04:00,1.22,1.02,-16.39,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDCO,2020-06-26 08:00:00-04:00,1.18,2.2,86.44,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDCO,2020-02-03 18:00:00-05:00,2.48,1.03,-58.47,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDCO,2019-11-13 08:00:00-05:00,1.46,3.63,148.63,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDCO,2019-01-22 01:00:00-05:00,1.32,1.64,24.24,2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
