Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
HINDUNILVR,2026-01-22 05:00:00-05:00,9.91,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2025-10-23 01:00:00-04:00,10.62,10.85,2.2,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2025-07-31 00:00:00-04:00,10.8,12.18,12.78,2025-06-30,-205706933.091129,0.161974,39180000000.0,-1270000000.0,-1270000000.0,27560000000.0,3610000000.0,82410000000.0,37910000000.0,34300000000.0,-1270000000.0,1270000000.0,28624293066.90887,27560000000.0,129660000000.0,2349531117.0,2349531117.0,11.73,11.73,27560000000.0,27560000000.0,0.0,27560000000.0,-120000000.0,27680000000.0,27680000000.0,5350000000.0,33030000000.0,2010000000.0,-1270000000.0,330000000.0,940000000.0,-1270000000.0,1270000000.0,33570000000.0,47250000000.0,21730000000.0,3610000000.0,3610000000.0,16560000000.0,16560000000.0,80820000000.0,82410000000.0,163230000000.0,163230000000.0,5349184262742.6455
HINDUNILVR,2025-04-24 00:00:00-04:00,9.83,10.61,7.93,2025-03-31,311320642.474717,0.263831,36710000000.0,1180000000.0,1180000000.0,24640000000.0,3470000000.0,89040000000.0,37890000000.0,34420000000.0,6750000000.0,800000000.0,23771320642.474716,24640000000.0,121740000000.0,,,,,24640000000.0,24640000000.0,0.0,24640000000.0,-110000000.0,24750000000.0,24750000000.0,8870000000.0,33620000000.0,-7020000000.0,-1380000000.0,,,6750000000.0,800000000.0,32720000000.0,32700000000.0,-13400000000.0,3470000000.0,3220000000.0,35780000000.0,35780000000.0,65420000000.0,89040000000.0,154460000000.0,154460000000.0,
HINDUNILVR,2025-01-22 05:00:00-05:00,11.22,11.14,-0.79,2024-12-31,1264316926.167755,0.249372,39280000000.0,5070000000.0,5070000000.0,29840000000.0,3410000000.0,77010000000.0,44350000000.0,40940000000.0,-1120000000.0,1120000000.0,26034316926.167755,29840000000.0,122360000000.0,2349606299.0,2349606299.0,12.7,12.7,29840000000.0,29840000000.0,0.0,29840000000.0,-50000000.0,29890000000.0,29890000000.0,9930000000.0,39820000000.0,2320000000.0,5070000000.0,-50000000.0,-5020000000.0,-1120000000.0,1120000000.0,33540000000.0,45350000000.0,21720000000.0,3410000000.0,3410000000.0,15070000000.0,15070000000.0,78890000000.0,77010000000.0,155900000000.0,155900000000.0,5368087459529.045
HINDUNILVR,2024-10-23 07:00:00-04:00,11.48,11.08,-3.44,2024-09-30,-42778091.473744,0.267363,40060000000.0,-160000000.0,-160000000.0,25910000000.0,3380000000.0,77090000000.0,39900000000.0,36520000000.0,-1100000000.0,1100000000.0,26027221908.526257,25910000000.0,122740000000.0,2349048051.0,2349048051.0,11.03,11.03,25910000000.0,25910000000.0,0.0,25910000000.0,-40000000.0,25950000000.0,25950000000.0,9470000000.0,35420000000.0,2190000000.0,-160000000.0,,,-1100000000.0,1100000000.0,34550000000.0,45650000000.0,21010000000.0,3380000000.0,3380000000.0,15010000000.0,15010000000.0,80200000000.0,77090000000.0,157290000000.0,157290000000.0,6744754110764.911
HINDUNILVR,2024-07-23 06:00:00-04:00,11.22,11.26,0.37,2024-06-30,-124726551.431,0.259847,39990000000.0,-480000000.0,-480000000.0,26100000000.0,3290000000.0,75450000000.0,39510000000.0,36220000000.0,-930000000.0,930000000.0,26455273448.569,26100000000.0,121080000000.0,2349234923.0,2349234923.0,11.11,11.11,26100000000.0,26100000000.0,0.0,26100000000.0,-20000000.0,26120000000.0,26120000000.0,9170000000.0,35290000000.0,2570000000.0,-480000000.0,,480000000.0,-930000000.0,930000000.0,34150000000.0,45630000000.0,20810000000.0,3290000000.0,3290000000.0,16810000000.0,16810000000.0,79780000000.0,75450000000.0,155230000000.0,155230000000.0,5638860097230.4
HINDUNILVR,2024-04-24 06:00:00-04:00,10.61,10.29,-3.0,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2024-01-19 05:00:00-05:00,11.05,10.77,-2.51,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2023-10-19 06:00:00-04:00,10.95,11.58,5.74,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2023-07-20 06:00:00-04:00,11.1,10.99,-1.03,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2023-04-27 02:00:00-04:00,11.16,10.61,-4.94,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2023-01-19 08:00:00-05:00,10.7,10.85,1.47,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2022-10-21 07:00:00-04:00,9.97,11.23,12.66,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2022-07-19 07:00:00-04:00,9.22,9.78,6.01,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2022-04-27 07:00:00-04:00,10.35,9.72,-6.12,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2022-01-20 05:00:00-05:00,9.77,9.76,-0.11,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
