Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
PFC,2026-02-11 05:00:00-05:00,13.57,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2025-11-07 23:00:00-05:00,15.0,13.52,-9.87,2025-09-30,0.0,0.221029,0.0,0.0,57432500000.0,153200000.0,107552400000.0,173142300000.0,280694700000.0,57432500000.0,57432500000.0,3300718391.0,3300718391.0,17.4,17.4,57432500000.0,57432500000.0,57432500000.0,-20911400000.0,78343900000.0,0.0,78343900000.0,22229700000.0,100573600000.0,0.0,-1592100000.0,4024700000.0,2449100000.0,153200000.0,153200000.0,108415200000.0,108415200000.0,1340443617126.1926
PFC,2025-08-06 03:00:00-04:00,12.36,13.64,10.4,2025-06-30,0.0,0.198012,0.0,0.0,68662600000.0,142500000.0,110535500000.0,172039800000.0,282575300000.0,68662600000.0,68662600000.0,3299500240.0,3299500240.0,20.81,20.81,68662600000.0,68662600000.0,68662600000.0,-21151900000.0,89814500000.0,0.0,89814500000.0,22175400000.0,111989900000.0,0.0,-4127500000.0,3804700000.0,2272100000.0,142500000.0,142500000.0,102878500000.0,102878500000.0,1383562777029.5898
PFC,2025-05-21 09:00:00-04:00,14.06,15.48,10.1,2025-03-31,-25951179.752765,0.208109,-124700000.0,-124700000.0,63164500000.0,157600000.0,120921500000.0,165840000000.0,286761500000.0,63263248820.24724,63164500000.0,,,,,63164500000.0,63164500000.0,63164500000.0,-20414300000.0,83578800000.0,0.0,83578800000.0,21964500000.0,105543300000.0,-124700000.0,-1929200000.0,4859400000.0,1873800000.0,157600000.0,157600000.0,121312000000.0,121312000000.0,
PFC,2025-02-12 06:00:00-05:00,12.07,12.59,4.3,2024-12-31,0.0,0.209523,0.0,0.0,58287900000.0,145700000.0,98401000000.0,165601700000.0,264002700000.0,58287900000.0,58287900000.0,3300560589.0,3300560589.0,17.66,17.66,58287900000.0,58287900000.0,58287900000.0,-19307700000.0,77595600000.0,0.0,77595600000.0,20567400000.0,98163000000.0,0.0,452600000.0,4744900000.0,3368200000.0,145700000.0,145700000.0,102818700000.0,102818700000.0,1418935151093.8284
PFC,2024-11-08 04:00:00-05:00,13.41,13.24,-1.24,2024-09-30,0.0,0.229824,0.0,0.0,53024300000.0,130400000.0,93903400000.0,160078800000.0,253982200000.0,53024300000.0,53024300000.0,3299583074.0,3299583074.0,16.07,16.07,53024300000.0,53024300000.0,53024300000.0,-19124100000.0,72149000000.0,0.0,72149000000.0,21529600000.0,93678600000.0,0.0,1562800000.0,4375400000.0,2973200000.0,130400000.0,130400000.0,95430600000.0,95430600000.0,1532299876566.7878
PFC,2024-08-06 05:00:00-04:00,11.0,11.27,2.45,2024-06-30,,,,,,,,,,,,3299488095.0,3299488095.0,16.8,16.8,,,,,,,,,,,,,,,,,,1506857826556.8691
PFC,2024-05-15 02:00:00-04:00,10.25,12.53,22.24,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2024-02-08 05:00:00-05:00,10.95,10.23,-6.58,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2023-11-08 09:00:00-05:00,9.9,11.66,17.78,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2023-08-11 06:00:00-04:00,8.32,9.11,9.52,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2023-05-27 08:00:00-04:00,9.52,10.58,11.18,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2023-02-13 05:00:00-05:00,8.88,9.1,2.52,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2022-11-10 03:00:00-05:00,6.4,9.09,42.0,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2020-06-24 05:00:00-04:00,5.74,4.35,-24.13,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2020-02-12 04:00:00-05:00,5.21,5.09,-2.3,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2019-11-14 04:00:00-05:00,4.28,3.5,-18.13,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2019-08-13 06:00:00-04:00,6.12,4.19,-31.5,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2019-05-29 02:00:00-04:00,4.9,6.42,30.83,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2019-02-11 04:00:00-05:00,4.59,6.29,36.93,2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2018-05-25 04:00:00-04:00,3.34,2.84,-14.87,2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2018-02-12 07:00:00-05:00,5.52,4.86,-12.03,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2017-11-03 05:00:00-04:00,4.96,5.72,15.32,2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2017-08-10 09:00:00-04:00,5.52,4.33,-21.59,2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC,2017-05-29 07:00:00-04:00,5.21,-10.34,-298.47,2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
