Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
BAJFINANCE,2026-01-28 05:00:00-05:00,7.14,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2025-11-10 06:00:00-05:00,7.1,6.82,-3.94,2025-09-30,0.0,0.251262,48753600000.0,2580600000.0,107846900000.0,70112800000.0,177959700000.0,48753600000.0,48753600000.0,6226513410.0,6210649682.0,7.83,7.85,48753600000.0,48753600000.0,48753600000.0,-724000000.0,49477600000.0,49477600000.0,16603700000.0,66081300000.0,947700000.0,34601800000.0,10476600000.0,2580600000.0,2580600000.0,123337600000.0,123337600000.0,6203818118976.989
BAJFINANCE,2025-07-24 06:00:00-04:00,6.48,6.64,2.55,2025-06-30,0.0,0.251632,46996100000.0,2514900000.0,102269700000.0,69176800000.0,171446500000.0,46996100000.0,46996100000.0,6224649007.0,6208203435.0,7.55,7.57,46996100000.0,46996100000.0,46996100000.0,-656800000.0,47652900000.0,47652900000.0,16022900000.0,63675800000.0,2253000000.0,33555200000.0,10014700000.0,2514900000.0,2514900000.0,118425700000.0,118425700000.0,5813982516877.5
BAJFINANCE,2025-04-29 08:00:00-04:00,7.34,7.22,-1.63,2025-03-31,0.0,0.195101,44795700000.0,2520100000.0,98330900000.0,65519800000.0,163850700000.0,44795700000.0,44795700000.0,,,,,44795700000.0,44795700000.0,44795700000.0,-660000000.0,45455700000.0,45455700000.0,11018100000.0,56473800000.0,704400000.0,31849100000.0,2092300000.0,2520100000.0,2520100000.0,111879100000.0,111879100000.0,
BAJFINANCE,2025-01-29 06:00:00-05:00,6.75,6.85,1.45,2024-12-31,0.0,0.252753,42465400000.0,2191300000.0,93825800000.0,63856300000.0,157682100000.0,42465400000.0,42465400000.0,6673801666.0,6673801666.0,6.363,6.363,42465400000.0,42465400000.0,42465400000.0,-616500000.0,43081900000.0,43081900000.0,14572300000.0,57654200000.0,1645900000.0,31816300000.0,10069600000.0,2191300000.0,2191300000.0,109873600000.0,109873600000.0,4525609432267.548
BAJFINANCE,2024-10-22 08:00:00-04:00,7.29,6.45,-11.49,2024-09-30,0.0,0.256918,39997300000.0,2100400000.0,88377000000.0,61493200000.0,149870200000.0,39997300000.0,39997300000.0,6201131783.0,6181962906.0,6.45,6.47,39997300000.0,39997300000.0,39997300000.0,-140100000.0,40137400000.0,40137400000.0,13877400000.0,54014800000.0,1483600000.0,30097400000.0,9648600000.0,2100400000.0,2100400000.0,103168500000.0,103168500000.0,4732762364297.515
BAJFINANCE,2024-07-23 06:00:00-04:00,6.42,6.31,-1.62,2024-06-30,,,,,,,,,,6199651347.0,6180063191.0,6.31,6.33,,,,,,,,,,,,,,,,4370486824354.907
BAJFINANCE,2024-04-25 08:00:00-04:00,6.08,6.17,1.47,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2024-01-29 06:00:00-05:00,6.11,5.92,-3.04,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2023-10-17 06:00:00-04:00,5.9,5.85,-0.91,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2023-07-26 04:00:00-04:00,5.54,5.66,2.1,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2023-04-26 08:00:00-04:00,5.15,5.2,1.09,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2023-01-27 05:00:00-05:00,4.5,4.32,-3.99,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2022-10-20 06:00:00-04:00,4.42,4.07,-7.91,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2022-07-27 05:00:00-04:00,3.92,3.88,-1.08,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2022-04-26 08:00:00-04:00,3.99,3.99,0.01,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2022-01-18 08:00:00-05:00,3.19,3.5,9.85,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2021-10-26 07:00:00-04:00,2.99,2.07,-30.86,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2021-07-20 05:00:00-04:00,2.32,1.39,-40.09,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2021-04-27 07:00:00-04:00,2.2,1.88,-14.47,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2021-01-20 05:00:00-05:00,2.54,1.73,-31.69,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2020-10-21 04:00:00-04:00,2.03,1.6,-21.28,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2020-07-21 02:00:00-04:00,2.3,1.44,-37.39,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2020-05-19 07:00:00-04:00,1.31,1.48,12.67,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2020-01-29 09:00:00-05:00,2.67,2.71,1.69,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
