Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
SHRIRAMFIN,2023-07-27 04:00:00-04:00,8.36,8.91,6.64,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2023-04-27 08:00:00-04:00,9.1,6.96,-23.6,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2023-01-31 06:00:00-05:00,7.17,9.45,31.8,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2022-10-20 06:00:00-04:00,7.34,7.89,7.5,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2022-07-28 06:00:00-04:00,7.35,7.14,-2.96,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2022-04-28 07:00:00-04:00,7.02,8.03,14.34,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2022-01-24 07:00:00-05:00,6.13,5.05,-17.58,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2021-10-29 08:00:00-04:00,5.0,5.74,14.93,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2021-07-30 08:00:00-04:00,6.13,1.33,-78.32,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2021-04-29 08:00:00-04:00,6.29,6.13,-2.56,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2021-01-28 07:00:00-05:00,5.54,5.91,6.72,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2020-10-29 09:00:00-04:00,4.01,5.56,38.69,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2020-08-13 09:00:00-04:00,4.26,2.82,-33.76,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2020-06-10 08:00:00-04:00,5.36,1.97,-63.26,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,2020-02-03 08:00:00-05:00,6.28,7.75,23.45,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
