Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
VBL,2026-02-09 05:00:00-05:00,0.82,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBL,2025-10-29 02:00:00-04:00,2.04,2.19,7.47,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBL,2025-07-29 02:00:00-04:00,3.0,3.89,29.64,2025-06-30,0.0,0.234726,20747420000.0,13170240000.0,3061510000.0,31911020000.0,20747420000.0,17685910000.0,-365470000.0,365470000.0,13170240000.0,13170240000.0,53247490000.0,3385665810.0,3385665810.0,3.89,3.89,13170240000.0,13170240000.0,0.0,13170240000.0,-84640000.0,13254880000.0,13254880000.0,4065560000.0,17320440000.0,771580000.0,-365470000.0,365470000.0,16926220000.0,21336470000.0,12778380000.0,3061510000.0,3061510000.0,38262690000.0,31911020000.0,70173710000.0,70173710000.0,1547629191343.8088
VBL,2025-04-30 02:00:00-04:00,2.16,2.15,-0.62,2025-03-31,0.0,0.252043,12914450000.0,7264880000.0,2725130000.0,25290630000.0,12914450000.0,10189320000.0,-411240000.0,411240000.0,7264880000.0,7264880000.0,45754840000.0,3379013953.0,3379013953.0,2.15,2.15,7264880000.0,7264880000.0,0.0,7264880000.0,-48700000.0,7313580000.0,7313580000.0,2464500000.0,9778080000.0,280580000.0,-411240000.0,411240000.0,9914510000.0,20464210000.0,12624060000.0,2725130000.0,2725130000.0,30378720000.0,25290630000.0,55669350000.0,55669350000.0,1818298060320.412
VBL,2025-02-10 01:00:00-05:00,0.45,0.56,25.37,2024-12-31,0.0,0.230163,6220800000.0,1851460000.0,2607820000.0,17892200000.0,6220800000.0,3612980000.0,-995770000.0,1071610000.0,1851460000.0,1851460000.0,25674410000.0,,,,,1851460000.0,1851460000.0,0.0,1851460000.0,-104980000.0,1956440000.0,1956440000.0,584930000.0,2541370000.0,-641310000.0,-995770000.0,1071610000.0,5587470000.0,7782210000.0,-17330010000.0,2607820000.0,2339440000.0,13369680000.0,17892200000.0,31261880000.0,31261880000.0,
VBL,2024-10-22 02:00:00-04:00,1.69,1.91,12.8,2024-09-30,0.0,0.214097,11752770000.0,6196130000.0,2566110000.0,21363940000.0,11752770000.0,9186660000.0,-1185350000.0,1185350000.0,6196130000.0,6196130000.0,39101720000.0,3244047120.0,3244047120.0,1.91,1.91,6196130000.0,6196130000.0,0.0,6196130000.0,-92120000.0,6288250000.0,6288250000.0,1713060000.0,8001310000.0,242500000.0,-1185350000.0,1185350000.0,8945110000.0,17737780000.0,10041270000.0,2566110000.0,2566110000.0,26682890000.0,21363940000.0,48046830000.0,48046830000.0,1961270817178.7988
VBL,2024-07-30 02:00:00-04:00,3.31,3.85,16.54,2024-06-30,0.0,0.241263,20347070000.0,12526030000.0,2424770000.0,32605790000.0,20347070000.0,17922300000.0,-1291590000.0,1291590000.0,12526030000.0,12526030000.0,54481220000.0,3253514286.0,3245085492.0,3.85,3.86,12526030000.0,12526030000.0,0.0,12526030000.0,-92310000.0,12618340000.0,12618340000.0,4012370000.0,16630710000.0,440260000.0,-1291590000.0,1291590000.0,17487400000.0,21875430000.0,14457750000.0,2424770000.0,2424770000.0,39362830000.0,32605790000.0,71968620000.0,71968620000.0,2107360182244.9204
VBL,2024-05-13 02:00:00-04:00,1.93,1.65,-14.45,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBL,2024-02-05 01:00:00-05:00,0.47,0.41,-12.32,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBL,2023-11-06 01:00:00-05:00,2.06,1.54,-25.24,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
