Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
MRF,2026-02-05 05:00:00-05:00,1324.8,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2025-11-14 01:00:00-05:00,1160.2,1206.26,3.97,2025-09-30,0.0,0.247645,12340000000.0,0.0,0.0,5256400000.0,4451100000.0,46552600000.0,12340000000.0,7888900000.0,-902300000.0,902300000.0,5256400000.0,5256400000.0,66979300000.0,4241153.0,4241153.0,1239.38,1239.38,5256400000.0,5256400000.0,0.0,5256400000.0,5256400000.0,5256400000.0,1730200000.0,6986600000.0,1081000000.0,0.0,-902300000.0,902300000.0,6807900000.0,20426700000.0,11032500000.0,4451100000.0,4451100000.0,27234600000.0,46552600000.0,73787200000.0,73787200000.0,618432737145.125
MRF,2025-08-12 02:00:00-04:00,1339.15,1141.74,-14.74,2025-06-30,0.0,0.253565,11976700000.0,,,5004700000.0,4287800000.0,49880500000.0,11976700000.0,7688900000.0,-984100000.0,984100000.0,5004700000.0,5004700000.0,70332300000.0,4241127.0,4241127.0,1180.04,1180.04,5004700000.0,5004700000.0,0.0,5004700000.0,5004700000.0,5004700000.0,1700100000.0,6704800000.0,1264300000.0,,-984100000.0,984100000.0,6424600000.0,20451800000.0,11387300000.0,4287800000.0,4287800000.0,26876400000.0,49880500000.0,76756900000.0,76756900000.0,602836508751.9844
MRF,2025-05-06 20:00:00-04:00,830.0,1207.48,45.48,2025-03-31,508348644.680883,0.224933,9592000000.0,2260000000.0,2260000000.0,5121100000.0,4327400000.0,50034900000.0,11852000000.0,7524600000.0,63900000.0,917300000.0,3369448644.680883,5121100000.0,61610300000.0,,,,,5121100000.0,5121100000.0,0.0,5121100000.0,5121100000.0,5121100000.0,1486200000.0,6607300000.0,-2812100000.0,-32700000.0,63900000.0,917300000.0,7355900000.0,11575400000.0,-8371600000.0,4327400000.0,4225500000.0,18931300000.0,50034900000.0,68966200000.0,68966200000.0,
MRF,2025-02-06 02:00:00-05:00,1014.25,743.8,-26.67,2024-12-31,0.0,0.256306,9328200000.0,0.0,0.0,3154600000.0,4149900000.0,46346600000.0,9328200000.0,5178300000.0,-936500000.0,936500000.0,3154600000.0,3154600000.0,65810700000.0,4241194.0,4241194.0,743.8,743.8,3154600000.0,3154600000.0,0.0,3154600000.0,3154600000.0,3154600000.0,1087200000.0,4241800000.0,980800000.0,0.0,-936500000.0,936500000.0,4197500000.0,19464100000.0,10621500000.0,4149900000.0,4149900000.0,23661600000.0,46346600000.0,70008200000.0,70008200000.0,553178867151.3438
MRF,2024-11-08 01:00:00-05:00,947.03,1073.84,13.39,2024-09-30,0.0,0.254254,11246900000.0,0.0,0.0,4707000000.0,4097300000.0,43214500000.0,11246900000.0,7149600000.0,-837800000.0,837800000.0,4707000000.0,4707000000.0,62793400000.0,4241114.0,4241114.0,1109.85,1109.85,4707000000.0,4707000000.0,0.0,4707000000.0,4707000000.0,4707000000.0,1604800000.0,6311800000.0,1132100000.0,0.0,-837800000.0,837800000.0,6017500000.0,19578900000.0,10704100000.0,4097300000.0,4097300000.0,25596400000.0,43214500000.0,68810900000.0,68810900000.0,586516378402.0
MRF,2024-08-08 03:00:00-04:00,984.77,1326.41,34.69,2024-06-30,,,,0.0,0.0,,,,,,,,,,,4241150.0,4241150.0,1346.38,1346.38,,,,,,,,,,0.0,,,,,,,,,,,,547406290787.5
MRF,2024-05-03 03:00:00-04:00,1154.5,894.93,-22.48,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2024-02-09 01:00:00-05:00,1174.75,1197.83,1.96,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2023-11-03 03:00:00-04:00,1419.4,1348.53,-4.99,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2023-08-03 03:00:00-04:00,956.0,1370.98,43.41,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2023-05-03 03:00:00-04:00,599.1,778.88,30.01,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2023-02-09 02:00:00-05:00,480.3,399.0,-16.93,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2022-11-08 01:00:00-05:00,422.55,292.33,-30.82,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2022-08-09 02:00:00-04:00,226.75,264.94,16.84,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2022-05-10 03:00:00-04:00,348.07,369.66,6.2,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2022-02-10 01:00:00-05:00,571.7,343.89,-39.85,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2021-11-09 01:00:00-05:00,504.3,432.39,-14.26,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2021-08-09 02:00:00-04:00,263.4,380.39,44.42,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2021-06-07 03:00:00-04:00,913.4,748.05,-18.1,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2021-02-11 02:00:00-05:00,948.4,1206.56,27.22,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2020-11-06 02:00:00-05:00,771.3,950.27,23.2,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2020-08-14 03:00:00-04:00,-260.5,40.21,115.44,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2020-06-29 03:00:00-04:00,423.3,1578.51,272.91,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,2020-02-10 03:00:00-05:00,754.61,557.94,-26.06,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
