Symbol,Increased_25_pct,Start_Date,End_Date,Percentage_Change,In_2020
BHARTIARTL,Yes,25/01/16,25/07/16,25.03%,No
BHARTIARTL,Yes,28/01/16,26/07/16,26.92%,No
BHARTIARTL,Yes,29/01/16,27/07/16,28.51%,No
BHARTIARTL,Yes,17/11/16,16/05/17,25.98%,No
BHARTIARTL,Yes,22/12/16,20/06/17,25.44%,No
BHARTIARTL,Yes,26/12/16,27/06/17,25.45%,No
BHARTIARTL,Yes,03/01/17,03/07/17,25.49%,No
BHARTIARTL,Yes,09/01/17,10/07/17,27.60%,No
BHARTIARTL,Yes,10/01/17,10/07/17,26.74%,No
BHARTIARTL,Yes,11/01/17,10/07/17,25.70%,No
BHARTIARTL,Yes,16/01/17,17/07/17,28.53%,No
BHARTIARTL,Yes,17/01/17,17/07/17,28.57%,No
BHARTIARTL,Yes,18/01/17,17/07/17,30.45%,No
BHARTIARTL,Yes,19/01/17,18/07/17,29.09%,No
BHARTIARTL,Yes,20/01/17,19/07/17,31.75%,No
BHARTIARTL,Yes,23/01/17,24/07/17,31.74%,No
BHARTIARTL,Yes,24/01/17,24/07/17,33.05%,No
BHARTIARTL,Yes,25/01/17,24/07/17,35.25%,No
BHARTIARTL,Yes,27/01/17,26/07/17,31.99%,No
BHARTIARTL,Yes,17/04/17,16/10/17,33.15%,No
BHARTIARTL,Yes,18/04/17,16/10/17,34.13%,No
BHARTIARTL,Yes,19/04/17,16/10/17,33.68%,No
BHARTIARTL,Yes,20/04/17,17/10/17,36.29%,No
BHARTIARTL,Yes,21/04/17,18/10/17,35.10%,No
BHARTIARTL,Yes,24/04/17,23/10/17,44.67%,No
BHARTIARTL,Yes,25/04/17,23/10/17,40.87%,No
BHARTIARTL,Yes,26/04/17,23/10/17,39.45%,No
BHARTIARTL,Yes,27/04/17,24/10/17,40.63%,No
BHARTIARTL,Yes,28/04/17,25/10/17,45.44%,No
BHARTIARTL,Yes,02/05/17,30/10/17,42.16%,No
BHARTIARTL,Yes,03/05/17,30/10/17,42.67%,No
BHARTIARTL,Yes,04/05/17,31/10/17,44.06%,No
BHARTIARTL,Yes,05/05/17,01/11/17,56.77%,No
BHARTIARTL,Yes,08/05/17,06/11/17,51.98%,No
BHARTIARTL,Yes,09/05/17,06/11/17,54.64%,No
BHARTIARTL,Yes,10/05/17,06/11/17,43.23%,No
BHARTIARTL,Yes,11/05/17,07/11/17,40.89%,No
BHARTIARTL,Yes,12/05/17,08/11/17,36.00%,No
BHARTIARTL,Yes,15/05/17,13/11/17,37.10%,No
BHARTIARTL,Yes,16/05/17,13/11/17,33.37%,No
BHARTIARTL,Yes,17/05/17,13/11/17,32.80%,No
BHARTIARTL,Yes,18/05/17,14/11/17,34.70%,No
BHARTIARTL,Yes,19/05/17,15/11/17,30.91%,No
BHARTIARTL,Yes,22/05/17,20/11/17,32.57%,No
BHARTIARTL,Yes,23/05/17,20/11/17,32.80%,No
BHARTIARTL,Yes,24/05/17,20/11/17,34.08%,No
BHARTIARTL,Yes,25/05/17,21/11/17,36.10%,No
BHARTIARTL,Yes,26/05/17,22/11/17,33.93%,No
BHARTIARTL,Yes,29/05/17,27/11/17,33.81%,No
BHARTIARTL,Yes,30/05/17,27/11/17,34.68%,No
BHARTIARTL,Yes,31/05/17,27/11/17,34.37%,No
BHARTIARTL,Yes,01/06/17,28/11/17,34.44%,No
BHARTIARTL,Yes,02/06/17,29/11/17,33.16%,No
BHARTIARTL,Yes,05/06/17,04/12/17,30.38%,No
BHARTIARTL,Yes,06/06/17,04/12/17,31.58%,No
BHARTIARTL,Yes,07/06/17,04/12/17,30.24%,No
BHARTIARTL,Yes,08/06/17,05/12/17,33.77%,No
BHARTIARTL,Yes,09/06/17,06/12/17,31.78%,No
BHARTIARTL,Yes,12/06/17,11/12/17,46.23%,No
BHARTIARTL,Yes,13/06/17,11/12/17,47.04%,No
BHARTIARTL,Yes,14/06/17,11/12/17,46.11%,No
BHARTIARTL,Yes,15/06/17,12/12/17,43.76%,No
BHARTIARTL,Yes,16/06/17,13/12/17,42.16%,No
BHARTIARTL,Yes,19/06/17,18/12/17,43.56%,No
BHARTIARTL,Yes,20/06/17,18/12/17,43.91%,No
BHARTIARTL,Yes,21/06/17,18/12/17,43.64%,No
BHARTIARTL,Yes,22/06/17,19/12/17,46.90%,No
BHARTIARTL,Yes,23/06/17,20/12/17,44.79%,No
BHARTIARTL,Yes,27/06/17,26/12/17,46.54%,No
BHARTIARTL,Yes,28/06/17,26/12/17,44.31%,No
BHARTIARTL,Yes,29/06/17,26/12/17,42.32%,No
BHARTIARTL,Yes,30/06/17,27/12/17,41.16%,No
BHARTIARTL,Yes,03/07/17,01/01/18,38.52%,No
BHARTIARTL,Yes,04/07/17,01/01/18,39.53%,No
BHARTIARTL,Yes,05/07/17,01/01/18,40.64%,No
BHARTIARTL,Yes,06/07/17,02/01/18,35.81%,No
BHARTIARTL,Yes,07/07/17,03/01/18,34.62%,No
BHARTIARTL,Yes,10/07/17,08/01/18,27.60%,No
BHARTIARTL,Yes,11/07/17,08/01/18,30.90%,No
BHARTIARTL,Yes,12/07/17,08/01/18,30.36%,No
BHARTIARTL,Yes,13/07/17,09/01/18,26.45%,No
BHARTIARTL,Yes,06/12/18,04/06/19,26.25%,No
BHARTIARTL,Yes,07/12/18,06/06/19,26.77%,No
BHARTIARTL,Yes,10/12/18,10/06/19,34.21%,No
BHARTIARTL,Yes,11/12/18,10/06/19,36.38%,No
BHARTIARTL,Yes,12/12/18,10/06/19,29.55%,No
BHARTIARTL,Yes,13/12/18,11/06/19,30.52%,No
BHARTIARTL,Yes,04/02/19,05/08/19,27.08%,No
BHARTIARTL,Yes,05/02/19,05/08/19,26.40%,No
BHARTIARTL,Yes,06/02/19,05/08/19,26.18%,No
BHARTIARTL,Yes,07/02/19,06/08/19,28.97%,No
BHARTIARTL,Yes,08/02/19,07/08/19,27.29%,No
BHARTIARTL,Yes,14/02/19,13/08/19,27.32%,No
BHARTIARTL,Yes,15/02/19,14/08/19,29.15%,No
BHARTIARTL,Yes,18/02/19,19/08/19,29.95%,No
