Symbol	Increased_25_pct	Start_Date	End_Date	Percentage_Change	In_2020	Start_Month	End_Month	Price_Start_Date	Price_End_Date	Target_Price_9m	Increase_9m_Pct	Target_Price_12m	Increase_12m_Pct	CAGR_Prev_3yr	CAGR_Prev_5yr	CAGR_Fwd_1yr	CAGR_Fwd_3yr	CAGR_Fwd_5yr	Market_Cap	Quarter End	Earnings Date	EPS Estimate	Reported EPS	Surprise(%)	EBITDA	EBIT	Diluted EPS	Basic EPS	Net Income	Gross Profit	Total Revenue	Market Cap	Total Revenue_q	Total Revenue_q-1	Total Revenue_q-2	Total Revenue_q+1	Total Revenue_q+2	Gross Profit_q	Gross Profit_q-1	Gross Profit_q-2	Gross Profit_q+1	Gross Profit_q+2	Diluted EPS_q	Diluted EPS_q-1	Diluted EPS_q-2	Diluted EPS_q+1	Diluted EPS_q+2	EBITDA_q	EBITDA_q-1	EBITDA_q-2	EBITDA_q+1	EBITDA_q+2
ADANIENSOL	Yes	13/01/25	14/07/25	27.84%	No	1	7	688.75	880.5	795.1892875	-9.688894099	795.1892875	-9.688894099			11.79443221	3.786306842	2.254878003	1.21966E+12	31/12/24	2025-01-23 04:00:00-05:00	7.35	7.26	-1.22	18308700000	13684900000	4.85	4.85	5617800000	28248100000	58302600000	9.33829E+11	58302600000	61837000000	53785500000	61536400000	68192800000	28248100000	26455100000	29712500000	19380100000	31617000000	4.85	6.09	-7.39		4.27	18308700000	18912400000	2560800000	21377800000	20169000000
AUBANK	Yes	01/01/25	30/06/25	43.79%	No	1	6	567.8496704	816.493042	736.1240777	-9.843190348	736.1240777	-9.843190348	11.51649911	24.73544414	16.00221627	5.072426605	3.013289907	7.26748E+11	31/12/24	2025-01-24 04:00:00-05:00	7.07	7.08	0.19			7.08	7.1	5284463000		26411165000	4.1562E+11	26411165000	26123268000	24298572000	28581996000	28552772000						7.08	7.65	6.74		7.78					
BAJAJHLDNG	Yes	18/11/24	19/05/25	30.78%	No	11	5	10610.69531	13876.15527	13683.13582	-1.391015374	13683.13582	-1.391015374	44.93861689	51.50207255	-18.95449584	-6.765572284	-4.116078948	1.24355E+12	30/09/24							129.1	129.1	14363600000		16138700000	1.15954E+12	16138700000			18201200000	17536900000						129.1	144.7		157.1						
BDL	Yes	01/01/25	30/06/25	71.99%	No	1	6	1129.357056	1942.415527	1508.86247	-22.32030435	1508.86247	-22.32030435	79.92781921	65.62524921	-22.54489429	-8.163212458	-4.981097427	5.41743E+11	31/12/24	2025-02-06 00:00:00-05:00	5.6	4.01	-28.39	2112943000	1935935000	4.01	4.01	1471254000	4295325000	7992891000	4.10391E+11	7992891000	5354608000		18005457000	2310926000	4295325000	3117394000		7483795000	1718588000	4.01	3.34	0.2		0.5	2112943000	1848740000		3971511000	414907000
BHARTIARTL	Yes	01/01/25	30/06/25	25.94%	No	1	6	1582.470703	1992.939209	1929.92789	-3.161728094	1929.92789	-3.161728094	43.85563655	30.0770203	6.154773217	2.010883504	1.201722713	1.28242E+13	31/12/24	2025-02-06 06:00:00-05:00	8.06	9.16	13.62	3.42716E+11	2.25674E+11	24.65	25.54	1.47812E+11	3.09692E+11	4.51293E+11	9.11287E+12	4.51293E+11	4.14733E+11	3.85064E+11	4.78762E+11	4.94626E+11	3.09692E+11	2.81749E+11	2.5681E+11	3.13261E+11	3.49399E+11	24.65	6	6.98		9.9	3.42716E+11	2.23211E+11	2.17178E+11	2.32724E+11	2.84303E+11
BHARTIHEXA	Yes	11/11/24	12/05/25	27.89%	No	11	5	1367.267334	1748.666016	1782.668958	1.944507541	1782.668958	1.944507541			0.350783577	0.116791404	0.070058483	9.14E+11	30/09/24	2024-10-28 06:00:00-04:00	5.3	5.06	-4.53	10510000000	5149000000	5.06	5.06	2531000000	12051000000	20976000000	7.18079E+11	20976000000	19106000000		22507000000	22890000000	12051000000	10489000000		13276000000	13573000000	5.06	10.22		5.22		10510000000	12340000000		10910000000	11311000000
BHARTIHEXA	Yes	02/12/24	02/06/25	33.10%	No	12	6	1382.732056	1840.460205	1782.96954	-3.123711388	1782.96954	-3.123711388			-4.654279186	-1.57613799	-0.948685983	9.14E+11	30/09/24	2024-10-28 06:00:00-04:00	5.3	5.06	-4.53	10510000000	5149000000	5.06	5.06	2531000000	12051000000	20976000000	7.18079E+11	20976000000	19106000000		22507000000	22890000000	12051000000	10489000000		13276000000	13573000000	5.06	10.22		5.22		10510000000	12340000000		10910000000	11311000000
BHARTIHEXA	Yes	01/01/25	30/06/25	31.62%	No	1	6	1475.471069	1942.000854	1783.199329	-8.177211926	1783.199329	-8.177211926			-9.639584104	-3.322352559	-2.00686672	9.14E+11	31/12/24	2025-02-06 06:00:00-05:00	6.7	7.27	8.49	10910000000	5595000000	5.22	5.22	2609000000	13276000000	22507000000	7.24181E+11	22507000000	20976000000	19106000000	22890000000	22630000000	13276000000	12051000000	10489000000	13573000000	13667000000	5.22	5.06	10.22		7.83	10910000000	10510000000	12340000000	11311000000	12082000000
BHARTIHEXA	Yes	02/01/25	01/07/25	34.30%	No	1	7	1469.603394	1973.726074	1777.284089	-9.952849462	1777.284089	-9.952849462			-11.09201668	-3.843144406	-2.32393575	9.14E+11	31/12/24	2025-02-06 06:00:00-05:00	6.7	7.27	8.49	10910000000	5595000000	5.22	5.22	2609000000	13276000000	22507000000	7.24181E+11	22507000000	20976000000	19106000000	22890000000	22630000000	13276000000	12051000000	10489000000	13573000000	13667000000	5.22	5.06	10.22		7.83	10910000000	10510000000	12340000000	11311000000	12082000000
BHARTIHEXA	Yes	01/02/25	31/07/25	36.25%	No	2	7	1356.078979	1847.699951	1756.988898	-4.909403863	1756.988898	-4.909403863			-5.027867338	-1.704855943	-1.026429443	9.14E+11	31/12/24	2025-02-06 06:00:00-05:00	6.7	7.27	8.49	10910000000	5595000000	5.22	5.22	2609000000	13276000000	22507000000	7.24181E+11	22507000000	20976000000	19106000000	22890000000	22630000000	13276000000	12051000000	10489000000	13573000000	13667000000	5.22	5.06	10.22		7.83	10910000000	10510000000	12340000000	11311000000	12082000000
