Company Name,Symbol,Market Cap,Earnings_2025,Earnings_2024,Earnings_2023,Earnings_2022,Q_Revenue_2025-06-30,Q_Revenue_2025-03-31,Q_Revenue_2024-12-31,Q_Revenue_2024-09-30,Q_Revenue_2024-06-30,Q_Net_Income_2025-06-30,Q_Net_Income_2025-03-31,Q_Net_Income_2024-12-31,Q_Net_Income_2024-09-30,Q_Net_Income_2024-06-30,Q_Total_Assets_2025-03-31,Q_Total_Assets_2024-09-30,Q_Total_Assets_2024-03-31,Q_Total_Equity_2025-03-31,Q_Total_Equity_2024-09-30,Q_Total_Equity_2024-03-31,Earnings_2021,Earnings_2020,Q_Total_Assets_2025-06-30,Q_Total_Assets_2024-12-31,Q_Total_Assets_2024-06-30,Q_Total_Equity_2025-06-30,Q_Total_Equity_2024-12-31,Q_Total_Equity_2024-06-30,Q_Revenue_2025-09-30,Q_Net_Income_2025-09-30,Q_Total_Assets_2025-09-30,Q_Total_Equity_2025-09-30,Q_Op_Cashflow_2024-09-30,Q_Op_Cashflow_2024-06-30,Q_Op_Cashflow_2025-06-30,Q_Op_Cashflow_2025-03-31,Q_Op_Cashflow_2024-12-31,Q_Op_Cashflow_2025-09-30,Q_Revenue_2024-03-31,Q_Net_Income_2024-03-31,Q_Op_Cashflow_2024-03-31
Divi's Laboratories Ltd.,DIVISLAB,1706299228160,21910000000.0,16000000000.0,18240000000.0,29604500000.0,24100000000.0,25500000000.0,23190000000.0,23380000000.0,21180000000.0,5450000000.0,6620000000.0,5890000000.0,5100000000.0,4300000000.0,169320000000.0,155860000000.0,154700000000.0,149690000000.0,137170000000.0,135710000000.0,,,,,,,,,,,,,,,,,,,,,
Dixon Technologies (India) Ltd.,DIXON,746012475392,10955400000.0,3677500000.0,2555200000.0,1901700000.0,128356600000.0,100257300000.0,104536800000.0,115340800000.0,65798000000.0,2249700000.0,4008200000.0,1711900000.0,3898500000.0,1336800000.0,167668700000.0,161206800000.0,69914500000.0,34693300000.0,25753300000.0,17224600000.0,,,,,,,,,,,,,,,,,,,,,
Dr. Reddy's Laboratories Ltd.,DRREDDY,1056764854272,56544000000.0,55684000000.0,45067000000.0,23568000000.0,85452000000.0,85060000000.0,83586000000.0,80162000000.0,,14178000000.0,15938000000.0,14133000000.0,12553000000.0,,492989000000.0,465955000000.0,,337166000000.0,309283000000.0,,,,519537000000.0,481059000000.0,,353755000000.0,321565000000.0,,88051000000.0,14372000000.0,542005000000.0,362082000000.0,9316000000.0,,14629000000.0,21996000000.0,6620000000.0,15573000000.0,,,
Eicher Motors Ltd.,EICHERMOT,2008967544832,47344400000.0,40010100000.0,29139400000.0,16766000000.0,49456200000.0,51503800000.0,48881100000.0,41863800000.0,,12052200000.0,13621500000.0,11705000000.0,11003300000.0,,271744100000.0,243799500000.0,231279300000.0,212964900000.0,189795500000.0,180455300000.0,,,,,,,,,60711900000.0,13694500000.0,289441100000.0,220860700000.0,,,,,,,,,
Eternal Ltd.,ETERNAL,2563605790720,5270000000.0,3510000000.0,-9710000000.0,-12087000000.0,71670000000.0,58330000000.0,54050000000.0,47990000000.0,42060000000.0,250000000.0,390000000.0,590000000.0,1760000000.0,2530000000.0,356230000000.0,252050000000.0,233560000000.0,303100000000.0,213110000000.0,204060000000.0,,,,,,,,,,,,,,,,,,,,,
Exide Industries Ltd.,EXIDEIND,310417195008,7950200000.0,8766800000.0,8227000000.0,43669300000.0,46951200000.0,42420900000.0,40167200000.0,44500000000.0,,2729900000.0,1868700000.0,1568100000.0,2312800000.0,,213963300000.0,202844500000.0,181500200000.0,139341200000.0,138432200000.0,129015000000.0,,,,,,,,,43645100000.0,1719400000.0,218159900000.0,147486200000.0,,,,,,,,,
FSN E-Commerce Ventures Ltd.,NYKAA,742426214400,660800000.0,322600000.0,192620000.0,410750000.0,21549400000.0,19966400000.0,22672100000.0,18747400000.0,,233200000.0,202900000.0,261200000.0,100400000.0,,39795300000.0,37234200000.0,34006200000.0,13426600000.0,13335700000.0,12810400000.0,,,,,,,,,23459800000.0,344300000.0,43324000000.0,14394300000.0,,,,,,,,,
Federal Bank Ltd.,FEDERALBNK,644220518400,41588458000.0,38804276000.0,31647191000.0,19697900000.0,37757100000.0,35477250000.0,36262000000.0,36218400000.0,34521200000.0,9183200000.0,10909358000.0,9441500000.0,10962500000.0,10275100000.0,3601519137000.0,3463494500000.0,3178389465000.0,354531061000.0,334013700000.0,309258354000.0,,,,,,,,,,,,,,,,,,,,,
Fortis Healthcare Ltd.,FORTIS,681532456960,7742152000.0,5988755000.0,5887308000.0,5551185000.0,21667200000.0,19483422000.0,19282600000.0,19883900000.0,,2602800000.0,1838952000.0,2479000000.0,1764600000.0,,136915272000.0,135968200000.0,132887802000.0,91693903000.0,87296500000.0,85561377000.0,,,,,,,,,23314400000.0,3219200000.0,150128500000.0,96932100000.0,,,,,,,,,
GAIL (India) Ltd.,GAIL,1124470095872,124498000000.0,98992200000.0,56160000000.0,122560700000.0,353106800000.0,364420900000.0,368347300000.0,338889000000.0,347377700000.0,23692000000.0,24917600000.0,40815600000.0,26935500000.0,31829300000.0,1331487300000.0,1289887700000.0,1247172300000.0,852404800000.0,840174600000.0,771957800000.0,,,,,,,,,,,,,,,,,,,,,
GMR Airports Ltd.,GMRAIRPORT,1082139148288,-3928500000.0,-5592700000.0,-1792600000.0,-10232900000.0,32052300000.0,14234500000.0,26532400000.0,24954600000.0,,-2115900000.0,-2375900000.0,2667900000.0,-2804000000.0,,487567600000.0,484218200000.0,486830600000.0,-17888200000.0,-7254600000.0,-8696600000.0,,,,,,,,,36699900000.0,-370900000.0,520902500000.0,-18644400000.0,,,,,,,,,
Glenmark Pharmaceuticals Ltd.,GLENMARK,567392927744,10470970000.0,-15016680000.0,2972450000.0,9417110000.0,30593330000.0,32201320000.0,33019040000.0,34004980000.0,,468710000.0,46500000.0,3479620000.0,3542140000.0,,160495540000.0,152353420000.0,143586240000.0,88490700000.0,84454960000.0,78475470000.0,,,,,,,,,60037940000.0,6103530000.0,190020230000.0,95816280000.0,,,,,,,,,
Godfrey Phillips India Ltd.,GODFRYPHLP,440710856704,10720328000.0,8830429000.0,6904669000.0,4380692000.0,14742500000.0,14622869000.0,15850900000.0,13502600000.0,10791900000.0,3563100000.0,2792928000.0,3158500000.0,2483300000.0,2285600000.0,69690378000.0,64829500000.0,58432592000.0,52524932000.0,47168900000.0,42383585000.0,,,,,,,,,,,,,,,,,,,,,
Godrej Consumer Products Ltd.,GODREJCP,1234237652992,18523000000.0,-5605500000.0,17024600000.0,17833900000.0,36418800000.0,35778100000.0,37491100000.0,36471100000.0,33107800000.0,4524500000.0,4119900000.0,4983100000.0,4913100000.0,4506900000.0,196717900000.0,189842600000.0,184958900000.0,120039200000.0,121702900000.0,125985700000.0,,,,,,,,,,,,,,,,,,,,,
Godrej Properties Ltd.,GODREJPROP,603195768832,13998900000.0,7252700000.0,5713900000.0,3523700000.0,4345600000.0,19978000000.0,9688800000.0,10932300000.0,7390000000.0,6001200000.0,3819900000.0,1626400000.0,3352100000.0,5200500000.0,554655200000.0,426040000000.0,357348600000.0,175737300000.0,111184800000.0,103014300000.0,,,,,,,,,,,,,,,,,,,,,
Grasim Industries Ltd.,GRASIM,1912244797440,37056800000.0,56244900000.0,68272600000.0,75497800000.0,401180800000.0,449618200000.0,347928500000.0,342225400000.0,346097500000.0,14186800000.0,12088800000.0,8989700000.0,3146300000.0,10750300000.0,5005357000000.0,4484535100000.0,4125390800000.0,1578128300000.0,1457214300000.0,1389383800000.0,,,,,,,,,,,,,,,,,,,,,
HCL Technologies Ltd.,HCLTECH,4499885785088,173900000000.0,157020000000.0,148510000000.0,134990000000.0,303490000000.0,302460000000.0,298900000000.0,288620000000.0,280570000000.0,38430000000.0,43070000000.0,45910000000.0,42350000000.0,42570000000.0,1055440000000.0,997630000000.0,997770000000.0,696730000000.0,688870000000.0,682710000000.0,,,,,,,,,,,,,,,,,,,,,
HDFC Asset Management Company Ltd.,HDFCAMC,1134368391168,24601900000.0,19426900000.0,14233700000.0,13931300000.0,9681500000.0,9013600000.0,9346300000.0,8872100000.0,,7475500000.0,6384600000.0,6413600000.0,5766100000.0,,87506600000.0,73292800000.0,75538500000.0,81299800000.0,67941600000.0,70750100000.0,,,,,,,,,,,,,,,,,,,,,
HDFC Bank Ltd.,HDFCBANK,15262999904256,673508300000.0,622656600000.0,495446900000.0,386000400000.0,853464600000.0,953058900000.0,652796600000.0,195554500000.0,724169900000.0,162579100000.0,153934600000.0,176566100000.0,173810500000.0,164748500000.0,48187671100000.0,45703524400000.0,,8622891000000.0,8204449100000.0,,,,44560480400000.0,42281803700000.0,40065379400000.0,5631477000000.0,5181481500000.0,4902298800000.0,,,,,,,,,,,,,
HDFC Life Insurance Company Ltd.,HDFCLIFE,1614463500288,18108200000.0,15740800000.0,13682771000.0,13269331000.0,294695800000.0,173916100000.0,172467400000.0,284997200000.0,269304600000.0,5483500000.0,4753600000.0,4213100000.0,4351800000.0,4789700000.0,3494115800000.0,3367552300000.0,,161546200000.0,156043000000.0,,,,3661741400000.0,3393447000000.0,3200493100000.0,170125800000.0,158067200000.0,153498600000.0,,,,,,,,,,,,,
Havells India Ltd.,HAVELLS,889631866880,14722600000.0,12707600000.0,10717300000.0,11964700000.0,54553500000.0,63655800000.0,48889800000.0,45393100000.0,58062100000.0,3477200000.0,5178300000.0,2783000000.0,2682300000.0,4079000000.0,138094100000.0,128433300000.0,124326900000.0,83409700000.0,78094000000.0,74467600000.0,,,,,,,,,,,,,,,,,,,,,
Hero MotoCorp Ltd.,HEROMOTOCO,1127860011008,43784800000.0,37448300000.0,28099600000.0,23168800000.0,97277500000.0,97588800000.0,102598900000.0,104829300000.0,,17052900000.0,11613300000.0,11075500000.0,10637100000.0,,283903200000.0,292611500000.0,261527900000.0,194040900000.0,191342900000.0,178345700000.0,,,,,,,,,122183900000.0,13088900000.0,326611000000.0,211497800000.0,,,,,,,,,
Hindalco Industries Ltd.,HINDALCO,1951042895872,160010000000.0,101550000000.0,100970000000.0,137300000000.0,642320000000.0,634160000000.0,583900000000.0,582030000000.0,,40040000000.0,52830000000.0,37350000000.0,39090000000.0,,2659910000000.0,2522640000000.0,2319070000000.0,1237210000000.0,1151870000000.0,1061570000000.0,,,,,,,,,660580000000.0,47410000000.0,2966800000000.0,1348780000000.0,,,,,,,,,
Hindustan Aeronautics Ltd.,HAL,2948762697728,83641300000.0,76210500000.0,58277400000.0,50800400000.0,48190100000.0,128235900000.0,69573100000.0,59762900000.0,,13837700000.0,39766600000.0,14398300000.0,15104800000.0,,1062668500000.0,865297500000.0,780951800000.0,349851700000.0,312027000000.0,291418100000.0,,,,,,,,,66286100000.0,16690700000.0,1231449600000.0,371178100000.0,,,,,,,,,
Hindustan Petroleum Corporation Ltd.,HINDPETRO,995182575616,67357000000.0,160146100000.0,-69802300000.0,72942300000.0,1102676900000.0,1090604800000.0,1100824400000.0,994644200000.0,1133871300000.0,41109300000.0,34154400000.0,25436500000.0,1426700000.0,6339400000.0,1947446400000.0,1878599800000.0,1827846800000.0,511442900000.0,458964700000.0,469213500000.0,,,,,,,,,,,,,,,,,,,,,
Hindustan Unilever Ltd.,HINDUNILVR,5369862029312,106490000000.0,102770000000.0,101200000000.0,88790000000.0,163230000000.0,154460000000.0,155900000000.0,157290000000.0,155230000000.0,27560000000.0,24640000000.0,29840000000.0,25910000000.0,26100000000.0,798800000000.0,807650000000.0,784990000000.0,496090000000.0,509870000000.0,514230000000.0,,,,,,,,,,,,,,,,,,,,,
Hindustan Zinc Ltd.,HINDZINC,2690894266368,103530000000.0,77590000000.0,105110000000.0,96290000000.0,75910000000.0,88290000000.0,83150000000.0,80040000000.0,78930000000.0,22340000000.0,30030000000.0,26780000000.0,23270000000.0,23450000000.0,344900000000.0,325520000000.0,338950000000.0,133260000000.0,76200000000.0,151950000000.0,,,,,,,,,,,,,,,,,,,,,
Hitachi Energy India Ltd.,POWERINDIA,817902911488,3839800000.0,1637800000.0,939000000.0,,14293500000.0,18404500000.0,15826800000.0,15076300000.0,12933300000.0,1316000000.0,1838900000.0,1373800000.0,522900000.0,104200000.0,86133200000.0,49510900000.0,47073700000.0,42141100000.0,14026100000.0,13598700000.0,2034000000.0,,,,,,,,,,,,,,,,,,,,
Housing & Urban Development Corporation Ltd.,HUDCO,443681112064,27091400000.0,21166900000.0,17014300000.0,17164100000.0,8560000000.0,9927600000.0,10073100000.0,8641200000.0,,6302300000.0,7277400000.0,7350300000.0,6886200000.0,,1284956500000.0,1139194000000.0,934223400000.0,179684900000.0,171226100000.0,166130000000.0,,,,,,,,,10384000000.0,7098300000.0,1492642700000.0,180352900000.0,,,,,,,,,
Hyundai Motor India Ltd.,HYUNDAI,1885989240832,56402140000.0,60600440000.0,47092500000.0,29015910000.0,161796160000.0,175272470000.0,163230880000.0,,171312450000.0,13692340000.0,16143590000.0,11607340000.0,,14896520000.0,300973590000.0,,263492450000.0,162964650000.0,,106656570000.0,,,,,253702390000.0,,,121487100000.0,,,,,,-574920000.0,,,,,173180970000.0,16771730000.0,46942830000.0
ICICI Bank Ltd.,ICICIBANK,9656269275136,510291955000.0,442563735000.0,340366408000.0,251100960000.0,514859700000.0,558564237000.0,519931500000.0,507172500000.0,,135576000000.0,135022155000.0,128833700000.0,129477700000.0,,26422414100000.0,25165115600000.0,,3287426422000.0,2956730000000.0,,,,26686359600000.0,25314875600000.0,,3454290800000.0,3083293900000.0,,541292000000.0,133570600000.0,26864853800000.0,3517912300000.0,,,,,,,,,
ICICI Lombard General Insurance Company Ltd.,ICICIGI,970812162048,25082900000.0,19185900000.0,17290519000.0,12710088000.0,64240300000.0,69875500000.0,61607200000.0,61497300000.0,56317400000.0,7470800000.0,5095900000.0,7243800000.0,6939500000.0,5803700000.0,690202600000.0,680137700000.0,,144851700000.0,136247800000.0,,,,720198400000.0,680473100000.0,661388900000.0,151840200000.0,139251900000.0,126625200000.0,,,,,,,,,,,,,
IDFC First Bank Ltd.,IDFCFIRSTB,731665006592,14903500000.0,29423500000.0,24849294000.0,1323070000.0,71600200000.0,69340900000.0,66823700000.0,65155900000.0,62694500000.0,4534700000.0,2956000000.0,3401700000.0,2119400000.0,6426400000.0,3439087400000.0,3205516700000.0,2962097800000.0,381557800000.0,369761000000.0,322735800000.0,,,3615254500000.0,,3069125800000.0,387875800000.0,,335176400000.0,,,,,,,,,,,,,
IRB Infrastructure Developers Ltd.,IRB,254968053760,64806840000.0,6058160000.0,7200110000.0,3613970000.0,18659040000.0,18324540000.0,17805700000.0,15858440000.0,,2024820000.0,2147220000.0,60261090000.0,998690000.0,,538959710000.0,448221390000.0,449203140000.0,198265790000.0,139356920000.0,137445050000.0,,,,,,,,,14476060000.0,1408240000.0,543460170000.0,203804190000.0,,,,,,,,,
ITC Hotels Ltd.,ITCHOTELS,413425631232,6345700000.0,,,,8155400000.0,,,,7058400000.0,1331000000.0,,,,865300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC Ltd.,ITC,5063578746880,347466300000.0,204587800000.0,191916600000.0,152426600000.0,213729300000.0,185650500000.0,185803600000.0,198411300000.0,176667800000.0,52442000000.0,197273700000.0,49348000000.0,49928700000.0,50915900000.0,880906800000.0,940712100000.0,918261600000.0,703979400000.0,757923100000.0,748899700000.0,,,,,,,,,,,,,,,,,,,,,
Indian Bank,INDIANB,1049102778368,112614700000.0,84194100000.0,55723100000.0,41418100000.0,89815100000.0,93256000000.0,88223600000.0,88177200000.0,82572500000.0,22763700000.0,29816400000.0,29097300000.0,27997000000.0,25704000000.0,8770386000000.0,8160849900000.0,7957088200000.0,715451400000.0,662530600000.0,602775100000.0,,,,,,,,,,,,,,,,,,,,,
Indian Hotels Co. Ltd.,INDHOTEL,1052916580352,19075900000.0,12590700000.0,10025900000.0,-2477200000.0,20410800000.0,21317800000.0,25330500000.0,18261200000.0,15502300000.0,2963700000.0,5223000000.0,5823200000.0,5545800000.0,2483900000.0,177039300000.0,164912200000.0,148558300000.0,124156100000.0,113218300000.0,101287100000.0,,,,,,,,,,,,,,,,,,,,,
Indian Oil Corporation Ltd.,IOC,2263634673664,135978400000.0,417296900000.0,97921200000.0,251022300000.0,1923406500000.0,1917324200000.0,1940144900000.0,1749761200000.0,1938449100000.0,68137100000.0,81236400000.0,21152900000.0,-1695800000.0,35284900000.0,5068670500000.0,5103101900000.0,4823620000000.0,1910246600000.0,1856168100000.0,1881629800000.0,,,,,,,,,,,,,,,,,,,,,
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,564400029696,13149023000.0,11110773000.0,10058811000.0,6595529000.0,11596810000.0,12680331000.0,12246559000.0,10639961000.0,,3307034000.0,3582290000.0,3410894000.0,3078653000.0,,67994615000.0,68004396000.0,60911653000.0,36633649000.0,35232828000.0,32297884000.0,,,,,,,,,11459901000.0,3420243000.0,76313748000.0,42608190000.0,,,,,,,,,
Indian Railway Finance Corporation Ltd.,IRFC,1746475155456,65020000000.0,64121100000.0,61671560000.0,60898360000.0,69010700000.0,66361500000.0,67634300000.0,68993400000.0,67656300000.0,17456900000.0,16818700000.0,16306600000.0,16126500000.0,15768300000.0,4888346800000.0,4943483800000.0,,526678500000.0,514641200000.0,,,,4807428700000.0,4814352800000.0,4812181860000.0,544239600000.0,520462600000.0,507722100000.0,,,,,173316700000.0,46414700000.0,14675300000.0,11363600000.0,-148799300000.0,,,,
Indian Renewable Energy Development Agency Ltd.,IREDA,396206702592,16983400000.0,12522400000.0,8646283000.0,6335280000.0,19244400000.0,18372100000.0,16709100000.0,16026800000.0,15078100000.0,2468800000.0,5015300000.0,4253800000.0,3877500000.0,3837000000.0,797349500000.0,687484744000.0,626004500000.0,102665400000.0,93361520000.0,85594200000.0,,,,,,,,,,,,,,,,,,,,,
Indraprastha Gas Ltd.,IGL,271085223936,17177600000.0,19850700000.0,16396500000.0,15022700000.0,39140000000.0,38838100000.0,37587600000.0,36934300000.0,,4290500000.0,4551400000.0,3265500000.0,4548800000.0,,155813600000.0,154885600000.0,142199600000.0,106424600000.0,105911700000.0,96498300000.0,,,,,,,,,40234000000.0,3862900000.0,167620000000.0,112451700000.0,,,,,,,,,
Indus Towers Ltd.,INDUSTOWER,1107201228800,99317000000.0,60362000000.0,20400000000.0,63731000000.0,80576000000.0,77271000000.0,75474000000.0,74653000000.0,73830000000.0,17368000000.0,17791000000.0,40032000000.0,22235000000.0,19259000000.0,631702000000.0,583725000000.0,558676000000.0,324983000000.0,283988000000.0,270388000000.0,,,,616924000000.0,,,323592000000.0,,,,,,,,,66471000000.0,43724000000.0,,,,33583000000.0
IndusInd Bank Ltd.,INDUSINDBK,662097690624,25755400000.0,89773000000.0,74434978000.0,48050380000.0,67967400000.0,35322574000.0,75831200000.0,75322300000.0,78492400000.0,6040700000.0,-23288700000.0,14023300000.0,13312900000.0,21707900000.0,5541071158000.0,5434065300000.0,5150939711000.0,648356868000.0,657015900000.0,632075634000.0,,,,,,,,,,,,,,,,,,,,,
Info Edge (India) Ltd.,NAUKRI,884260143104,9621400000.0,5752080000.0,-1074100000.0,127595710000.0,7908620000.0,7496250000.0,7223960000.0,7008240000.0,,2959170000.0,4633880000.0,2425910000.0,232590000.0,,427713490000.0,501858010000.0,360908160000.0,368163690000.0,433190850000.0,316284930000.0,,,,,,,,,8054510000.0,3163950000.0,593967630000.0,506739970000.0,,,,,,,,,
Infosys Ltd.,INFY,6699878973440,3158000000.0,3167000000.0,2981000000.0,2963000000.0,4941000000.0,4730000000.0,4939000000.0,4894000000.0,,809000000.0,813000000.0,804000000.0,777000000.0,,17419000000.0,16928000000.0,,11255000000.0,10838000000.0,,,,17447000000.0,16291000000.0,,11120000000.0,10356000000.0,,5076000000.0,839000000.0,18064000000.0,11687000000.0,,,,976000000.0,,1157000000.0,,,914000000.0
InterGlobe Aviation Ltd.,INDIGO,1961560637440,72584000000.0,81725000000.0,-3057890000.0,-61618450000.0,204963000000.0,189676000000.0,221107000000.0,169696000000.0,195707000000.0,21763000000.0,30675000000.0,24488000000.0,-9867000000.0,27288000000.0,1158435000000.0,972193000000.0,822245000000.0,93682000000.0,38011000000.0,19965000000.0,,,,,,,,,,,,,,,,,,,,,
JSW Energy Ltd.,JSWENERGY,837273452544,19508900000.0,17227100000.0,14777600000.0,17286200000.0,51433700000.0,29277900000.0,24388800000.0,32376600000.0,28794600000.0,7431200000.0,4080500000.0,1678300000.0,8532500000.0,5217600000.0,899389800000.0,649317100000.0,582691000000.0,290850600000.0,282821300000.0,210142400000.0,,,,,,,,,,,,,,,,,,,,,
JSW Steel Ltd.,JSWSTEEL,2673123786752,35040000000.0,88120000000.0,41440000000.0,206650000000.0,424600000000.0,443410000000.0,407930000000.0,391040000000.0,423370000000.0,21840000000.0,15030000000.0,7170000000.0,4390000000.0,8450000000.0,2407420000000.0,2331680000000.0,2281980000000.0,816660000000.0,817600000000.0,797760000000.0,,,,,,,,,,,,,,,,,,,,,
Jindal Steel Ltd.,JINDALSTEL,1003752062976,28121300000.0,59384200000.0,39740900000.0,67657300000.0,123424400000.0,44487500000.0,118202700000.0,112808400000.0,137329200000.0,14939700000.0,-3394000000.0,9504800000.0,8609000000.0,13401500000.0,858393700000.0,827705100000.0,787151800000.0,474193200000.0,480175200000.0,447506500000.0,,,,,,,,,,,,,,,,,,,,,
Jio Financial Services Ltd.,JIOFIN,1886565564416,16125900000.0,16045500000.0,312500000.0,16804000.0,4164400000.0,4139200000.0,2469900000.0,4865700000.0,1999100000.0,3246600000.0,3161100000.0,2947800000.0,6890700000.0,3126300000.0,1335099400000.0,1442224300000.0,1448629900000.0,1234964700000.0,1371440400000.0,1391476600000.0,,,,,,,,,,,,,,,,,,,,,
Jubilant Foodworks Ltd.,JUBLFOOD,368066854912,2107640000.0,3993440000.0,3532010000.0,4203920000.0,22608600000.0,16675780000.0,21507630000.0,19547160000.0,,917560000.0,480050000.0,429130000.0,640460000.0,,85275760000.0,82552650000.0,81256980000.0,21827940000.0,22635230000.0,22432330000.0,,,,,,,,,23401520000.0,1860310000.0,87776310000.0,22559460000.0,,,,,,,,,
KEI Industries Ltd.,KEI,417690484736,6964140000.0,5807440000.0,4773460000.0,3760210000.0,25903160000.0,28006130000.0,24672670000.0,22838200000.0,20650180000.0,1957470000.0,2265480000.0,1648050000.0,1548120000.0,1502490000.0,72346030000.0,49427320000.0,46564550000.0,57857500000.0,34577600000.0,31482640000.0,,,,,,,,,,,,,,,,,,,,,
KPIT Technologies Ltd.,KPITTECH,328975777792,8396000000.0,5945330000.0,3809980000.0,2742330000.0,15387610000.0,15283440000.0,14779580000.0,14714130000.0,,1718990000.0,2447250000.0,1869700000.0,2037450000.0,,50329620000.0,45855630000.0,41678960000.0,29121580000.0,25003700000.0,21629670000.0,,,,,,,,,15877110000.0,1690870000.0,67137870000.0,32632670000.0,,,,,,,,,
Kalyan Jewellers India Ltd.,KALYANKJIL,507192246272,7148000000.0,5973460000.0,4331050000.0,2242090000.0,72684750000.0,60576660000.0,72868840000.0,60576250000.0,,2640840000.0,1876050000.0,2188240000.0,1306060000.0,,151259450000.0,137592300000.0,128177350000.0,48035780000.0,43587730000.0,41877670000.0,,,,,,,,,78560260000.0,2605100000.0,170908680000.0,53413830000.0,,,,,,,,,
Kotak Mahindra Bank Ltd.,KOTAKBANK,4304059236352,221259890000.0,182132075000.0,149250096000.0,120893915000.0,191661800000.0,214985999000.0,167750500000.0,197503700000.0,182706200000.0,44721800000.0,49327590000.0,47010200000.0,50440500000.0,74481600000.0,8797743370000.0,8049812300000.0,7676669590000.0,1574893498000.0,1473183000000.0,1299716900000.0,,,,,,,,,,,,,,,,,,,,,
L&T Finance Ltd.,LTF,754041683968,26436600000.0,23201000000.0,16232500000.0,10701100000.0,25341200000.0,23326000000.0,26106400000.0,24478800000.0,22780600000.0,7011000000.0,6361700000.0,6264000000.0,6955800000.0,6855100000.0,1204093600000.0,1118154500000.0,1027175500000.0,256311200000.0,243596800000.0,235279900000.0,,,,,,,,,,,,,,,,,,,,,
LIC Housing Finance Ltd.,LICHSGFIN,296731475968,54422300000.0,47629700000.0,28907700000.0,22856500000.0,21894000000.0,20315100000.0,20960800000.0,20361300000.0,20311000000.0,13638900000.0,13733800000.0,14348400000.0,13277100000.0,13063000000.0,3140403800000.0,2993153000000.0,2912933000000.0,363555200000.0,336153300000.0,314800600000.0,,,,,,,,,,,,,,,,,,,,,
LTIMindtree Ltd.,LTIM,1788615065600,45987000000.0,45821000000.0,44083000000.0,39483000000.0,98406000000.0,97717000000.0,96609000000.0,94329000000.0,91426000000.0,12541000000.0,11285000000.0,10854000000.0,12510000000.0,11338000000.0,306300000000.0,287611000000.0,,227115000000.0,210871000000.0,,,,307462000000.0,293933000000.0,275093000000.0,226966000000.0,212954000000.0,199697000000.0,,,,,9281000000.0,12478000000.0,10329000000.0,9978000000.0,13721000000.0,,,,
Larsen & Toubro Ltd.,LT,5567388581888,150371100000.0,130591100000.0,104707200000.0,86693300000.0,636789200000.0,728664700000.0,646677800000.0,615545800000.0,551198200000.0,36171900000.0,54972600000.0,33588400000.0,33952900000.0,27857200000.0,3795241000000.0,3566076300000.0,3401359700000.0,1154036800000.0,1059809900000.0,1025496600000.0,,,,,,,,,,,,,,,,,,,,,
Life Insurance Corporation of India,LICI,5374666604544,483203300000.0,409158500000.0,359966500000.0,41247082000.0,2250327900000.0,2440588800000.0,2034509900000.0,2316984000000.0,2119258900000.0,109570500000.0,190386700000.0,110086500000.0,77286800000.0,105443300000.0,56605684600000.0,57191210700000.0,53160474200000.0,1275036600000.0,978158100000.0,828996000000.0,,,,,,,,,,,,,,,,,,,,,
Lodha Developers Ltd.,LODHA,1072444473344,27643000000.0,15491000000.0,4867000000.0,12024000000.0,34917000000.0,41149000000.0,40830000000.0,26257000000.0,28465000000.0,6747000000.0,9217000000.0,9444000000.0,4229000000.0,4753000000.0,498406000000.0,473850000000.0,472252000000.0,202448000000.0,182501000000.0,175340000000.0,,,,,,,,,,,,,,,,,,,,,
Lupin Ltd.,LUPIN,964941774848,32816200000.0,19144800000.0,4300800000.0,-15280400000.0,61637500000.0,55622000000.0,56185600000.0,54970100000.0,55143400000.0,12190300000.0,7725200000.0,8551600000.0,8526300000.0,8013100000.0,292048800000.0,254819600000.0,239971800000.0,172943500000.0,157196900000.0,143734500000.0,,,,,,,,,,,,,,,,,,,,,
MRF Ltd.,MRF,637251747840,18692900000.0,20812300000.0,7689400000.0,6692400000.0,76756900000.0,68966200000.0,70008200000.0,68810900000.0,,5004700000.0,5121100000.0,3154600000.0,4707000000.0,,295669900000.0,284225900000.0,268494300000.0,184886400000.0,176681600000.0,167031600000.0,,,,,,,,,73787200000.0,5256400000.0,303199500000.0,194411800000.0,,,,,,,,,
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,547628908544,22618700000.0,19326900000.0,20724000000.0,11368700000.0,24556500000.0,23883800000.0,23294300000.0,21941100000.0,21535600000.0,5278700000.0,4572200000.0,9175700000.0,3894200000.0,4976600000.0,1441052600000.0,1336613200000.0,1237157900000.0,215729800000.0,201131400000.0,199748600000.0,,,,,,,,,,,,,,,,,,,,,
Mahindra & Mahindra Ltd.,M&M,4347887878144,129291000000.0,112686400000.0,102815000000.0,65773200000.0,454358800000.0,394811800000.0,414649800000.0,376890400000.0,370100600000.0,40833200000.0,32951700000.0,31805800000.0,31707200000.0,32826300000.0,2775862700000.0,2552799000000.0,2363007300000.0,890980000000.0,818495400000.0,775093400000.0,,,,,,,,,,,,,,,,,,,,,
