Company Name,Symbol,Market Cap,Earnings_2025,Earnings_2024,Earnings_2023,Earnings_2022,Q_Revenue_2025-06-30,Q_Revenue_2025-03-31,Q_Revenue_2024-12-31,Q_Revenue_2024-09-30,Q_Revenue_2024-06-30,Q_Net_Income_2025-06-30,Q_Net_Income_2025-03-31,Q_Net_Income_2024-12-31,Q_Net_Income_2024-09-30,Q_Net_Income_2024-06-30,Q_Total_Assets_2025-03-31,Q_Total_Assets_2024-09-30,Q_Total_Assets_2024-03-31,Q_Total_Equity_2025-03-31,Q_Total_Equity_2024-09-30,Q_Total_Equity_2024-03-31,Earnings_2021,Earnings_2020,Q_Total_Assets_2025-06-30,Q_Total_Assets_2024-12-31,Q_Total_Assets_2024-06-30,Q_Total_Equity_2025-06-30,Q_Total_Equity_2024-12-31,Q_Total_Equity_2024-06-30,Q_Revenue_2025-09-30,Q_Net_Income_2025-09-30,Q_Total_Assets_2025-09-30,Q_Total_Equity_2025-09-30,Q_Op_Cashflow_2024-09-30,Q_Op_Cashflow_2024-06-30,Q_Op_Cashflow_2025-06-30,Q_Op_Cashflow_2025-03-31,Q_Op_Cashflow_2024-12-31,Q_Op_Cashflow_2025-09-30,Q_Revenue_2024-03-31,Q_Net_Income_2024-03-31,Q_Op_Cashflow_2024-03-31
Alkem Laboratories Ltd.,ALKEM,661792292864,21654800000.0,17957700000.0,9841700000.0,16456200000.0,33711400000.0,29838500000.0,33742800000.0,34146700000.0,,6642600000.0,3058600000.0,6258200000.0,6886400000.0,,176911000000.0,171170300000.0,155749000000.0,124336300000.0,119100800000.0,107144000000.0,,,,,,,,,40009900000.0,7650600000.0,202874500000.0,138109300000.0,,,,,,,,,
Ambuja Cements Ltd.,AMBUJACEM,1371237515264,41674300000.0,35734000000.0,,,102441100000.0,94671600000.0,84153100000.0,73047700000.0,82921000000.0,7878800000.0,9562800000.0,21153300000.0,4795300000.0,6398600000.0,809454100000.0,765719700000.0,651036800000.0,638114200000.0,599159300000.0,508425200000.0,27803800000.0,23654400000.0,,,,,,,,,,,,,,,,,,,
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,1028922998784,14459000000.0,8986000000.0,8191000000.0,10556000000.0,58421000000.0,53756000000.0,55269000000.0,55893000000.0,50856000000.0,4328000000.0,3896000000.0,3723000000.0,3788000000.0,3052000000.0,206574000000.0,195479000000.0,167531000000.0,86529000000.0,79146000000.0,73205000000.0,,,,,,,,,,,,,,,,,,,,,
Ashok Leyland Ltd.,ASHOKLEY,1026044854272,31068000000.0,24835200000.0,12387100000.0,-3586100000.0,116567300000.0,146369500000.0,119461500000.0,111049500000.0,,6110700000.0,11300900000.0,7619200000.0,7056400000.0,,817145300000.0,706005000000.0,675956000000.0,158448600000.0,133118600000.0,118145900000.0,,,,,,,,,125184500000.0,7557700000.0,853102400000.0,166256200000.0,,,,,,,,,
Asian Paints Ltd.,ASIANPAINT,2632862662656,36672300000.0,54602300000.0,41064500000.0,30305700000.0,89244900000.0,83474000000.0,85215100000.0,80030200000.0,,10997700000.0,6921300000.0,11104800000.0,6946400000.0,,303713700000.0,294741400000.0,299240900000.0,200590500000.0,186834600000.0,194236800000.0,,,,,,,,,85137000000.0,9935900000.0,313487200000.0,202003000000.0,,,,,,,,,
Astral Ltd.,ASTRAL,373423734784,5238000000.0,5461000000.0,4566000000.0,4838000000.0,13612000000.0,16684000000.0,13970000000.0,13704000000.0,13836000000.0,811000000.0,1793000000.0,1141000000.0,1100000000.0,1204000000.0,50560000000.0,47145000000.0,44979000000.0,36927000000.0,34469000000.0,32685000000.0,,,,,,,,,,,,,,,,,,,,,
Aurobindo Pharma Ltd.,AUROPHARMA,700562866176,34858800000.0,31729700000.0,19275000000.0,26481500000.0,77917700000.0,83811200000.0,78931500000.0,76462100000.0,74576500000.0,8247500000.0,9034700000.0,8458100000.0,8173800000.0,9192200000.0,497849700000.0,480944500000.0,450715100000.0,326469300000.0,308849600000.0,298508000000.0,,,,,,,,,,,,,,,,,,,,,
Avenue Supermarts Ltd.,DMART,2464586399744,27080200000.0,25361700000.0,23785100000.0,14925500000.0,163597000000.0,147469600000.0,159725500000.0,144445000000.0,140691400000.0,7729700000.0,5509000000.0,7237200000.0,6595800000.0,7738200000.0,243202900000.0,230399600000.0,211772000000.0,214267000000.0,201372400000.0,186973400000.0,,,,,,,,,,,,,,,,,,,,,
Axis Bank Ltd.,AXISBANK,3813549801472,280551100000.0,263862000000.0,108184500000.0,141192900000.0,221623100000.0,218476200000.0,209194900000.0,214462100000.0,205348800000.0,62437200000.0,74751300000.0,67422900000.0,74012600000.0,64364300000.0,16569626100000.0,15522224000000.0,,1878706200000.0,1729865500000.0,,,,16534896800000.0,15717938500000.0,15134755100000.0,1945402600000.0,1800741400000.0,1654692000000.0,,,,,,,,,,,,,
BSE Ltd.,BSE,1075835961344,13258900000.0,7783900000.0,2206700000.0,2543300000.0,9583900000.0,8297800000.0,7735400000.0,7407300000.0,,5394100000.0,4944200000.0,2196700000.0,3467500000.0,,103416500000.0,107497700000.0,94502300000.0,45757000000.0,38590000000.0,34546600000.0,,,,,,,,,10683900000.0,5584300000.0,111383500000.0,53647100000.0,,,,,,,,,
