Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 05:00:00-05:00,15.85,,
2025-11-06 19:00:00-05:00,11.72,12.68,8.19
2025-08-05 20:00:00-04:00,10.11,11.89,17.64
2025-04-29 05:00:00-04:00,11.09,9.84,-11.31
2025-02-06 02:00:00-05:00,13.84,13.2,-4.62
2024-11-07 01:00:00-05:00,10.24,9.53,-6.97
2024-08-09 03:00:00-04:00,8.25,9.62,16.61
2024-04-29 05:00:00-04:00,7.55,7.25,-3.97
2024-02-07 02:00:00-05:00,7.2,10.53,46.3
2023-11-07 03:00:00-05:00,3.4,8.15,139.71
2023-08-09 04:00:00-04:00,3.75,1.7,-54.67
2023-04-27 08:00:00-04:00,2.24,1.59,-28.96
2023-02-08 08:00:00-05:00,3.9,4.7,20.51
2022-11-10 06:00:00-05:00,2.9,2.62,-9.66
2022-08-11 04:00:00-04:00,2.0,2.89,44.5
2022-04-27 07:00:00-04:00,3.05,2.11,-30.81
2022-02-10 10:00:00-05:00,3.37,3.74,11.09
2021-11-02 08:00:00-04:00,0.63,3.25,420.0
2021-08-10 09:00:00-04:00,-4.1,-2.36,42.44
2021-04-30 09:00:00-04:00,0.53,1.78,238.73
2021-02-04 09:00:00-05:00,0.65,2.24,244.62
2020-11-05 11:00:00-05:00,-0.75,-1.35,-80.0
2020-08-13 08:00:00-04:00,-2.1,-3.92,-86.67
2020-05-22 12:00:00-04:00,0.24,0.07,-71.11
2020-02-06 08:00:00-05:00,1.47,1.57,6.56
