Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-15 05:00:00-05:00,47.82,,
2025-10-16 07:00:00-04:00,43.26,47.23,9.17
2025-07-17 07:00:00-04:00,40.3,42.28,4.92
2025-04-23 06:00:00-04:00,39.05,38.04,-2.58
2025-01-16 06:00:00-05:00,38.06,36.59,-3.86
2024-10-17 06:00:00-04:00,41.54,42.17,1.51
2024-07-17 07:00:00-04:00,39.05,38.23,-2.11
2024-04-24 06:00:00-04:00,38.08,37.06,-2.67
2024-01-17 06:00:00-05:00,39.18,39.4,0.56
2023-10-18 07:00:00-04:00,38.65,39.17,1.35
2023-07-17 06:00:00-04:00,40.25,38.85,-3.49
2023-04-27 07:00:00-04:00,39.44,37.57,-4.75
2023-01-20 06:00:00-05:00,40.23,33.78,-16.03
2022-10-15 06:00:00-04:00,37.33,38.7,3.68
2022-07-14 05:00:00-04:00,32.99,36.08,9.38
2022-04-19 07:00:00-04:00,36.59,36.27,-0.86
2022-01-19 09:00:00-05:00,33.73,34.87,3.39
2021-10-18 10:00:00-04:00,29.6,31.41,6.1
2021-07-15 08:00:00-04:00,26.97,28.27,4.83
2021-05-04 09:00:00-04:00,28.08,31.04,10.56
2021-01-19 09:00:00-05:00,28.27,29.53,4.45
2020-10-20 10:00:00-04:00,24.37,25.95,6.51
2020-07-15 10:00:00-04:00,21.88,23.74,8.49
2020-05-19 10:00:00-04:00,22.39,24.3,8.55
2020-01-15 01:00:00-05:00,21.45,21.5,0.21
