Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 05:00:00-05:00,1.7,,
2025-10-29 05:00:00-04:00,2.11,1.82,-13.67
2025-07-24 04:00:00-04:00,1.88,1.76,-6.13
2025-05-07 21:00:00-04:00,1.84,1.78,-3.11
2025-01-28 03:00:00-05:00,1.7,1.57,-7.72
2024-10-21 05:00:00-04:00,1.67,1.44,-13.6
2024-07-24 03:00:00-04:00,1.55,1.58,1.94
2024-05-06 04:00:00-04:00,1.47,1.56,6.02
2024-01-23 04:00:00-05:00,1.53,1.29,-15.87
2023-10-20 04:00:00-04:00,1.5,1.46,-2.76
2023-05-08 03:00:00-04:00,1.1,1.63,48.23
2023-01-24 02:00:00-05:00,1.3,1.34,3.24
2022-10-19 04:00:00-04:00,0.9,1.17,29.77
2022-07-27 04:00:00-04:00,0.7,0.87,24.84
2022-05-02 03:00:00-04:00,0.8,0.75,-5.97
2019-02-12 16:00:00-05:00,0.7,0.75,7.79
2018-11-13 13:00:00-05:00,0.75,0.73,-2.63
2018-08-10 11:00:00-04:00,0.3,0.07,-76.67
2018-05-30 08:00:00-04:00,1.33,0.4,-69.68
2018-02-12 08:00:00-05:00,0.43,1.38,220.93
2017-11-09 08:00:00-05:00,0.52,-0.16,-131.07
2017-08-11 08:00:00-04:00,0.4,-0.77,-292.5
2017-05-26 08:00:00-04:00,0.43,0.6,39.4
2017-02-10 12:00:00-05:00,0.53,0.64,20.58
2016-12-07 13:00:00-05:00,0.72,0.44,-39.15
