Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-30 05:00:00-05:00,12.28,,
2025-10-31 05:00:00-04:00,11.31,12.26,8.38
2025-07-25 04:00:00-04:00,11.09,11.45,3.23
2025-04-25 05:00:00-04:00,11.89,11.36,-4.45
2025-01-24 04:00:00-05:00,11.2,11.85,5.75
2024-10-25 06:00:00-04:00,10.95,11.0,0.44
2024-07-26 03:00:00-04:00,10.4,10.52,1.19
2024-04-26 05:00:00-04:00,10.26,10.34,0.74
2024-01-25 06:00:00-05:00,10.01,9.66,-3.49
2023-10-26 05:00:00-04:00,9.18,9.3,1.35
2023-07-27 04:00:00-04:00,8.36,8.91,6.64
2023-04-27 08:00:00-04:00,9.1,6.96,-23.6
2023-01-31 06:00:00-05:00,7.17,9.45,31.8
2022-10-20 06:00:00-04:00,7.34,7.89,7.5
2022-07-28 06:00:00-04:00,7.35,7.14,-2.96
2022-04-28 07:00:00-04:00,7.02,8.03,14.34
2022-01-24 07:00:00-05:00,6.13,5.05,-17.58
2021-10-29 08:00:00-04:00,5.0,5.74,14.93
2021-07-30 08:00:00-04:00,6.13,1.33,-78.32
2021-04-29 08:00:00-04:00,6.29,6.13,-2.56
2021-01-28 07:00:00-05:00,5.54,5.91,6.72
2020-10-29 09:00:00-04:00,4.01,5.56,38.69
2020-08-13 09:00:00-04:00,4.26,2.82,-33.76
2020-06-10 08:00:00-04:00,5.36,1.97,-63.26
2020-02-03 08:00:00-05:00,6.28,7.75,23.45
